model,seed,pearson_mean,rmse_mean,mae_mean
A4_correct,0,0.34330166911843774,4.64692144981394,3.9155876097229183
A4_correct,1,0.3199860054007901,4.683609774119214,3.9614841251049535
A4_correct,2,0.36905719571405765,4.581354740741003,3.8821658937943133
FIP_selected,0,0.3065648971887673,4.688085941529299,3.9214186103137765
FIP_selected,1,0.2962144053494315,4.746283839095004,4.007608953425528
FIP_selected,2,0.30812362013928457,4.712678126135227,3.9855264502875833
Qwen_A3,0,0.33840380793202823,4.5951146138622105,3.8753821160675272
Qwen_A3,1,0.3383768964266437,4.647483394648399,3.951084508795046
Qwen_A3,2,0.34641466924669573,4.605077483275869,3.911367928156541
