name,min,max,mean,sd,nonzero_fraction,effective_weighted_edges,top1_mass,top5_mass,top10_mass
FIP1_MAC,0.0,1.0,0.15985096329095652,0.21354157972796078,0.5568215892053973,3714,62.285159914341975,264.2550721783389,430.31634902989083
FIP2_Bridge,0.0,1.0,0.14895147989670054,0.2033119604715758,0.5568215892053973,3714,61.948850414753494,253.91783355930602,405.7006052975814
FIP3_Weaktie,0.0,1.0,0.22163494688820423,0.257453477544771,0.556671664167916,3713,53.322499626148236,251.63332611434708,470.79950960705514
