method,target,seed,fold,split_id,n_train,n_val,n_test,best_lambda1,best_lambda2,best_lambda3,runtime_seconds,pearson,rmse,mae,jaccard
no_prior_ridge,working_memory,0,4,seed00_fold04,280.0,50.0,82.0,0.0,0.0,0.0,2.333955764770508,0.3092289061256006,13.06173549114704,10.913840716197756,
mt_ncr_independent,fluid_intelligence,1,0,seed01_fold00,279.0,50.0,83.0,0.0,0.0,0.0,28.31829524040222,0.2292838557645861,4.674536048010485,3.678965007811425,
mt_ncr_independent,working_memory,1,0,seed01_fold00,279.0,50.0,83.0,0.0,0.0,0.0,28.31829953193665,0.4221445383155541,10.309122719003163,8.488944362895898,
mt_ncr_independent,jaccard_top10pct,1,0,seed01_fold00,,,,,,,,,,,0.1135225375626043
mt_ncr_joint_l21,fluid_intelligence,1,0,seed01_fold00,279.0,50.0,83.0,0.1,10.0,0.0,149.10940313339233,0.2625535569580657,4.562915064368931,3.655193854241447,
mt_ncr_joint_l21,working_memory,1,0,seed01_fold00,279.0,50.0,83.0,0.1,10.0,0.0,149.10941410064697,0.4220810928028591,10.264061934512624,8.495253928026395,
mt_ncr_joint_l21,jaccard_top10pct,1,0,seed01_fold00,,,,,,,,,,,0.1285956006768189
no_prior_ridge,fluid_intelligence,1,0,seed01_fold00,279.0,50.0,83.0,0.0,0.0,0.0,3.8083958625793457,0.2292838557645867,4.674536048010484,3.678965007811424,
no_prior_ridge,working_memory,1,0,seed01_fold00,279.0,50.0,83.0,0.0,0.0,0.0,3.808407306671143,0.3625051016070338,10.777761623040414,8.656789945198437,
mt_ncr_independent,fluid_intelligence,1,1,seed01_fold01,279.0,50.0,83.0,0.0,0.0,0.0,37.664201498031616,0.290762652822249,4.642992934974077,3.7969507699248473,
mt_ncr_independent,working_memory,1,1,seed01_fold01,279.0,50.0,83.0,0.0,0.0,0.0,37.6642062664032,0.0410021783706082,12.081746052477646,9.923212712712518,
mt_ncr_independent,jaccard_top10pct,1,1,seed01_fold01,,,,,,,,,,,0.0689102564102564
mt_ncr_joint_l21,fluid_intelligence,1,1,seed01_fold01,279.0,50.0,83.0,0.1,0.0,0.0,178.14454054832458,0.3666796679519649,4.379343290974482,3.6116562471746105,
mt_ncr_joint_l21,working_memory,1,1,seed01_fold01,279.0,50.0,83.0,0.1,0.0,0.0,178.14454412460327,0.0429997697012121,12.684398320101106,10.37300055924173,
mt_ncr_joint_l21,jaccard_top10pct,1,1,seed01_fold01,,,,,,,,,,,0.1539792387543252
no_prior_ridge,fluid_intelligence,1,1,seed01_fold01,279.0,50.0,83.0,0.0,0.0,0.0,4.155253887176514,0.3666806548090358,4.3793408463108685,3.611651596745456,
no_prior_ridge,working_memory,1,1,seed01_fold01,279.0,50.0,83.0,0.0,0.0,0.0,4.155256748199463,0.0410021783706082,12.081746052477648,9.923212712712518,
mt_ncr_independent,fluid_intelligence,1,2,seed01_fold02,280.0,50.0,82.0,0.0,0.0,0.0,42.326852560043335,0.4592568464725653,4.767850972716286,4.118207619817574,
mt_ncr_independent,working_memory,1,2,seed01_fold02,280.0,50.0,82.0,0.0,0.0,0.0,42.32685589790344,0.2164794057423724,11.24702012000328,9.605684739434333,
mt_ncr_independent,jaccard_top10pct,1,2,seed01_fold02,,,,,,,,,,,0.1353191489361702
mt_ncr_joint_l21,fluid_intelligence,1,2,seed01_fold02,280.0,50.0,82.0,1.0,0.0,0.0,191.6178858280182,0.459257843171402,4.767848880667298,4.1182057524629,
mt_ncr_joint_l21,working_memory,1,2,seed01_fold02,280.0,50.0,82.0,1.0,0.0,0.0,191.61788964271545,0.2164791027004845,11.24702118110556,9.605685659144266,
mt_ncr_joint_l21,jaccard_top10pct,1,2,seed01_fold02,,,,,,,,,,,0.172231985940246
no_prior_ridge,fluid_intelligence,1,2,seed01_fold02,280.0,50.0,82.0,0.0,0.0,0.0,5.232303619384766,0.4592568464725642,4.767850972716289,4.118207619817578,
no_prior_ridge,working_memory,1,2,seed01_fold02,280.0,50.0,82.0,0.0,0.0,0.0,5.232313871383667,0.216479405742372,11.24702012000328,9.605684739434336,
mt_ncr_independent,fluid_intelligence,1,3,seed01_fold03,280.0,50.0,82.0,0.0,0.0,0.0,61.240753412246704,0.3027890848148074,5.0765580590192885,4.38603672383598,
mt_ncr_independent,working_memory,1,3,seed01_fold03,280.0,50.0,82.0,0.0,0.0,0.0,61.2407705783844,0.3046663886975227,11.461995851228016,9.417850633056176,
mt_ncr_independent,jaccard_top10pct,1,3,seed01_fold03,,,,,,,,,,,0.0836718115353371
mt_ncr_joint_l21,fluid_intelligence,1,3,seed01_fold03,280.0,50.0,82.0,1.0,0.0,0.0,212.8076288700104,0.244491999026087,5.047781072730153,4.333163233527982,
mt_ncr_joint_l21,working_memory,1,3,seed01_fold03,280.0,50.0,82.0,1.0,0.0,0.0,212.80763220787048,0.3046654938484325,11.46199897043351,9.417853692683671,
mt_ncr_joint_l21,jaccard_top10pct,1,3,seed01_fold03,,,,,,,,,,,0.1732629727352682
no_prior_ridge,fluid_intelligence,1,3,seed01_fold03,280.0,50.0,82.0,0.0,0.0,0.0,5.638749361038208,0.3027890848148069,5.07655805901929,4.386036723835981,
no_prior_ridge,working_memory,1,3,seed01_fold03,280.0,50.0,82.0,0.0,0.0,0.0,5.638760566711426,0.3046663886975223,11.46199585122802,9.417850633056178,
mt_ncr_independent,fluid_intelligence,1,4,seed01_fold04,280.0,50.0,82.0,0.0,0.0,0.0,62.87797737121582,0.3384709974981834,4.661343082181408,3.848117373601069,
mt_ncr_independent,working_memory,1,4,seed01_fold04,280.0,50.0,82.0,0.0,0.0,0.0,62.87798070907593,0.2692982908921553,10.789331636701135,8.348637748313097,
mt_ncr_independent,jaccard_top10pct,1,4,seed01_fold04,,,,,,,,,,,0.099752679307502
