method,target,n_splits,pearson_mean,pearson_std,rmse_mean,rmse_std,mae_mean,mae_std
mt_ncr_independent,fluid_intelligence,50,0.34448792224723657,0.08607763951774927,4.6608519993860575,0.24907095586554429,3.911910299626616,0.25205422700467406
mt_ncr_independent,working_memory,50,0.22332897775994365,0.10108244015432243,11.323641001605743,0.7864370858507995,9.242898219090792,0.6932729300278662
mt_ncr_joint_l21,fluid_intelligence,49,0.33654520367494095,0.08727242336081222,4.637919405331814,0.24596307867502867,3.9126484385838936,0.23996785743679636
mt_ncr_joint_l21,working_memory,49,0.23162441617042112,0.09362031214686702,11.290537235390675,0.782196510044828,9.22162422589795,0.6828534990432961
no_prior_ridge,fluid_intelligence,49,0.34455606316245835,0.08346168766041079,4.654707092790689,0.2487544506021618,3.9133760686883345,0.24796192472759238
no_prior_ridge,working_memory,49,0.22353439272158893,0.09998601011118237,11.332732856841337,0.7823990276566757,9.24172008709941,0.6850249569782149
