method_id,method_name,method_family,seed,fold,split_id,n_train,n_val,n_test,topk,random_repeats,runtime_seconds,original_pearson,original_rmse,original_mae,random_pearson_mean,random_pearson_std,top_pearson,delta_pearson_top,bottom_pearson,delta_pearson_bottom,prior_true_top_pearson,delta_pearson_prior_true_top,prior_random_top_pearson,delta_pearson_prior_random_top,delta_pearson_random,gap_pearson_top_vs_random,gap_pearson_top_vs_bottom,gap_pearson_prior_true_vs_random,gap_pearson_prior_true_vs_prior_random,random_rmse_mean,random_rmse_std,top_rmse,delta_rmse_top,bottom_rmse,delta_rmse_bottom,prior_true_top_rmse,delta_rmse_prior_true_top,prior_random_top_rmse,delta_rmse_prior_random_top,delta_rmse_random,gap_rmse_top_vs_random,gap_rmse_top_vs_bottom,gap_rmse_prior_true_vs_random,gap_rmse_prior_true_vs_prior_random,random_mae_mean,random_mae_std,top_mae,delta_mae_top,bottom_mae,delta_mae_bottom,prior_true_top_mae,delta_mae_prior_true_top,prior_random_top_mae,delta_mae_prior_random_top,delta_mae_random,gap_mae_top_vs_random,gap_mae_top_vs_bottom,gap_mae_prior_true_vs_random,gap_mae_prior_true_vs_prior_random
M2_SHUFFLED,Shuffled-prior Meta-GAT,meta_gat,0,0,seed00_fold00,279,50,83,10,20,5.8330042362213135,0.15166447231238778,5.827360895689901,4.762223301163639,0.18680868695346659,0.047586325189180025,0.12920219894241408,0.022462273369973695,0.2022040933983066,-0.050539621085918834,0.19508253250149904,-0.04341806018911126,0.20201778609135818,-0.0503533137789704,-0.03514421464107881,0.057606488011052503,0.07300189445589253,-0.008273845548032455,0.006935253589859136,7.813995823574582,2.1720421710558004,7.095066630203268,1.2677057345133678,7.3468248081930145,1.519463912503114,5.418184098529648,-0.4091767971602529,10.000423648705285,4.173062753015384,1.9866349278846815,-0.7189291933713138,-0.2517581779897462,-2.3958117250449344,-4.582239550175637,6.659570633072451,2.12026752033921,5.292868189064853,0.5306448879012144,5.881758241768343,1.1195349406047042,4.531075799321553,-0.2311475018420852,8.672469311449902,3.9102460102862633,1.8973473319088123,-1.3667024440075979,-0.5888900527034897,-2.1284948337508975,-4.1413935121283485
M2_SHUFFLED,Shuffled-prior Meta-GAT,meta_gat,0,1,seed00_fold01,279,50,83,10,20,4.0730650424957275,0.4709022239283356,4.491357865203433,3.7228402402027543,0.4086860493137986,0.04384040169828501,0.37265996748340136,0.09824225644493423,0.4394708317365803,0.03143139219175528,0.40758875148245294,0.06331347244588265,0.4163827052960517,0.05451951863228388,0.06221617461453699,0.03602608183039724,0.06681086425317895,0.001097297831345656,0.008793953813598765,6.895189522532533,1.8092033787470527,10.136475920299485,5.645118055096052,9.62378412328627,5.1324262580828375,10.129041324166492,5.637683458963059,6.503623277182915,2.012265411979482,2.4038316573291,3.2412863977669524,0.5126917970132148,3.233851801633959,3.625418046983577,5.9963079452514645,1.6514321339312403,9.013721167323101,5.290880927120347,8.499399058790091,4.776558818587337,8.99297533839582,5.270135098193065,5.671980834869017,1.9491405946662628,2.27346770504871,3.017413222071637,0.5143221085330101,2.996667393144355,3.3209945035268023
M2_SHUFFLED,Shuffled-prior Meta-GAT,meta_gat,0,2,seed00_fold02,280,50,82,10,20,3.1285505294799805,0.21843410183413414,4.6130171694931255,3.9364576223419934,0.2316297295855711,0.03332777746919057,0.2313886244273427,-0.012954522593208562,0.23684962647984292,-0.01841552464570878,0.2135283246335351,0.0049057772005990374,0.23207720920102398,-0.01364310736688984,-0.013195627751436956,0.00024110515822839407,0.005461002052500219,0.018101404952035993,0.018548884567488877,5.526993985568841,0.5986283757195159,6.461855514292842,1.8488383447997165,4.67136398503005,0.058346815536924446,6.031874508996616,1.4188573395034902,5.527089551812489,0.9140723823193637,0.9139768160757153,0.9348615287240012,1.790491529262792,0.5048805234277749,0.5047849571841265,4.181983934379206,0.3988312638606991,4.844187387605992,0.9077297652639991,4.160989679941317,0.22453205759932393,4.428168064210473,0.49171044186847945,4.068073621610316,0.1316159992683228,0.24552631203721242,0.6622034532267866,0.6831977076646751,0.24618412983126703,0.36009444260015666
M2_SHUFFLED,Shuffled-prior Meta-GAT,meta_gat,0,3,seed00_fold03,280,50,82,10,20,3.3131840229034424,0.36323521435794376,4.8112456003864255,4.115459988756878,0.3602553891419886,0.029429634430454966,0.33283670297773665,0.030398511380207105,0.3279939098292429,0.035241304528700834,0.41238382225113734,-0.049148607893193585,0.37881346503418445,-0.01557825067624069,0.002979825215955134,0.02741868616425197,-0.004842793148493729,-0.05212843310914872,-0.033570357216952895,5.363191876558341,0.7340439352160659,6.226720987483671,1.4154753870972456,5.5613986494678525,0.750153049081427,5.02368709148561,0.21244149109918453,5.125925094910256,0.3146794945238307,0.5519462761719156,0.86352911092533,0.6653223380158186,-0.3395047850727311,-0.10223800342464617,4.390712371105101,0.5517486041767523,5.594609435011701,1.479149446254823,4.910006395200404,0.7945464064435264,4.581116350685678,0.4656563619287999,3.8975773322873,-0.21788265646957772,0.27525238234822336,1.2038970639065996,0.6846030398112966,0.19040397958057653,0.6835390183983776
M2_SHUFFLED,Shuffled-prior Meta-GAT,meta_gat,0,4,seed00_fold04,280,50,82,10,20,4.4129393100738525,0.20090558358458172,4.9160305068849395,4.101291609973442,0.17860180846247903,0.08389032108314384,0.23246407538012265,-0.03155849179554093,0.18303929504490463,0.01786628853967709,0.22673032685103228,-0.025824743266450567,0.25231814905422023,-0.051412565469638516,0.022303775122102687,-0.05386226691764362,-0.04942478033521802,-0.048128518388553254,0.02558782220318795,7.580270282513284,1.9827132434029853,16.896594455519118,11.980563948634178,6.943518502957677,2.027487996072738,12.143384434439401,7.227353927554462,4.974252408115297,0.05822190123035753,2.664239775628345,9.316324173005832,9.95307595256144,4.563114151926117,7.169132026324104,6.588746969874312,1.9678873497601834,16.343213092990037,12.241921483016595,5.929121308210419,1.827829698236977,11.351648016673762,7.25035640670032,4.3876793675306365,0.28638775755719426,2.4874553599008697,9.754466123115726,10.414091784779618,4.76290104679945,6.963968649143125
M2_SHUFFLED,Shuffled-prior Meta-GAT,meta_gat,1,0,seed01_fold00,279,50,83,10,20,3.8744521141052246,0.3595587262380548,4.844975895449466,4.045152859515454,0.3301503917931111,0.03548037664977595,0.2989293224247778,0.06062940381327697,0.3425447773004743,0.017013948937580514,0.3469620227402422,0.012596703497812611,0.35796849215590687,0.0015902340821479233,0.029408334444943673,0.0312210693683333,0.04361545487569646,-0.016811630947131062,0.011006469415664688,5.827930843404591,0.9428899182604642,5.22748876142909,0.3825128659796233,5.359606608760336,0.5146307133108694,4.932169321887599,0.08719342643813288,5.081514983498866,0.23653908804939938,0.9829549479551245,-0.6004420819755012,-0.1321178473312461,-0.8957615215169916,-0.1493456616112665,4.714336993320878,0.6187709985033705,4.639347363667316,0.5941945041518615,4.700960009931082,0.6558071504156278,4.403026695711067,0.35787383619561286,4.0922558795974915,0.04710302008203726,0.6691841338054241,-0.0749896296535626,-0.06161264626376628,-0.3113102976098112,0.3107708161135756
M2_SHUFFLED,Shuffled-prior Meta-GAT,meta_gat,1,1,seed01_fold01,279,50,83,10,20,4.8236634731292725,0.10487151316021315,4.9738416941884775,4.2113307240497635,0.11929186470927619,0.046761996402998995,0.11459852276780406,-0.009727009607590917,0.08433260389374303,0.020538909266470118,0.10151007044815796,0.003361442712055185,0.12757802163855342,-0.02270650847834027,-0.014420351549063043,0.004693341941472126,-0.030265918874061035,0.017781794261118228,0.026067951190395455,5.931238143354082,1.1149068795914014,6.0471987293755785,1.073357035187101,7.212830235473796,2.2389885412853188,6.159293630258548,1.1854519360700708,4.819510982952955,-0.15433071123552278,0.9573964491656044,0.1159605860214965,-1.1656315060982179,0.22805548690446642,1.3397826473055936,4.373913994180151,1.1491101999455846,4.1370566724294635,-0.07427405162029999,6.597060605704066,2.385729881654303,4.259096513311547,0.0477657892617831,3.4918695243008164,-0.7194611997489471,0.1625832701303871,-0.23685732175068708,-2.460003933274603,-0.114817480868604,0.7672269890107302
M2_SHUFFLED,Shuffled-prior Meta-GAT,meta_gat,1,2,seed01_fold02,280,50,82,10,20,3.270211696624756,0.3123198502973059,4.654569056766697,3.8611363085304817,0.31701545403270553,0.03804301268224914,0.35301871030398524,-0.04069886000667933,0.38321078937380937,-0.07089093907650346,0.34185569820274503,-0.029535847905439117,0.3102845147492992,0.0020353355480067226,-0.004695603735399623,-0.036003256271279704,0.03019207906982413,-0.024840244170039494,-0.03157118345344584,5.828202679297581,1.2519784359708548,5.903906141095018,1.2493370843283218,6.495899341010258,1.8413302842435613,4.677666484867138,0.023097428100441242,4.732386617406127,0.07781756063943046,1.1736336225308843,0.07570346179743748,-0.5919931999152395,-1.150536194430443,-0.05472013253898922,4.712156651078201,1.0511734664215002,5.247747432894823,1.3866111243643409,5.664139398714391,1.8030030901839091,4.0195274469329085,0.1583911384024268,3.7771970353475433,-0.08393927318293848,0.8510203425477196,0.5355907818166212,-0.4163919658195683,-0.6926292041452928,0.24233041158536528
M2_SHUFFLED,Shuffled-prior Meta-GAT,meta_gat,1,3,seed01_fold03,280,50,82,10,20,4.365246295928955,0.29947937481555514,4.898223332801684,4.1435075387722105,0.2995241366343775,0.05858920920788365,0.3213705165575553,-0.02189114174200013,0.3339571083447529,-0.03447773352919775,0.3154087663355555,-0.015929391520000336,0.298003299974921,0.0014760748406341673,-4.476181882234753e-05,-0.021846379923177783,0.01258659178719762,-0.015884629701177988,-0.017405466360634503,6.570517924445755,1.6560055176984565,7.580935643349394,2.6827123105477106,8.527639720195616,3.629416387393932,5.527217640698588,0.628994307896904,6.724553608449503,1.8263302756478188,1.6722945916440715,1.0104177189036392,-0.9467040768462214,-1.0433002837471674,-1.1973359677509148,5.453220470358685,1.4028539669583964,6.485969148031095,2.3424616092588844,7.3568873638060035,3.213379825033793,4.68803966336134,0.5445321245891295,5.289422291081126,1.145914752308916,1.3097129315864748,1.0327486776724095,-0.8709182157749087,-0.7651808069973454,-0.6013826277197865
M2_SHUFFLED,Shuffled-prior Meta-GAT,meta_gat,1,4,seed01_fold04,280,50,82,10,20,3.9273793697357178,0.12146692101645566,4.663193973147743,3.9606216942391743,0.14553686522364698,0.02604431714764519,0.09664431492923216,0.024822606087223503,0.1477944683469788,-0.02632754733052313,0.10106535486243927,0.020401566154016393,0.12699720621904598,-0.005530285202590315,-0.024069944207191316,0.04889255029441482,0.05115015341774663,0.04447151036120771,0.025931851356606708,5.667730108969012,0.6806564948862952,5.703318613763748,1.0401246406160043,4.594815635257184,-0.06837833789055914,5.218952368073323,0.5557583949255793,5.51691368143075,0.8537197082830064,1.0045361358212688,0.03558850479473552,1.1085029785065634,-0.44877774089568945,-0.29796131335742704,4.337929334291599,0.5095991158605085,4.29113429930152,0.3305126050623457,3.9426502948854028,-0.017971399353771567,4.000532755037633,0.03991106079845874,4.1746986668284345,0.21407697258926017,0.37730764005242445,-0.046795034990078754,0.34848400441611727,-0.3373965792539657,-0.17416591179080143
