original_pearson,original_rmse,original_mae,random_pearson_mean,random_pearson_std,top_pearson,delta_pearson_top,bottom_pearson,delta_pearson_bottom,prior_true_top_pearson,delta_pearson_prior_true_top,prior_random_top_pearson,delta_pearson_prior_random_top,delta_pearson_random,gap_pearson_top_vs_random,gap_pearson_top_vs_bottom,gap_pearson_prior_true_vs_random,gap_pearson_prior_true_vs_prior_random,random_rmse_mean,random_rmse_std,top_rmse,delta_rmse_top,bottom_rmse,delta_rmse_bottom,prior_true_top_rmse,delta_rmse_prior_true_top,prior_random_top_rmse,delta_rmse_prior_random_top,delta_rmse_random,gap_rmse_top_vs_random,gap_rmse_top_vs_bottom,gap_rmse_prior_true_vs_random,gap_rmse_prior_true_vs_prior_random,random_mae_mean,random_mae_std,top_mae,delta_mae_top,bottom_mae,delta_mae_bottom,prior_true_top_mae,delta_mae_prior_true_top,prior_random_top_mae,delta_mae_prior_random_top,delta_mae_random,gap_mae_top_vs_random,gap_mae_top_vs_bottom,gap_mae_prior_true_vs_random,gap_mae_prior_true_vs_prior_random,method_id,method_name,method_family,seed,fold,split_id,n_train,n_val,n_test,topk,mask_mode,random_repeats,device,runtime_seconds
0.37930972271710556,4.752383476901924,3.96464750371539,0.35156819551385754,0.029983060842335967,0.2990142954482352,0.08029542726887035,0.3604749456068763,0.01883477711022924,0.3632228506021454,0.016086872114960182,0.2828362521157621,0.09647347060134348,0.027741527203248018,0.05255390006562233,0.061460650158641106,-0.011654655088287835,-0.0803865984863833,5.027921727667014,0.19241450803045348,5.041145245771014,0.2887617688690902,4.870119471779321,0.11773599487739705,5.127517041171633,0.3751335642697091,5.1293615654325615,0.3769780885306373,0.27553825076508964,0.013223518104000576,0.17102577399169316,0.09959531350461948,-0.001844524260928182,4.33614317514551,0.1954487820598312,4.376888525520956,0.41224102180556566,4.203491178044124,0.23884367432873388,4.478422397711675,0.5137748939962852,4.469529179076464,0.5048816753610743,0.3714956714301203,0.040745350375445355,0.17339734747683178,0.14227922256616488,0.008893218635210864,M3_RANDOM,Two-Stage KRR (random edge-prior biomarker),kernel_ridge,0,0,seed00_fold00,279,50,83,10,both,20,cuda,1.9996912479400635
0.4710801991475036,4.571136707066965,3.8091694853967764,0.4603185118751775,0.04894655750616168,0.3906882264270075,0.08039197272049609,0.3479409207728583,0.12313927837464528,0.5023421039672307,-0.03126190481972707,0.3442699068738013,0.12681029227370227,0.01076168727232607,0.06963028544817002,-0.04274730565414919,-0.04202359209205314,-0.15807219709342935,5.184855712330141,0.764551474889726,5.197117858022787,0.6259811509558215,8.118737660796524,3.5476009537295594,4.869341208476887,0.2982045014099217,5.156918946264945,0.5857822391979797,0.6137190052631762,0.012262145692645277,-2.921619802773738,-0.3155145038532545,-0.28757773778805795,4.321780906227537,0.6460545670336056,4.5234178453578995,0.7142483599611231,7.043798879092649,3.2346293936958728,3.806448827367815,-0.0027206580289611537,4.442621341016687,0.6334518556199105,0.5126114208307606,0.2016369391303625,-2.5203810337347496,-0.5153320788597218,-0.6361725136488716,M3_RANDOM,Two-Stage KRR (random edge-prior biomarker),kernel_ridge,0,1,seed00_fold01,279,50,83,10,both,20,cuda,2.0553059577941895
0.23109563872982708,4.6005452899496,3.9135897619542743,0.21291263095331958,0.05341126333406293,0.2063061995711136,0.024789439158713483,0.18752872593099518,0.0435669127988319,0.1885232732473441,0.04257236548248297,0.10677121082323215,0.12432442790659493,0.018183007776507498,0.006606431382205985,-0.01877747364011842,0.024389357705975473,-0.08175206242411195,4.718332537744432,0.008343316308773167,4.704321190753038,0.10377590080343779,4.721566736657479,0.1210214467078794,4.71149493506607,0.11094964511647021,4.723432473211289,0.1228871832616889,0.11778724779483252,-0.014011346991394724,-0.017245545904441606,-0.006837602678362309,-0.011937538145218696,4.122815662918436,0.004867669171852263,4.119601080946253,0.20601131899197833,4.118599878987423,0.20501011703314864,4.110534932142782,0.19694517018850766,4.12529083977561,0.2117010778213353,0.2092259009641615,-0.0032145819721831614,0.0010012019588296894,-0.012280730775653836,-0.014755907632827636,M3_RANDOM,Two-Stage KRR (random edge-prior biomarker),kernel_ridge,0,2,seed00_fold02,280,50,82,10,both,20,cuda,1.9416542053222656
0.4465335081559687,4.64398128047425,3.7375759233525896,0.3624599856496038,0.06740174095125116,0.2331295893586865,0.2134039187972822,0.429705433593494,0.016828074562474704,0.39693009001820934,0.04960341813775937,0.24740747066172986,0.19912603749423885,0.0840735225063649,0.1293303962909173,0.1965758442348075,-0.034470104368605536,-0.14952261935647948,5.435578520647572,0.6038234359199817,5.878990952631042,1.2350096721567922,4.912133480923539,0.2681522004492889,5.2039521605707995,0.5599708800965493,5.277708847805999,0.6337275673317491,0.7915972401733216,0.4434124319834707,0.9668574717075034,-0.2316263600767723,-0.07375668723519979,4.581797653855134,0.7456486630739636,5.378456680910402,1.6408807575578122,4.351411347811994,0.6138354244594044,4.69324752129003,0.9556715979374406,4.7114199443328415,0.9738440209802519,0.8442217305025448,0.7966590270552674,1.0270453330984077,0.11144986743489582,-0.018172423042811303,M3_RANDOM,Two-Stage KRR (random edge-prior biomarker),kernel_ridge,0,3,seed00_fold03,280,50,82,10,both,20,cuda,1.72194242477417
0.2768460479817857,4.366841059277763,3.705291895902439,0.26276761601588283,0.036327968153875505,0.276521086275649,0.00032496170613671715,0.2825799331999804,-0.005733885218194734,0.25991103365551016,0.016935014326275533,0.2595177012666523,0.01732834671513339,0.01407843196590286,-0.013753470259766143,0.006058846924331451,0.0028565823603726725,-0.0003933323888578588,4.582959987175675,0.2948487542847473,4.4428602366851395,0.0760191774073764,4.477955194776712,0.11111413549894866,4.260869665354038,-0.10597139392372501,4.4576801306042055,0.09083907132644242,0.2161189278979121,-0.1400997504905357,-0.03509495809157226,-0.3220903218216371,-0.19681046525016743,4.021499733863638,0.3464378608178013,3.886697554757312,0.18140565885487314,3.958958202680433,0.25366630677799407,3.681231469596359,-0.02406042630607974,3.9129983279637557,0.2077064320613169,0.316207837961199,-0.13480217910632586,-0.07226064792312092,-0.34026826426727874,-0.23176685836739663,M3_RANDOM,Two-Stage KRR (random edge-prior biomarker),kernel_ridge,0,4,seed00_fold04,280,50,82,10,both,20,cuda,1.8333439826965332
0.4399015743734898,4.659893701274277,3.714074183159749,0.41789582860753016,0.03565418837769269,0.38854321082624327,0.051358363547246544,0.46007094818049504,-0.02016937380700523,0.4330481041329429,0.006853470240546888,0.35729358010605583,0.08260799426743398,0.02200574576595965,0.029352617781286894,0.07152773735425177,-0.015152275525412762,-0.0757545240268871,6.742519642576257,2.0543443792918077,6.619172152355645,1.959278451081368,4.919124619849125,0.2592309185748478,4.928148882732794,0.26825518145851657,7.92440872870944,3.264515027435163,2.0826259413019796,-0.12334749022061153,1.7000475325065203,-1.814370759843463,-2.9962598459766463,5.829487448214372,1.9150196643538802,5.7978306440927945,2.0837564609330457,4.344728045040901,0.6306538618811519,4.332466060894713,0.6183918777349646,6.846043612622418,3.1319694294626688,2.115413265054623,-0.03165680412157723,1.4531025990518938,-1.4970213873196583,-2.513577551727704,M3_RANDOM,Two-Stage KRR (random edge-prior biomarker),kernel_ridge,1,0,seed01_fold00,279,50,83,10,both,20,cuda,2.190220355987549
0.2556199790354675,4.685995849926928,4.006323958371316,0.24177596175463859,0.05560927859367671,0.2014038376396443,0.0542161413958232,0.33188273263428014,-0.07626275359881263,0.2306888663238845,0.02493111271158302,0.2031706200197144,0.05244935901575312,0.01384401728082893,0.04037212411499427,0.13047889499463583,0.01108709543075409,-0.027518246304170102,4.788608565893325,0.19513471839607313,4.8061634493237255,0.12016759939679744,4.6356102609062395,-0.05038558902068857,4.696578350481585,0.010582500554656704,4.861572269280601,0.17557641935367307,0.10261271596639698,0.01755488343040046,0.170553188417486,-0.09203021541174028,-0.16499391879901637,4.191127933751595,0.32310061119515565,4.2494602141954125,0.24313625582409681,3.972966746000615,-0.03335721237070066,4.07796972079889,0.07164576242757459,4.335264485154518,0.3289405267832022,0.18480397538027926,0.05833228044381755,0.2764934681947975,-0.11315821295270467,-0.2572947643556276,M3_RANDOM,Two-Stage KRR (random edge-prior biomarker),kernel_ridge,1,1,seed01_fold01,279,50,83,10,both,20,cuda,1.6817388534545898
0.3105744439652852,4.6419321153227235,3.898642798158472,0.2967351181355991,0.025754417467860526,0.342853727925888,-0.032279283960602756,0.2608351812492172,0.049739262716068045,0.26671926287926395,0.043855181086021267,0.316078476163773,-0.005504032198487774,0.013839325829686111,-0.04611860979028887,-0.0820185466766708,0.030015855256335155,0.04935921328450904,5.11732738041084,0.4190825492233811,4.822584705020522,0.1806525896977984,4.984869558660954,0.3429374433382302,4.804408216694927,0.1624761013722038,5.479970682008106,0.8380385666853822,0.4753952650881166,-0.2947426753903182,-0.16228485364043177,-0.3129191637159128,-0.6755624653131784,4.363264557145497,0.3654279910734594,4.218382889887097,0.3197400917286255,4.352529778209515,0.4538869800510432,4.1612822885011695,0.2626394903426976,4.793756426661795,0.895113628503323,0.46462175898702496,-0.14488166725839946,-0.13414688832241772,-0.20198226864432733,-0.6324741381606254,M3_RANDOM,Two-Stage KRR (random edge-prior biomarker),kernel_ridge,1,2,seed01_fold02,280,50,82,10,both,20,cuda,1.6123826503753662
0.36674695282175684,4.775942548600976,3.9497158942210486,0.347711020358547,0.03586449205589321,0.3771763439652118,-0.01042939114345498,0.371557856170907,-0.004810903349150131,0.30479057337907545,0.0619563794426814,0.33118896482462257,0.03555798799713428,0.019035932463209837,-0.029465323606664817,-0.0056184877943048495,0.04292044697947156,0.02639839144554712,5.980009350673496,1.3096560640054933,6.794178714004911,2.018236165403935,4.81795104977299,0.04200850117201416,4.825278072732381,0.04933552413140507,6.203617110866897,1.4276745622659215,1.2040668020725205,0.8141693633314144,1.9762276642319208,-1.1547312779411154,-1.3783390381345164,5.099950153512765,1.16836898427952,5.812357017668326,1.8626411234472773,4.128905980058185,0.1791900858371367,4.122121361663384,0.17240546744233498,5.297741367080969,1.3480254728599208,1.1502342592917163,0.712406864155561,1.6834510376101406,-0.9778287918493813,-1.1756200054175858,M3_RANDOM,Two-Stage KRR (random edge-prior biomarker),kernel_ridge,1,3,seed01_fold03,280,50,82,10,both,20,cuda,1.7925443649291992
0.18347786260329046,4.62535636646525,3.9550593545054444,0.19029152413058392,0.029907721594574742,0.16182573070449618,0.02165213189879428,0.183479702042753,-1.8394394625254051e-06,0.2397204175473255,-0.056242554944035045,0.1254521426195121,0.05802571998377837,-0.0068136615272934575,0.028465793426087738,0.021653971338256806,-0.04942889341674159,-0.11426827492781341,5.154109054843087,0.6120897962249662,6.726696567839393,2.1013402013741427,5.09787590516792,0.47251953870267016,4.671067564092253,0.0457111976270026,7.110801889468827,2.485445523003577,0.5287526883778364,1.5725875129963063,1.6288206626714725,-0.4830414907508338,-2.439734325376574,4.426614242909512,0.5391917307695542,5.760044395476547,1.8049850409711028,4.011857948111006,0.056798593605561276,4.101180268317053,0.14612091381160885,6.050469014426131,2.0954096599206866,0.47155488840406745,1.3334301525670353,1.7481864473655415,-0.3254339745924586,-1.9492887461090778,M3_RANDOM,Two-Stage KRR (random edge-prior biomarker),kernel_ridge,1,4,seed01_fold04,280,50,82,10,both,20,cuda,1.8294978141784668
0.42531029671316845,4.470705447686338,3.6872459285987573,0.3732895753507928,0.03208616717116425,0.2649504634236497,0.16035983328951875,0.39761295633486493,0.027697340378303514,0.40253583481944477,0.022774461893723674,0.3534648260106021,0.07184547070256636,0.05202072136237562,0.10833911192714313,0.13266249291121524,-0.029246259468651947,-0.04907100880884269,4.802448817875687,0.03324856749613626,4.847359143425727,0.3766536957393889,4.781940124127245,0.31123467644090663,4.724502247110333,0.2537967994239949,4.83245996086931,0.361754513182972,0.33174337018934885,0.04491032555004004,0.06541901929848226,-0.07794657076535394,-0.10795771375897711,4.038616268478507,0.08259128776157174,4.098874988679485,0.41162906008072797,4.011529647912169,0.3242837193134114,3.9114346985163477,0.2241887699175904,4.078301652407595,0.3910557238088379,0.35137033987974986,0.06025872020097811,0.08734534076731659,-0.12718156996215946,-0.1668669538912475,M3_RANDOM,Two-Stage KRR (random edge-prior biomarker),kernel_ridge,2,0,seed02_fold00,279,50,83,10,both,20,cuda,1.565312147140503
0.2969398970854461,4.776079934365697,4.078703210203909,0.2685331262943635,0.03780057650554556,0.32674328941949965,-0.029803392334053547,0.23684737543538584,0.060092521650060265,0.27249255371183945,0.024447343373606656,0.23528525831192193,0.06165463877352417,0.028406770791082614,-0.05821016312513616,-0.08989591398411381,-0.003959427417475958,-0.03720729539991752,6.006176049416146,1.5835036497976382,5.311462958380494,0.5353830240147968,8.35584506088975,3.5797651265240535,4.784360828549904,0.008280894184206744,4.969653748084669,0.19357381371897198,1.2300961150504488,-0.694713091035652,-3.044382102509257,-1.221815220866242,-0.18529291953476523,5.063600979344939,1.3756987645828413,4.635545990180992,0.5568427799770825,7.058231789593614,2.9795285793897044,4.068913374113114,-0.009789836090795312,4.390318901753911,0.3116156915500019,0.9848977691410292,-0.4280549891639467,-2.422685799412622,-0.9946876052318245,-0.3214055276407972,M3_RANDOM,Two-Stage KRR (random edge-prior biomarker),kernel_ridge,2,1,seed02_fold01,279,50,83,10,both,20,cuda,4.825867176055908
0.26524952634318383,5.187887258465819,4.240350498688873,0.2498086225747318,0.024602299818787737,0.23507879544503613,0.030170730898147702,0.24110653445238542,0.02414299189079841,0.23089965639726517,0.034349869945918654,0.1576293296627071,0.10762019668047673,0.01544090376845203,0.014729827129695672,0.006027739007349292,0.018908966177466624,-0.07327032673455808,6.71743256061325,2.4482562506339254,7.829364040645621,2.6414767821798018,5.566403376180899,0.37851611771507976,5.397168811334198,0.20928155286837846,7.107684328208346,1.9197970697425264,1.5295453021474303,1.1119314800323714,2.262960664464722,-1.3202637492790519,-1.710515516874148,5.630946751812628,2.424943700473185,6.8460115858710955,2.605661087182223,4.313598496607256,0.07324799791838288,4.667720551626871,0.4273700529379987,6.197197569729933,1.95684707104106,1.3905962531237552,1.2150648340584675,2.53241308926384,-0.9632262001857566,-1.5294770181030612,M3_RANDOM,Two-Stage KRR (random edge-prior biomarker),kernel_ridge,2,2,seed02_fold02,280,50,82,10,both,20,cuda,1.7913973331451416
0.3545086899140086,4.564424021056737,3.9085139143723517,0.3481478313950158,0.0238066662666988,0.32162152222247253,0.032887167691536046,0.3530585722552979,0.0014501176587106701,0.3705198492515718,-0.016011159337563197,0.3078286633231748,0.046680026590833756,0.0063608585189927624,0.026526309172543283,0.031437050032825375,-0.02237201785655596,-0.06269118592839695,4.675221575637087,0.057683865267657786,4.759498251678665,0.19507423062192863,4.577518699887291,0.013094678830554152,4.646812779297304,0.08238875824056713,4.75389191435604,0.18946789329930347,0.11079755458035034,0.08427667604157829,0.18197955179137448,-0.028408796339783216,-0.10707913505873634,4.052880408149534,0.0749161899356135,4.162266668533461,0.25375275416110954,3.9032688986213255,-0.005245015751026205,4.016982499764052,0.10846858539170023,4.151571979417318,0.24305806504496585,0.14436649377718203,0.10938626038392751,0.25899776991213574,-0.03589790838548179,-0.13458947965326562,M3_RANDOM,Two-Stage KRR (random edge-prior biomarker),kernel_ridge,2,3,seed02_fold03,280,50,82,10,both,20,cuda,2.0535011291503906
0.3208534279270262,4.5996257611841065,3.749437240418631,0.267293395237311,0.055502837159972285,0.25012881637194895,0.07072461155507725,0.2660693320198595,0.05478409590716671,0.2920721339605797,0.02878129396644652,0.2296701041745489,0.09118332375247731,0.05356003268971521,0.017164578865362046,0.015940515647910547,-0.02477873872326869,-0.062402029786030794,4.725782075780176,0.06772620430315728,4.818116152192956,0.21849039100884937,4.753521138412229,0.15389537722812285,4.604302948606028,0.00467718742192158,4.760850285768379,0.16122452458427272,0.12615631459606913,0.09233407641278024,0.06459501378072652,-0.12147912717414755,-0.15654733716235114,3.977144267211223,0.12355250016698355,4.201328605002761,0.4518913645841298,3.9986361556338257,0.24919891521519455,3.805328540044533,0.05589129962590178,4.0158905458722,0.2664533054535685,0.2277070267925918,0.224184337791538,0.20269244936893527,-0.17181572716669002,-0.2105620058276667,M3_RANDOM,Two-Stage KRR (random edge-prior biomarker),kernel_ridge,2,4,seed02_fold04,280,50,82,10,both,20,cuda,1.9936296939849854
