method_id,seed,fold,condition,repeat,pearson,rmse,mae
M3_RANDOM,0,0,random,0,0.3556182308142953,4.83040651446297,4.113563559442462
M3_RANDOM,0,0,random,1,0.38590825695308684,5.009946740642857,4.082003872823362
M3_RANDOM,0,0,random,2,0.3927701657939908,4.862094777398781,4.208173504151516
M3_RANDOM,0,0,random,3,0.30778447285028565,4.973519674134126,4.324917118114655
M3_RANDOM,0,0,random,4,0.34429064380642943,4.887241767223469,4.232890160625913
M3_RANDOM,0,0,random,5,0.3005762723067471,5.234009781182963,4.570197022030293
M3_RANDOM,0,0,random,6,0.3381002793056732,4.968296685993622,4.299465453317626
M3_RANDOM,0,0,random,7,0.3301717489427597,5.192654862209192,4.516518184996383
M3_RANDOM,0,0,random,8,0.40723851588917914,5.582337643290823,4.8021973178955815
M3_RANDOM,0,0,random,9,0.3745860481358918,5.031494412219603,4.393927297405359
M3_RANDOM,0,0,random,10,0.3561153196515167,5.309988015571436,4.598191416243317
M3_RANDOM,0,0,random,11,0.3273354850304446,4.948243100629988,4.265940048239405
M3_RANDOM,0,0,random,12,0.35346667343605503,4.874889303082861,4.104621569417388
M3_RANDOM,0,0,random,13,0.32969915393743887,5.135400831329059,4.488731300121904
M3_RANDOM,0,0,random,14,0.34044727669571073,4.988976570449305,4.364687426257383
M3_RANDOM,0,0,random,15,0.3848206110294476,5.179868164490727,4.516562850895742
M3_RANDOM,0,0,random,16,0.31642916906033786,4.906701944787597,4.239612333641774
M3_RANDOM,0,0,random,17,0.35003287060538696,4.859281298235177,4.158896686314902
M3_RANDOM,0,0,random,18,0.3930235243729658,4.830358613223258,4.110992605167761
M3_RANDOM,0,0,random,19,0.34294919165950777,4.952723852782468,4.330773775807491
M3_RANDOM,0,0,top,-1,0.2990142954482352,5.041145245771014,4.376888525520956
M3_RANDOM,0,0,bottom,-1,0.3604749456068763,4.870119471779321,4.203491178044124
M3_RANDOM,0,0,prior_true_top,-1,0.3632228506021454,5.127517041171633,4.478422397711675
M3_RANDOM,0,0,prior_random_top,-1,0.2828362521157621,5.1293615654325615,4.469529179076464
M3_RANDOM,0,1,random,0,0.4873918589628918,4.662012990574554,3.732449177653771
M3_RANDOM,0,1,random,1,0.4724192394237743,4.699163629573819,3.749099049631362
M3_RANDOM,0,1,random,2,0.43188821522753607,5.1482253719753714,4.452813684075136
M3_RANDOM,0,1,random,3,0.4087570441501568,5.089930854214219,4.406204096563774
M3_RANDOM,0,1,random,4,0.40368908327932096,5.737212467453381,4.955907097914493
M3_RANDOM,0,1,random,5,0.4201851285574941,7.89339656860668,6.446802247475774
M3_RANDOM,0,1,random,6,0.4798296764505481,4.630979975215802,3.9110679225504126
M3_RANDOM,0,1,random,7,0.4395533522559785,4.778557761909829,4.079186520416707
M3_RANDOM,0,1,random,8,0.5050708101924997,4.818532952670055,4.216427739529186
M3_RANDOM,0,1,random,9,0.42945328778237324,4.85653274399523,4.1667850956783745
M3_RANDOM,0,1,random,10,0.393588918793814,5.026647179793368,4.361685146610857
M3_RANDOM,0,1,random,11,0.5005838188238372,5.9052934226095894,5.054750386681667
M3_RANDOM,0,1,random,12,0.5163900308640668,4.671690949143732,3.714710927303238
M3_RANDOM,0,1,random,13,0.46946834628287015,4.8774602703184415,4.269033673170048
M3_RANDOM,0,1,random,14,0.4235054582805955,5.427402555231059,4.685298114299223
M3_RANDOM,0,1,random,15,0.3798378095640711,4.864615214098144,4.176549837911742
M3_RANDOM,0,1,random,16,0.47206301578891396,6.033993804616204,4.669987675792878
M3_RANDOM,0,1,random,17,0.48821368298274814,5.1443952457909194,3.943954451159671
M3_RANDOM,0,1,random,18,0.5658586195601202,4.66543237754043,3.689049715281737
M3_RANDOM,0,1,random,19,0.5186228402799412,4.765637911272015,3.753855564850688
M3_RANDOM,0,1,top,-1,0.3906882264270075,5.197117858022787,4.5234178453578995
M3_RANDOM,0,1,bottom,-1,0.3479409207728583,8.118737660796524,7.043798879092649
M3_RANDOM,0,1,prior_true_top,-1,0.5023421039672307,4.869341208476887,3.806448827367815
M3_RANDOM,0,1,prior_random_top,-1,0.3442699068738013,5.156918946264945,4.442621341016687
M3_RANDOM,0,2,random,0,0.1362044927329772,4.720701194088411,4.128232689269942
M3_RANDOM,0,2,random,1,0.20983637223310586,4.712813420737845,4.10793549457995
M3_RANDOM,0,2,random,2,0.12033590579757039,4.720762955292362,4.11632453005121
M3_RANDOM,0,2,random,3,0.274706733327603,4.692555264863305,4.12257383963743
M3_RANDOM,0,2,random,4,0.27888306384981176,4.723174245968177,4.124876101567835
M3_RANDOM,0,2,random,5,0.15564596221288157,4.723124372330947,4.125204774220602
M3_RANDOM,0,2,random,6,0.24683644707946542,4.722452232098458,4.124882161714281
M3_RANDOM,0,2,random,7,0.25812539026064807,4.712064572987651,4.116100881839791
M3_RANDOM,0,2,random,8,0.23896546304220342,4.722668128794662,4.12523461818211
M3_RANDOM,0,2,random,9,0.18620825305806193,4.720159008493114,4.121743980159571
M3_RANDOM,0,2,random,10,0.2731134392282445,4.717617458885501,4.125359771825573
M3_RANDOM,0,2,random,11,0.24694207383540334,4.7209447492553345,4.126875394801777
M3_RANDOM,0,2,random,12,0.24626281531812733,4.72267751839638,4.124913897205518
M3_RANDOM,0,2,random,13,0.19273137826846132,4.722886272842611,4.124942585218203
M3_RANDOM,0,2,random,14,0.20778029790200217,4.722468491626376,4.12601496452262
M3_RANDOM,0,2,random,15,0.1505165824614439,4.723073052562842,4.12308131159646
M3_RANDOM,0,2,random,16,0.12324527759224424,4.723439166876891,4.1252532194528495
M3_RANDOM,0,2,random,17,0.1888440798312231,4.723073898978783,4.125538365308323
M3_RANDOM,0,2,random,18,0.26967509292426256,4.720421584383761,4.124194985371476
M3_RANDOM,0,2,random,19,0.2533934981106514,4.699573165425264,4.117029691843184
M3_RANDOM,0,2,top,-1,0.2063061995711136,4.704321190753038,4.119601080946253
M3_RANDOM,0,2,bottom,-1,0.18752872593099518,4.721566736657479,4.118599878987423
M3_RANDOM,0,2,prior_true_top,-1,0.1885232732473441,4.71149493506607,4.110534932142782
M3_RANDOM,0,2,prior_random_top,-1,0.10677121082323215,4.723432473211289,4.12529083977561
M3_RANDOM,0,3,random,0,0.4332221299851082,5.011811953428964,3.8677290050964976
M3_RANDOM,0,3,random,1,0.43802605079522744,5.052708205044772,3.8263883383038695
M3_RANDOM,0,3,random,2,0.4226151236028189,5.60883583625842,5.101975989390937
M3_RANDOM,0,3,random,3,0.1888653302320057,5.169651907182962,4.516826453421779
M3_RANDOM,0,3,random,4,0.3741859716302753,5.099137376902944,4.354725326518056
M3_RANDOM,0,3,random,5,0.2753089574633917,5.0157768681370625,4.252537889553095
