experiment_id,experiment_name,prior_type,prior_source,seed,fold,split_id,n_train,n_val,n_test,best_epoch,best_val_metric,runtime_seconds,target_train_mean,target_train_std,group_aware,pearson,rmse,mae,alignment_module_pearson,alignment_module_spearman,alignment_module_topk_jaccard,reference_alignment_node_pearson,reference_alignment_node_spearman,reference_alignment_node_topk_jaccard,reference_alignment_module_pearson,reference_alignment_module_spearman,reference_alignment_module_topk_jaccard,reference_alignment_edge_diagonal_pearson,reference_alignment_edge_diagonal_spearman,reference_alignment_edge_diagonal_topk_jaccard
SWEEP_module_0.01,SWEEP_module_0.01,module,true_working_memory,0,0,seed00_fold00,232,42,138,28,4.259540557861328,54.67869782447815,16.80603448275862,4.812999437462863,False,0.12242205440998077,5.147369861602783,4.296191692352295,0.8862752318382263,0.7619047619047621,1.0,0.4998328983783722,0.47930034526402393,0.42857142857142855,0.8862752318382263,0.7619047619047621,1.0,0.5280448794364929,0.47930034526402393,0.42857142857142855
SWEEP_module_0.01,SWEEP_module_0.01,module,true_working_memory,0,1,seed00_fold01,233,42,137,15,4.613930702209473,44.18187117576599,16.875536480686694,4.962256927135164,False,0.1533740609884262,4.908529758453369,3.9439260959625244,0.968363881111145,0.8333333333333335,1.0,0.6856063008308411,0.6497727365948788,0.42857142857142855,0.968363881111145,0.8333333333333335,1.0,0.6983956694602966,0.6497727365948788,0.42857142857142855
SWEEP_module_0.01,SWEEP_module_0.01,module,true_working_memory,0,2,seed00_fold02,233,42,137,49,4.764520168304443,89.7032299041748,16.824034334763947,4.987445787554955,False,0.1698599010705948,5.189748764038086,4.187046051025391,0.9858255386352539,0.880952380952381,1.0,0.615151047706604,0.6258811320796653,0.25,0.9858255386352539,0.880952380952381,1.0,0.6227219700813293,0.6258811320796653,0.25
SWEEP_module_0.01,SWEEP_module_0.01,module,true_working_memory,1,0,seed01_fold00,232,42,138,32,4.846199035644531,70.47933316230774,16.586206896551722,4.766204601359598,False,0.15741010010242462,5.136838436126709,4.572209358215332,0.9910697937011719,1.0,1.0,0.7032111287117004,0.6774748123151734,0.3333333333333333,0.9910697937011719,1.0,1.0,0.7091398239135742,0.6774748123151734,0.3333333333333333
SWEEP_module_0.01,SWEEP_module_0.01,module,true_working_memory,1,1,seed01_fold01,233,42,137,24,5.016767501831055,73.18901348114014,17.01716738197425,4.843442241712737,False,0.20567336678504944,4.828596115112305,3.909193992614746,0.9801929593086243,0.9285714285714287,1.0,0.6433690786361694,0.6369080264713024,0.42857142857142855,0.9801929593086243,0.9285714285714287,1.0,0.6493963599205017,0.6369080264713024,0.42857142857142855
SWEEP_module_0.01,SWEEP_module_0.01,module,true_working_memory,1,2,seed01_fold02,233,42,137,4,4.857966423034668,41.33424186706543,17.11587982832618,4.939058330013476,False,-0.12984773516654968,4.861648082733154,4.019905090332031,0.5877800583839417,0.8095238095238096,0.5,0.28920188546180725,0.3059363905940578,0.1111111111111111,0.5877800583839417,0.8095238095238096,0.5,0.3036702275276184,0.3059363905940578,0.1111111111111111
SWEEP_module_0.01,SWEEP_module_0.01,module,true_working_memory,2,0,seed02_fold00,232,42,138,13,4.587639808654785,46.58175206184387,16.86637931034483,4.914290280352997,False,0.15424567461013794,4.871674060821533,4.061705589294434,0.8783353567123413,0.7619047619047621,1.0,0.648785412311554,0.6315194308877079,0.42857142857142855,0.8783353567123413,0.7619047619047621,1.0,0.6576452255249023,0.6315194308877079,0.42857142857142855
SWEEP_module_0.01,SWEEP_module_0.01,module,true_working_memory,2,1,seed02_fold01,233,42,137,32,4.471507549285889,70.72901773452759,17.1931330472103,4.727015324176801,False,0.17410409450531006,5.250609397888184,4.386870384216309,0.9869387149810791,0.9285714285714287,1.0,0.7286733388900757,0.6847961108559975,0.42857142857142855,0.9869387149810791,0.9285714285714287,1.0,0.7426002025604248,0.6847961108559975,0.42857142857142855
SWEEP_module_0.01,SWEEP_module_0.01,module,true_working_memory,2,2,seed02_fold02,233,42,137,3,5.176450729370117,51.878668785095215,16.583690987124463,4.997260204610093,False,0.20516657829284668,4.616179943084717,3.965153932571411,0.9451051950454712,0.9047619047619048,1.0,0.7178639769554138,0.6890310775426406,0.3333333333333333,0.9451051950454712,0.9047619047619048,1.0,0.7225058078765869,0.6890310775426406,0.3333333333333333
