model_id,pearson_mean,rmse_mean,mae_mean
B0_A4,0.359314027870038,4.579773725284518,3.8859503245229097
FIP_selected,0.30363430755916115,4.71568263558651,3.9715180046756298
FIP_shuffled,0.3322712347187732,4.6639201615748265,3.932041676897903
FIP_random,0.3518124382874963,4.591715652303033,3.890969608223861
FIP_unrelated,0.33955504933716196,4.619440851737136,3.91056693333887
B_Qwen_Fluid,0.3410651245351226,4.615891830595492,3.9126115176730383
