seed,fold,model_id,pearson,rmse,mae
0,0,B0_A4,0.48310548967813904,3.8631093147269193,3.171612353750479
0,0,FIP_selected,0.384214199515724,4.099872755883716,3.265365390061144
0,0,FIP_shuffled,0.40083509364878367,4.0778315595141015,3.28124780765281
0,0,FIP_random,0.4593214544558043,3.897357063402182,3.1772774506687926
0,0,FIP_unrelated,0.46550430824021516,3.88718199102514,3.1624967905842194
0,0,B_Qwen_Fluid,0.479686337859744,3.849642338581104,3.1070351300631334
0,1,B0_A4,0.33063562973472166,4.793246759902258,4.116077049204723
0,1,FIP_selected,0.2731470485878712,4.943710710812735,4.197587002053439
0,1,FIP_shuffled,0.36717092841305593,4.724639768603216,4.029230017106923
0,1,FIP_random,0.32678634342850044,4.798429163334853,4.1115087887093456
0,1,FIP_unrelated,0.30640707648892385,4.841563744222409,4.141577492329931
0,1,B_Qwen_Fluid,0.318144670427269,4.818046886664726,4.1291166139557856
0,2,B0_A4,0.32499143880935416,4.881356194583436,4.271711308882761
0,2,FIP_selected,0.29760118963094295,4.965553196993947,4.2794542017508945
0,2,FIP_shuffled,0.3180575231570678,4.929295334350973,4.194301838978834
0,2,FIP_random,0.32117420829176796,4.891187005810487,4.269490634842955
0,2,FIP_unrelated,0.2961639403189569,4.9490280792537416,4.307512104247932
0,2,B_Qwen_Fluid,0.2867678835526046,4.977296540782282,4.318211012384669
0,3,B0_A4,0.22428152843590696,4.553989508954301,3.880289444690618
0,3,FIP_selected,0.20894577886912669,4.652729704445218,4.0288920779136745
0,3,FIP_shuffled,0.19529075963213471,4.715562719264952,4.0613299987250775
0,3,FIP_random,0.2168411464446553,4.574574479103765,3.9033468313716084
0,3,FIP_unrelated,0.2326146787761666,4.557115455114356,3.8792805982868535
0,3,B_Qwen_Fluid,0.2053875134829629,4.616486473020728,3.9558683973783264
0,4,B0_A4,0.4191947983358688,4.7078285068471635,3.86097310898236
0,4,FIP_selected,0.3689162693401715,4.77856333951088,3.835794379789729
0,4,FIP_shuffled,0.3671424899333432,4.7802778464531945,3.908378651922286
0,4,FIP_random,0.41640454572607566,4.70598090089035,3.845761314468762
0,4,FIP_unrelated,0.40909687690365926,4.704862709683271,3.8599058157877613
0,4,B_Qwen_Fluid,0.4020326343375605,4.714100830262215,3.8666794265557223
1,0,B0_A4,0.2796500024627163,4.387532751002619,3.5717508488490757
1,0,FIP_selected,0.301553212157777,4.366044918626413,3.545036032052561
1,0,FIP_shuffled,0.31215572936994207,4.362185846282518,3.5172849482237223
1,0,FIP_random,0.2855276794723113,4.380568554998472,3.5618195994335453
1,0,FIP_unrelated,0.297953025527784,4.3634949042979905,3.5285828546060842
1,0,B_Qwen_Fluid,0.30085625857447973,4.361300449515876,3.5415734650065525
1,1,B0_A4,0.3871361260287311,4.340274386430405,3.6954909641272393
1,1,FIP_selected,0.3443264464298408,4.3991471065375025,3.6882109763073228
1,1,FIP_shuffled,0.34689572709285066,4.405577948818142,3.706096799205844
1,1,FIP_random,0.3928188398309763,4.326728480101885,3.677115745601242
1,1,FIP_unrelated,0.3465710516280318,4.4129929859794546,3.761235907716222
1,1,B_Qwen_Fluid,0.3766649834015127,4.3576400582843835,3.710553525640608
1,2,B0_A4,0.46603812968751684,4.762962115089665,4.1122249025233115
1,2,FIP_selected,0.3475420587931526,4.991338582929234,4.318035545236366
1,2,FIP_shuffled,0.38982359199878724,4.886345244457592,4.225136571490333
1,2,FIP_random,0.4443065631204848,4.785118558944322,4.141201912381927
1,2,FIP_unrelated,0.4605568372714227,4.764517816784777,4.135657582196393
1,2,B_Qwen_Fluid,0.43334073836439624,4.802795039408478,4.1831885998562734
1,3,B0_A4,0.24859260705280747,5.0359693788298,4.317269546657234
1,3,FIP_selected,0.1946875105390819,5.244909659259419,4.526194738637279
1,3,FIP_shuffled,0.20355447202439003,5.253817788310769,4.575492660977907
1,3,FIP_random,0.23822374457556714,5.075515484235727,4.366138149929929
1,3,FIP_unrelated,0.22727483609422905,5.150695961602594,4.404358870258374
1,3,B_Qwen_Fluid,0.2362374402262784,5.12525144231434,4.382378005066638
1,4,B0_A4,0.35548543612487726,4.556585697623265,3.8753149895998487
1,4,FIP_selected,0.29296279882730547,4.729978928122451,3.9605674748941126
1,4,FIP_shuffled,0.3381644947737466,4.6415413667494185,3.9139538599747374
1,4,FIP_random,0.34889068643868304,4.5702343822933855,3.893741345148313
1,4,FIP_unrelated,0.33017817472020144,4.616684587001053,3.9373626181229904
1,4,B_Qwen_Fluid,0.34478506156655137,4.590429983718915,3.937728948405158
2,0,B0_A4,0.40347026967350275,4.7916728707191405,4.120308531855081
2,0,FIP_selected,0.3610704075328719,4.847649693130904,4.171941601387642
2,0,FIP_shuffled,0.35422400118411346,4.8626474275346805,4.1440776256287855
2,0,FIP_random,0.38670197678253404,4.812079570053414,4.130875491204891
2,0,FIP_unrelated,0.37845631058703544,4.821173253045305,4.1365882138328995
2,0,B_Qwen_Fluid,0.3707316219669114,4.834450921065674,4.168017000689727
2,1,B0_A4,0.27008202096891964,4.56774214216718,4.030342533918838
2,1,FIP_selected,0.21201784676497407,4.78359878609659,4.208493186263523
2,1,FIP_shuffled,0.28350245879836306,4.637873180262235,4.134534219877266
2,1,FIP_random,0.2734617664569696,4.570024933345115,4.037670457490983
2,1,FIP_unrelated,0.22594772346970762,4.649838992087316,4.089546323301797
2,1,B_Qwen_Fluid,0.24842544065439714,4.60815336869598,4.049384454113657
2,2,B0_A4,0.40184138776309575,4.320303325768788,3.5540069874521345
2,2,FIP_selected,0.3063776004706691,4.541884973714161,3.7087703444095763
2,2,FIP_shuffled,0.3576746829576506,4.456843365471205,3.563281677154868
2,2,FIP_random,0.3859441751646032,4.344203414509504,3.552208168487575
2,2,FIP_unrelated,0.37251548514763455,4.370680607451378,3.5612819575395216
2,2,B_Qwen_Fluid,0.3531839867401104,4.412744103177838,3.582424312259908
2,3,B0_A4,0.4833778892165823,4.513296188974117,3.7371708046218113
2,3,FIP_selected,0.38583154001771525,4.662226180762764,3.7945749975843466
2,3,FIP_shuffled,0.4525995832199503,4.523061311378233,3.71024199312519
2,3,FIP_random,0.4704675369175696,4.516998055699068,3.7109731012593237
2,3,FIP_unrelated,0.452884458899398,4.534560455344031,3.72933707826321
2,3,B_Qwen_Fluid,0.47085202813302485,4.4915378091112235,3.708476854686719
2,4,B0_A4,0.3118276640778302,4.6207367376487065,3.974711492728136
2,4,FIP_selected,0.2753207059101925,4.728030996971714,4.04385212179283
2,4,FIP_shuffled,0.2969769845774185,4.701301716171169,4.016036483423958
2,4,FIP_random,0.31031590720594165,4.626734737822957,3.9854151323587255
2,4,FIP_unrelated,0.2912009559840629,4.667221233164231,4.0237797930088615
2,4,B_Qwen_Fluid,0.28888026873903483,4.6785012143286275,4.048537019032693
