comparison,mean_delta,median_delta,positive_seeds,n_seeds
FIP_selected_vs_A4,-0.0556797203108769,-0.051166054921898296,0,3
FIP_shuffled_vs_A4,-0.027042793151264843,-0.026742418041921068,0,3
FIP_random_vs_A4,-0.0075015895825417496,-0.00833623732943739,0,3
FIP_unrelated_vs_A4,-0.019758978532876097,-0.014873675222996041,0,3
B_Qwen_Fluid_vs_A4,-0.018248903334915485,-0.01803796906676991,0,3
