method_id,method_name,method_family,seed,fold,split_id,n_train,n_val,n_test,best_alpha,best_gamma,best_kernel,gate_mode,best_val_rmse,parameters,runtime_seconds,device,group_aware,pearson,rmse,mae,prior_alignment_pearson,prior_alignment_spearman,prior_alignment_top10_jaccard
M3_SHUFFLED,Two-Stage Biomarker-Guided KRR (shuffled edge-prior biomarker),two_stage_kernel_ridge,0,2,seed00_fold02,280,50,82,1.0,0.0001,rbf,product,4.931203366066386,331,0.6822454929351807,cuda,False,0.25936584849755073,4.570327749748378,3.9707508669151066,-0.48372875374577884,-0.48288108950261266,0.0
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),two_stage_kernel_ridge,0,2,seed00_fold02,280,50,82,1.0,0.01,rbf,product,4.897898912358661,331,0.6820714473724365,cuda,False,0.23109547096026548,4.600545470761915,3.913589973576562,0.12894772736860743,0.040367023264312275,0.1111111111111111
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),two_stage_kernel_ridge,0,3,seed00_fold03,280,50,82,0.01,1e-05,rbf,product,3.854685302792774,331,0.6742699146270752,cuda,False,0.49472231293757335,4.5132299159155975,3.6415807906405746,-0.5856890611904603,-0.570686731347613,0.0
M3_TRUE,Two-Stage Biomarker-Guided KRR (true edge-prior biomarker),two_stage_kernel_ridge,0,3,seed00_fold03,280,50,82,0.01,1e-05,rbf,product,4.187682632312699,331,0.673513650894165,cuda,False,0.32926579591691735,4.869995293031921,4.120222237969626,0.7447346239807153,0.6939951776446729,0.25
M3_SHUFFLED,Two-Stage Biomarker-Guided KRR (shuffled edge-prior biomarker),two_stage_kernel_ridge,0,3,seed00_fold03,280,50,82,0.01,0.0001,rbf,product,3.8946657941837795,331,0.6795504093170166,cuda,False,0.45256896993723617,4.601438501028975,3.7833972219879732,-0.5683900768136113,-0.5643992041560048,0.0
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),two_stage_kernel_ridge,0,3,seed00_fold03,280,50,82,0.01,0.001,rbf,product,4.07304701312903,331,0.6819717884063721,cuda,False,0.4465335491533988,4.643981137328475,3.737575814162591,-0.1090624140458075,-0.14704024074862626,0.0
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),two_stage_kernel_ridge,0,4,seed00_fold04,280,50,82,0.01,0.0001,rbf,product,4.33119241503103,331,0.847672700881958,cuda,False,0.2666872956446515,4.506466840374893,3.6143581912362612,-0.40492138669108513,-0.43121249829977026,0.0
M3_TRUE,Two-Stage Biomarker-Guided KRR (true edge-prior biomarker),two_stage_kernel_ridge,0,4,seed00_fold04,280,50,82,0.01,0.0001,rbf,product,4.527148812491471,331,0.6762468814849854,cuda,False,0.2447395324200419,4.644359030063827,3.8756161483229548,0.7471775064282763,0.7100111424607869,0.3333333333333333
M3_SHUFFLED,Two-Stage Biomarker-Guided KRR (shuffled edge-prior biomarker),two_stage_kernel_ridge,0,4,seed00_fold04,280,50,82,0.01,0.0001,rbf,product,4.351637447008107,331,0.6845400333404541,cuda,False,0.2569015426338162,4.519348729684731,3.6284726975779282,-0.4886039369758756,-0.48627705335510946,0.0
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),two_stage_kernel_ridge,0,4,seed00_fold04,280,50,82,0.1,0.001,rbf,product,4.360478925638399,331,0.6867921352386475,cuda,False,0.27684610057322656,4.366840970250782,3.705291823132971,0.18297474519246004,0.21662753533787868,0.0
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),two_stage_kernel_ridge,1,0,seed01_fold00,279,50,83,0.01,0.0001,rbf,product,4.703462321305062,330,0.8346672058105469,cuda,False,0.45005408066522606,4.595484996641781,3.684766772217789,-0.3577250364076555,-0.3810770848950405,0.0
M3_TRUE,Two-Stage Biomarker-Guided KRR (true edge-prior biomarker),two_stage_kernel_ridge,1,0,seed01_fold00,279,50,83,0.1,0.0001,rbf,product,4.985079700036723,330,0.7053709030151367,cuda,False,0.4079682185627121,4.676622299980917,4.020691117248747,0.7686996137502513,0.7079585819558217,0.42857142857142855
M3_SHUFFLED,Two-Stage Biomarker-Guided KRR (shuffled edge-prior biomarker),two_stage_kernel_ridge,1,0,seed01_fold00,279,50,83,0.01,0.0001,rbf,product,4.728590466898584,330,0.7669463157653809,cuda,False,0.4331867854817602,4.636438980865689,3.78990773455812,-0.3493741280313498,-0.31903582174861567,0.0
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),two_stage_kernel_ridge,1,0,seed01_fold00,279,50,83,0.01,0.0001,rbf,product,4.642311238956095,330,0.9541506767272949,cuda,False,0.4399015453899312,4.659893811511996,3.7140746670638234,-0.14380826763413534,-0.17481722743625522,0.0
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),two_stage_kernel_ridge,1,1,seed01_fold01,279,50,83,0.1,0.0001,rbf,product,4.348800203523999,330,0.6664226055145264,cuda,False,0.32522838089355,4.563215372848856,3.9011728442426525,-0.3518205546131913,-0.35727037947613954,0.0
M3_TRUE,Two-Stage Biomarker-Guided KRR (true edge-prior biomarker),two_stage_kernel_ridge,1,1,seed01_fold01,279,50,83,0.01,1e-05,rbf,product,4.359292072557639,330,0.6695191860198975,cuda,False,0.14399126909541887,4.824035259123369,4.1935353341294075,0.7471994426844947,0.6796622125613403,0.5384615384615384
M3_SHUFFLED,Two-Stage Biomarker-Guided KRR (shuffled edge-prior biomarker),two_stage_kernel_ridge,1,1,seed01_fold01,279,50,83,0.1,0.0001,rbf,product,4.43411015725722,330,0.6661663055419922,cuda,False,0.3529891853805066,4.509459947923881,3.8751852431521594,-0.5232544708401858,-0.526773922296135,0.0
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),two_stage_kernel_ridge,1,1,seed01_fold01,279,50,83,0.1,0.001,rbf,product,4.421146370813957,330,0.6719579696655273,cuda,False,0.25561981521204563,4.685996153859366,4.006324197672605,0.04979924079430768,0.04713897471135018,0.0
