ID,Method,Seeds,Folds,Evaluations,Pearson Mean,Pearson Std,RMSE Mean,RMSE Std,MAE Mean,MAE Std,Runtime Hours
M3_E0,Two-Stage Biomarker-Guided KRR (no-prior biomarker),10,5,50,0.3542672099397654,0.09740938741433543,4.618667441448036,0.21269075444869387,3.8583459124120427,0.217783102935968,0.009508832030826146
M3_RANDOM,Two-Stage Biomarker-Guided KRR (random edge-prior biomarker),10,5,50,0.34403584715108293,0.0900342006999896,4.6419958433103,0.2076188787252595,3.8937301811683405,0.20527783202542982,0.009686583015653822
M3_SHUFFLED,Two-Stage Biomarker-Guided KRR (shuffled edge-prior biomarker),10,5,50,0.3559913833546212,0.09741076881258863,4.622274387950879,0.21511890598958658,3.8570462404286157,0.21219709032274253,0.009530799190203349
M3_TRUE,Two-Stage Biomarker-Guided KRR (true edge-prior biomarker),10,5,50,0.2817654435352375,0.11120843935430497,4.753836015529274,0.26370579925069065,4.008920380620492,0.23126238026181442,0.009437581896781922
