target,seed,fold,best_variant,variant,n_components,best_alpha,explained_variance,gamma,top_fraction
working_memory,4,4,topk_0.2,topk,,10000.0,,,0.2
working_memory,5,0,weighted_2.0,weighted,,1000000.0,,2.0,
working_memory,5,1,topk_0.1,topk,,10000.0,,,0.1
working_memory,5,2,weighted_0.5,weighted,,1000000.0,,0.5,
working_memory,5,3,pca_8,pca,8.0,1000000.0,0.8496849753440847,,
working_memory,5,4,pca_8,pca,8.0,1000000.0,0.8282293519208436,,
working_memory,6,0,topk_0.2,topk,,1000000.0,,,0.2
working_memory,6,1,pca_64,pca,64.0,10000.0,0.9445900108376744,,
working_memory,6,2,pca_8,pca,8.0,1000000.0,0.8469830057852723,,
working_memory,6,3,topk_0.2,topk,,10000.0,,,0.2
working_memory,6,4,pca_32,pca,32.0,10000.0,0.9145186117691994,,
working_memory,7,0,weighted_2.0,weighted,,1000000.0,,2.0,
working_memory,7,1,pca_64,pca,64.0,1000000.0,0.9453553253493635,,
working_memory,7,2,topk_0.2,topk,,1000000.0,,,0.2
working_memory,7,3,pca_8,pca,8.0,1000000.0,0.8450707725439054,,
working_memory,7,4,topk_0.2,topk,,1000000.0,,,0.2
working_memory,8,0,weighted_1.0,weighted,,1000000.0,,1.0,
working_memory,8,1,topk_0.2,topk,,1000000.0,,,0.2
working_memory,8,2,pca_8,pca,8.0,1000000.0,0.8409355764065523,,
working_memory,8,3,topk_0.2,topk,,1000000.0,,,0.2
working_memory,8,4,weighted_0.5,weighted,,1000000.0,,0.5,
working_memory,9,0,topk_0.2,topk,,1000000.0,,,0.2
working_memory,9,1,pca_8,pca,8.0,1000000.0,0.8323331061239458,,
working_memory,9,2,weighted_0.5,weighted,,1000000.0,,0.5,
working_memory,9,3,pca_64,pca,64.0,10000.0,0.9447457815988488,,
working_memory,9,4,topk_0.2,topk,,10000.0,,,0.2
