target,prior_type,lifting,seed,fold,fraction,k,observed_mean,null_mean,null_std,enrichment_ratio,z_score,p_value
fluid_intelligence,matched,prod,0,0,0.05,667,0.03301716395648844,0.03271542267421103,0.0011001421803490815,1.0092232121003673,0.27427480526350395,0.382
fluid_intelligence,matched,prod,0,0,0.1,1334,0.03181471584165216,0.03274283429591686,0.0007690217817231979,0.9716543031712914,-1.2068818807511597,0.893
fluid_intelligence,matched,prod,0,0,0.2,2668,0.03157007559438447,0.032746510526178114,0.000551147300257451,0.964074494873181,-2.1345199935554646,0.988
fluid_intelligence,matched,prod,0,0,0.3,4002,0.03163014436873186,0.032723919824075916,0.0004457793862603825,0.966575658991215,-2.4536250195857447,0.997
fluid_intelligence,matched,mean,0,0,0.05,667,0.033305767637522625,0.03271542267421103,0.0011001421803490815,1.0180448520928618,0.536607880196246,0.288
fluid_intelligence,matched,mean,0,0,0.1,1334,0.03191642845666874,0.03274283429591686,0.0007690217817231979,0.9747607115566299,-1.0746195477016731,0.863
fluid_intelligence,matched,mean,0,0,0.2,2668,0.03122536487062672,0.032746510526178114,0.000551147300257451,0.953547854989454,-2.7599620915149923,0.999
fluid_intelligence,matched,mean,0,0,0.3,4002,0.031940006065155485,0.032723919824075916,0.0004457793862603825,0.9760446253647254,-1.7585240212577746,0.962
fluid_intelligence,matched,max,0,0,0.05,667,0.03470245633629718,0.03271542267421103,0.0011001421803490815,1.0607369093737093,1.8061607831959061,0.042
fluid_intelligence,matched,max,0,0,0.1,1334,0.03325642654291718,0.03274283429591686,0.0007690217817231979,1.0156856380348347,0.6678513654704072,0.259
fluid_intelligence,matched,max,0,0,0.2,2668,0.03213402751482675,0.032746510526178114,0.000551147300257451,0.9812962357970406,-1.111287329295198,0.87
fluid_intelligence,matched,max,0,0,0.3,4002,0.03183101233958006,0.032723919824075916,0.0004457793862603825,0.9727139202975641,-2.0030255144510107,0.983
fluid_intelligence,matched,bridge,0,0,0.05,667,0.035462637676761555,0.03271542267421103,0.0011001421803490815,1.0839730860245345,2.497145415948709,0.011
fluid_intelligence,matched,bridge,0,0,0.1,1334,0.03263507263410765,0.03274283429591686,0.0007690217817231979,0.9967088474737616,-0.14012823091660787,0.544
fluid_intelligence,matched,bridge,0,0,0.2,2668,0.03229708155943472,0.032746510526178114,0.000551147300257451,0.9862755157871214,-0.8154425623303586,0.787
