target,seed,fold,baseline_pearson,baseline_rmse,baseline_mae,ridge_alpha,n_trainval,n_test
fluid_intelligence,0,0,0.47954441143245613,3.851302484597824,3.1288657202242756,10000.0,329,83
fluid_intelligence,0,1,0.33538311003676147,4.783034114775601,4.106514672689099,10000.0,329,83
fluid_intelligence,0,2,0.30570342911029413,5.095973518108366,4.245960809840489,100.0,330,82
fluid_intelligence,0,3,0.1666419793369081,4.925697438430315,4.2120323320548625,0.01,330,82
fluid_intelligence,0,4,0.42372350204195436,4.685687271741892,3.820353290861403,10000.0,330,82
fluid_intelligence,1,0,0.27943207685943705,4.397151518994916,3.564919128229039,10000.0,329,83
fluid_intelligence,1,1,0.39051968805438775,4.318840520449679,3.6514237202315636,10000.0,329,83
fluid_intelligence,1,2,0.4517574932284021,4.761087510366248,4.106521104968315,10000.0,330,82
fluid_intelligence,1,3,0.2550878928166978,5.042353631724879,4.338596276907139,10000.0,330,82
fluid_intelligence,1,4,0.3298536891118192,4.730766764244339,3.862134260865783,100.0,330,82
fluid_intelligence,2,0,0.39967805517751165,4.780757249161529,4.096757862450109,10000.0,329,83
fluid_intelligence,2,1,0.29940615786227576,4.676237192278982,4.027122670298485,100.0,329,83
fluid_intelligence,2,2,0.3963590160881789,4.323165629659985,3.5450412379895275,10000.0,330,82
fluid_intelligence,2,3,0.46002202906835077,4.524026009268698,3.7101791439021374,100.0,330,82
fluid_intelligence,2,4,0.34595602716155754,4.672572012188534,3.842938144470421,100.0,330,82
fluid_intelligence,3,0,0.24925938879456838,4.749359168299668,4.140105405509828,10000.0,329,83
fluid_intelligence,3,1,0.38563478204452367,4.481887036593703,3.5106236586136017,100.0,329,83
fluid_intelligence,3,2,0.42160053594363417,4.383284969828446,3.6878595205104405,10000.0,330,82
fluid_intelligence,3,3,0.46743620194195623,4.5505879037528905,3.8280703476993168,10000.0,330,82
fluid_intelligence,3,4,0.26951871095353125,4.821579088512694,3.9963459396568934,10000.0,330,82
fluid_intelligence,4,0,0.3796659289678621,4.47068973194179,3.8483506332789728,10000.0,329,83
fluid_intelligence,4,1,0.3014837081572037,4.424128356085981,3.7474975786061258,10000.0,329,83
fluid_intelligence,4,2,0.3536305872413082,4.583612610451048,3.7424240647325515,10000.0,330,82
fluid_intelligence,4,3,0.3573232023313664,4.764207068317179,4.080797597352981,10000.0,330,82
fluid_intelligence,4,4,0.4186539423192106,4.578844641783963,3.8756192190825303,10000.0,330,82
fluid_intelligence,5,0,0.36122353135474994,4.544330879756207,3.8315726745138288,10000.0,329,83
fluid_intelligence,5,1,0.34903390988043803,4.630372555992686,3.684830315556203,100.0,329,83
fluid_intelligence,5,2,0.32587509431207395,4.989635167094491,4.194440218661348,10000.0,330,82
fluid_intelligence,5,3,0.4913077951660278,4.590364953979328,3.864040994816343,10000.0,330,82
fluid_intelligence,5,4,0.2644250896462442,4.356268754446281,3.6607819580017944,10000.0,330,82
fluid_intelligence,6,0,0.14374480211923776,4.5030821609651115,3.8660982235845567,1000000.0,329,83
fluid_intelligence,6,1,0.41770221056038276,4.264007932622462,3.5738489103447475,10000.0,329,83
fluid_intelligence,6,2,0.2985959453178248,4.7305011045734915,3.9504198682598455,0.01,330,82
fluid_intelligence,6,3,0.41714295924950434,4.24629510409973,3.6786049595949324,10000.0,330,82
fluid_intelligence,6,4,0.40282106699399645,5.2590870428664305,4.42024691152533,10000.0,330,82
fluid_intelligence,7,0,0.32736840370212494,4.41301935858136,3.743218239092554,10000.0,329,83
fluid_intelligence,7,1,0.31894389134202605,5.045201306724984,4.288118691739992,1000000.0,329,83
fluid_intelligence,7,2,0.38957876588973905,4.526881650836391,3.821687139946909,10000.0,330,82
fluid_intelligence,7,3,0.3579020525116372,4.83586381425225,3.9760472640095172,10000.0,330,82
fluid_intelligence,7,4,0.30504852951536643,4.465849884647202,3.7857913990776573,10000.0,330,82
fluid_intelligence,8,0,0.1749546126293334,4.856382846481885,4.1340920658230225,1000000.0,329,83
fluid_intelligence,8,1,0.34698375927978353,4.7824165020644,4.019058007500988,10000.0,329,83
fluid_intelligence,8,2,0.3796806670750921,4.6544762588606,3.6896181668871675,100.0,330,82
fluid_intelligence,8,3,0.26612898849595845,4.416340202489188,3.743497385856818,10000.0,330,82
fluid_intelligence,8,4,0.4296284688789377,4.744061654680753,4.051088254643773,10000.0,330,82
fluid_intelligence,9,0,0.3443105176318214,4.697169960375451,3.887051051475548,10000.0,329,83
fluid_intelligence,9,1,0.32718900657455663,5.029259841121116,4.216800981268742,1.0,329,83
fluid_intelligence,9,2,0.40619829434846544,4.3009002707894695,3.6514321900864792,10000.0,330,82
fluid_intelligence,9,3,0.4244730882431871,4.907636064184379,4.067756189694814,1000000.0,330,82
fluid_intelligence,9,4,0.24182955769580805,4.748236577241597,4.014606365706276,10000.0,330,82
working_memory,0,0,0.20966411015675418,9.409436178987102,7.953901466146694,10000.0,329,83
working_memory,0,1,0.17437818954422893,10.898778583839672,8.698567617039942,10000.0,329,83
working_memory,0,2,0.1696245409456988,11.885736059652004,9.45843329516675,10000.0,330,82
working_memory,0,3,0.3229874054279175,10.833392300794943,9.28009202326942,10000.0,330,82
working_memory,0,4,0.32596592228773735,13.621758396767591,11.360072172908154,1000000.0,330,82
working_memory,1,0,0.24814565008808123,11.070896990993075,8.78585335900789,1000000.0,329,83
working_memory,1,1,0.0414239593869043,12.158519631136699,9.99827748985622,10000.0,329,83
