target,prior_type,lifting,modality,residual_pearson,seed,fold
fluid_intelligence,shuffled,max,FC,-0.04986860372148218,0,2
fluid_intelligence,shuffled,max,SC,-0.027782083602479628,0,2
fluid_intelligence,shuffled,bridge,FC,-0.031481138595136696,0,2
fluid_intelligence,shuffled,bridge,SC,-0.024427660774028657,0,2
fluid_intelligence,random,prod,FC,0.027012481282140163,0,2
fluid_intelligence,random,prod,SC,0.011742048022863067,0,2
fluid_intelligence,random,mean,FC,0.03091178278052894,0,2
fluid_intelligence,random,mean,SC,0.011436227784161531,0,2
fluid_intelligence,random,max,FC,0.03606903591349763,0,2
fluid_intelligence,random,max,SC,0.01058876499536399,0,2
fluid_intelligence,random,bridge,FC,0.005717073130262101,0,2
fluid_intelligence,random,bridge,SC,-0.0022927122301707632,0,2
fluid_intelligence,matched,prod,FC,-0.014227056570151938,0,3
fluid_intelligence,matched,prod,SC,-0.020349901917937216,0,3
fluid_intelligence,matched,mean,FC,-0.02619078725172276,0,3
fluid_intelligence,matched,mean,SC,-0.02206052852369292,0,3
fluid_intelligence,matched,max,FC,-0.02424575728425716,0,3
fluid_intelligence,matched,max,SC,-0.019281191138518006,0,3
fluid_intelligence,matched,bridge,FC,-0.029106132178856103,0,3
fluid_intelligence,matched,bridge,SC,-0.012322725035490954,0,3
fluid_intelligence,unrelated,prod,FC,-0.01653224242026429,0,3
fluid_intelligence,unrelated,prod,SC,-0.04492075774781354,0,3
fluid_intelligence,unrelated,mean,FC,-0.041790962473590085,0,3
fluid_intelligence,unrelated,mean,SC,-0.040122897124010855,0,3
fluid_intelligence,unrelated,max,FC,-0.03892920152401531,0,3
fluid_intelligence,unrelated,max,SC,-0.025129091640264955,0,3
fluid_intelligence,unrelated,bridge,FC,-0.054865358664231346,0,3
fluid_intelligence,unrelated,bridge,SC,-0.015826514612096543,0,3
fluid_intelligence,shuffled,prod,FC,-0.037646071981429025,0,3
fluid_intelligence,shuffled,prod,SC,0.003987420631229819,0,3
fluid_intelligence,shuffled,mean,FC,-0.05042925448202882,0,3
fluid_intelligence,shuffled,mean,SC,-0.02030026155871891,0,3
fluid_intelligence,shuffled,max,FC,-0.04944703624482592,0,3
fluid_intelligence,shuffled,max,SC,-0.025445041974219856,0,3
fluid_intelligence,shuffled,bridge,FC,-0.041100477987192456,0,3
fluid_intelligence,shuffled,bridge,SC,-0.0444426175427214,0,3
fluid_intelligence,random,prod,FC,-0.023477777664978362,0,3
fluid_intelligence,random,prod,SC,0.00012046961849571493,0,3
fluid_intelligence,random,mean,FC,-0.023256050173769423,0,3
fluid_intelligence,random,mean,SC,0.0020974198514048673,0,3
fluid_intelligence,random,max,FC,-0.008167982976817287,0,3
fluid_intelligence,random,max,SC,0.003080779633363713,0,3
fluid_intelligence,random,bridge,FC,0.003653483364697855,0,3
fluid_intelligence,random,bridge,SC,0.004704867105365246,0,3
fluid_intelligence,matched,prod,FC,0.05119299708545333,0,4
fluid_intelligence,matched,prod,SC,0.012851849494276833,0,4
fluid_intelligence,matched,mean,FC,0.033187870832193614,0,4
fluid_intelligence,matched,mean,SC,0.0017066993620372954,0,4
fluid_intelligence,matched,max,FC,0.012951258356607046,0,4
fluid_intelligence,matched,max,SC,-0.006934840544964439,0,4
fluid_intelligence,matched,bridge,FC,-0.011453314213021697,0,4
fluid_intelligence,matched,bridge,SC,-0.015482687657351973,0,4
fluid_intelligence,unrelated,prod,FC,0.06400810585885613,0,4
