model,pearson_mean,pearson_median,pearson_std,rmse_mean,mae_mean,positive_seeds,n_seeds
A4,0.3235210488506382,0.31945286233595166,0.024290954876938657,4.739756886226863,3.9256614712667215,3,3
A3,0.23665563711877366,0.24011063537115707,0.02062457622990751,4.861599655182913,4.11617053652578,3,3
LF0,0.3632918016878725,0.3617271702038168,0.03723072379812432,4.607560933410448,3.814365454041154,3,3
LF1,0.37926531237158284,0.37970650443969045,0.03104252129992276,4.546869180495562,3.8125578115225296,3,3
LF2,0.37267172246890795,0.37002556581286195,0.03373092667328774,4.559648724246444,3.8056049274456125,3,3
