experiment_id,seed,fold,condition,repeat,pearson,rmse,mae
M2_SHUFFLED,0,0,random,0,0.1713335134042217,11.16732086323969,9.987945510680415
M2_SHUFFLED,0,0,random,1,0.2057961982533701,11.443152519274518,10.298210753015724
M2_SHUFFLED,0,0,random,2,0.2554677583025557,5.068455715122116,4.154094661574766
M2_SHUFFLED,0,0,random,3,0.1638194214974497,7.631732701172369,6.501356975141778
M2_SHUFFLED,0,0,random,4,0.2492830794711447,7.405600663999746,5.813046007271272
M2_SHUFFLED,0,0,random,5,0.2103494303620472,5.252383387086879,4.345135723251894
M2_SHUFFLED,0,0,random,6,0.1205472939480501,10.564569331922565,9.222600109605905
M2_SHUFFLED,0,0,random,7,0.1506676714803952,6.0309453619245295,5.079296812953719
M2_SHUFFLED,0,0,random,8,0.2490716022520711,8.206999706661128,7.108133534351027
M2_SHUFFLED,0,0,random,9,0.2306014620808106,5.3288159885535,4.3572170073727525
M2_SHUFFLED,0,0,random,10,0.1829449791829867,6.125577028032325,5.179984988936459
M2_SHUFFLED,0,0,random,11,0.1597159644333068,7.0079882983256905,5.499501768364964
M2_SHUFFLED,0,0,random,12,0.072080309518519,7.179226487148415,5.584933568196124
M2_SHUFFLED,0,0,random,13,0.2126052084659722,7.890898682377608,6.703043730862169
M2_SHUFFLED,0,0,random,14,0.1751760984013788,8.30280586964286,7.03602002614952
M2_SHUFFLED,0,0,random,15,0.1515144656087438,5.760827999275976,4.433784082711461
M2_SHUFFLED,0,0,random,16,0.1383400488737727,6.262735551779272,5.478497895849756
M2_SHUFFLED,0,0,random,17,0.186814977060549,10.584242364141105,9.341870847954809
M2_SHUFFLED,0,0,random,18,0.226745645794996,11.711533480838405,10.625482191522435
M2_SHUFFLED,0,0,random,19,0.2232986106769895,7.354104470972953,6.441256465682065
M2_SHUFFLED,0,0,top,-1,0.129202198942414,7.095066630203268,5.292868189064853
M2_SHUFFLED,0,0,bottom,-1,0.2022040933983066,7.3468248081930145,5.881758241768343
M2_SHUFFLED,0,0,reference_prior_top,-1,0.195082532501499,5.418184098529648,4.531075799321553
M2_SHUFFLED,0,1,random,0,0.4116627024260708,4.843755555355701,4.216761922261801
