experiment_id,experiment_name,seed,fold,split_id,n_train,n_val,n_test,best_epoch,best_val_metric,topk,mask_mode,random_repeats,runtime_seconds,original_pearson,top_pearson,bottom_pearson,random_pearson_mean,random_pearson_std,prior_top_pearson,delta_pearson_top,delta_pearson_bottom,delta_pearson_random,delta_pearson_prior_top,gap_pearson_top_vs_random,gap_pearson_top_vs_bottom,original_rmse,top_rmse,bottom_rmse,random_rmse_mean,random_rmse_std,prior_top_rmse,delta_rmse_top,delta_rmse_bottom,delta_rmse_random,delta_rmse_prior_top,gap_rmse_top_vs_random,gap_rmse_top_vs_bottom,original_mae,top_mae,bottom_mae,random_mae_mean,random_mae_std,prior_top_mae,delta_mae_top,delta_mae_bottom,delta_mae_random,delta_mae_prior_top,gap_mae_top_vs_random,gap_mae_top_vs_bottom
E10,node_unrelated_visual,0,0,seed00_fold00,279,50,83,2,4.9197540283203125,10,both,20,96.9490180015564,-0.17144469916820526,-0.1882314383983612,-0.16505779325962067,-0.16962790340185166,0.02396064445973817,-0.1992679387331009,0.016786739230155945,-0.006386905908584595,-0.0018167957663536016,0.02782323956489563,0.018603534996509546,0.02317364513874054,5.106882572174072,5.085877418518066,5.098428726196289,5.099728059768677,0.016912205056097408,5.0872273445129395,-0.02100515365600586,-0.008453845977783203,-0.00715451240539533,-0.019655227661132812,-0.01385064125061053,-0.012551307678222656,4.4356489181518555,4.408809185028076,4.4270782470703125,4.425160121917725,0.022125026809988867,4.408075332641602,-0.026839733123779297,-0.008570671081542969,-0.010488796234130682,-0.027573585510253906,-0.016350936889648615,-0.018269062042236328
E10,node_unrelated_visual,0,1,seed00_fold01,279,50,83,36,4.336167812347412,10,both,20,163.06434059143066,0.1901511251926422,0.12610866129398346,0.18637843430042267,0.1746283035725355,0.05150319579677892,0.2060556560754776,0.06404246389865875,0.0037726908922195435,0.015522821620106708,-0.015904530882835388,0.048519642278552044,0.06026977300643921,5.080350399017334,5.6152520179748535,5.134269714355469,5.222947525978088,0.2156714175013577,5.086141586303711,0.5349016189575195,0.053919315338134766,0.14259712696075422,0.005791187286376953,0.3923044919967653,0.48098230361938477,4.225477695465088,4.457268238067627,4.338369846343994,4.317133498191834,0.16270540767157826,4.212462425231934,0.23179054260253906,0.11289215087890625,0.09165580272674578,-0.013015270233154297,0.14013473987579328,0.11889839172363281
E10,node_unrelated_visual,0,2,seed00_fold02,280,50,82,15,4.884040832519531,10,both,20,103.54185485839844,0.18204520642757416,0.21407049894332886,0.1491360068321228,0.16756983622908592,0.034534736959929396,0.15967649221420288,-0.0320252925157547,0.032909199595451355,0.014475370198488241,0.022368714213371277,-0.04650066271424294,-0.06493449211120605,4.655169486999512,4.657530307769775,4.845920085906982,4.782830309867859,0.22065029846698253,4.87264347076416,0.002360820770263672,0.1907505989074707,0.12766082286834735,0.21747398376464844,-0.12530000209808367,-0.18838977813720703,3.939161777496338,3.9480245113372803,3.9231553077697754,4.149128127098083,0.25636725490154083,4.360990524291992,0.008862733840942383,-0.0160064697265625,0.20996634960174543,0.4218287467956543,-0.20110361576080305,0.024869203567504883
E10,node_unrelated_visual,0,3,seed00_fold03,280,50,82,40,4.2543721199035645,10,both,20,149.22101211547852,0.14903847873210907,0.21483314037322998,0.16311141848564148,0.16424794234335421,0.05123701057274839,0.042968690395355225,-0.06579466164112091,-0.01407293975353241,-0.015209463611245144,0.10606978833675385,-0.050585198029875766,-0.0517217218875885,5.331518650054932,5.86233377456665,5.199080944061279,5.382464194297791,0.24087342489890434,5.533638954162598,0.5308151245117188,-0.13243770599365234,0.05094554424285924,0.20212030410766602,0.4798695802688595,0.6632528305053711,4.313377380371094,4.306184768676758,4.358744144439697,4.393645286560059,0.26849466498624397,4.7765350341796875,-0.0071926116943359375,0.045366764068603516,0.08026790618896484,0.46315765380859375,-0.08746051788330078,-0.05255937576293945
E10,node_unrelated_visual,0,4,seed00_fold04,280,50,82,19,4.83164644241333,10,both,20,88.0625102519989,0.27413836121559143,0.20637811720371246,0.3436757028102875,0.23321597427129745,0.059877656667892284,0.20279626548290253,0.06776024401187897,-0.06953734159469604,0.04092238694429398,0.0713420957326889,0.026837857067584986,0.137297585606575,4.259134292602539,4.488251209259033,4.256752014160156,4.378949475288391,0.1605786300572438,4.96272611618042,0.22911691665649414,-0.0023822784423828125,0.11981518268585223,0.7035918235778809,0.10930173397064191,0.23149919509887695,3.5229320526123047,3.5173425674438477,3.741798162460327,3.606596839427948,0.1284182847506148,4.428528785705566,-0.005589485168457031,0.21886610984802246,0.08366478681564349,0.9055967330932617,-0.08925427198410052,-0.2244555950164795
E10,node_unrelated_visual,1,0,seed01_fold00,279,50,83,28,5.077617645263672,10,both,20,106.91760110855103,0.1907576620578766,0.19830697774887085,0.1865593045949936,0.1728979229927063,0.026885875069683228,0.20021650195121765,-0.007549315690994263,0.004198357462882996,0.0178597390651703,-0.009458839893341064,-0.025409054756164562,-0.011747673153877258,5.056272029876709,5.007849216461182,5.031887531280518,5.070702481269836,0.0535825743597196,5.007227897644043,-0.048422813415527344,-0.024384498596191406,0.014430451393127264,-0.049044132232666016,-0.06285326480865461,-0.024038314819335938,4.365074634552002,4.434310436248779,4.365326404571533,4.40868833065033,0.05343133361731058,4.416760444641113,0.06923580169677734,0.00025177001953125,0.04361369609832799,0.05168581008911133,0.025622105598449352,0.0689840316772461
E10,node_unrelated_visual,1,1,seed01_fold01,279,50,83,33,3.838475227355957,10,both,20,120.46899724006653,0.020174577832221985,0.004478983581066132,0.1670050323009491,-0.02066748368088156,0.1082107337077104,-0.0705011636018753,0.015695594251155853,-0.1468304544687271,0.040842061513103545,0.09067574143409729,-0.02514646726194769,0.16252604871988297,5.4957075119018555,4.896769046783447,5.207169532775879,6.132904410362244,1.175637515461962,5.645954132080078,-0.5989384651184082,-0.28853797912597656,0.6371968984603882,0.15024662017822266,-1.2361353635787964,-0.31040048599243164,4.766745567321777,3.7025198936462402,3.496114730834961,5.304254746437072,1.2723923191811528,4.747132301330566,-1.064225673675537,-1.2706308364868164,0.537509179115295,-0.019613265991210938,-1.6017348527908322,0.2064051628112793
E10,node_unrelated_visual,1,2,seed01_fold02,280,50,82,2,5.047089099884033,10,both,20,79.08445715904236,0.12243162840604782,0.23604880273342133,-0.04499427229166031,0.10120359770953655,0.07186167661873445,0.06904318928718567,-0.1136171743273735,0.16742590069770813,0.021228030696511274,0.05338843911886215,-0.13484520502388478,-0.28104307502508163,4.86559534072876,4.877077102661133,4.875387191772461,4.871457171440125,0.0031658780180867816,4.8717427253723145,0.011481761932373047,0.009791851043701172,0.005861830711364924,0.0061473846435546875,0.005619931221008123,0.001689910888671875,4.046638011932373,4.025439739227295,4.051273822784424,4.036496090888977,0.007513772015996,4.041215896606445,-0.021198272705078125,0.004635810852050781,-0.010141921043396174,-0.005422115325927734,-0.011056351661681951,-0.025834083557128906
E10,node_unrelated_visual,1,3,seed01_fold03,280,50,82,38,4.733694076538086,10,both,20,148.87751984596252,0.21450434625148773,0.2157486528158188,0.14299489557743073,0.18228120654821395,0.05438093094461126,0.05905739217996597,-0.0012443065643310547,0.071509450674057,0.032223139703273784,0.15544695407152176,-0.03346744626760484,-0.07275375723838806,5.092274188995361,5.849142551422119,5.766550064086914,5.3980933904647825,0.3004943731171031,5.518118381500244,0.7568683624267578,0.6742758750915527,0.3058192014694212,0.4258441925048828,0.4510491609573366,0.08259248733520508,4.072183132171631,4.398557186126709,4.492607116699219,4.303828477859497,0.18967307245398468,4.657966613769531,0.3263740539550781,0.4204239845275879,0.2316453456878662,0.5857834815979004,0.09472870826721191,-0.09404993057250977
E10,node_unrelated_visual,1,4,seed01_fold04,280,50,82,6,4.904548645019531,10,both,20,75.70935344696045,0.03616287559270859,-0.02688760682940483,0.04055850952863693,0.034798861807212235,0.027870225417905996,0.07610666751861572,0.06305048242211342,-0.004395633935928345,0.0013640137854963527,-0.039943791925907135,0.061686468636617066,0.06744611635804176,4.644758701324463,4.678174018859863,4.620758533477783,4.638127541542053,0.02363547246935034,4.609127521514893,0.03341531753540039,-0.024000167846679688,-0.006631159782410023,-0.03563117980957031,0.040046477317810414,0.05741548538208008,3.8680644035339355,3.89022159576416,3.8823440074920654,3.8792057752609255,0.014725880779623007,3.865360975265503,0.02215719223022461,0.014279603958129883,0.011141371726989924,-0.002703428268432617,0.011015820503234686,0.007877588272094727
