experiment_id,experiment_name,prior_type,prior_source,seed,fold,split_id,n_train,n_val,n_test,best_epoch,best_val_metric,runtime_seconds,target_train_mean,target_train_std,group_aware,pearson,rmse,mae,alignment_node_pearson,alignment_node_spearman,alignment_node_topk_jaccard,reference_alignment_node_pearson,reference_alignment_node_spearman,reference_alignment_node_topk_jaccard,reference_alignment_module_pearson,reference_alignment_module_spearman,reference_alignment_module_topk_jaccard,reference_alignment_edge_diagonal_pearson,reference_alignment_edge_diagonal_spearman,reference_alignment_edge_diagonal_topk_jaccard
E3,node_random,node,random,0,0,seed00_fold00,279,50,83,2,4.940669536590576,40.24951505661011,16.845878136200717,4.8357883123268195,False,-0.1414061039686203,5.104368209838867,4.436623573303223,0.2183818519115448,0.21954407411678775,0.17647058823529413,-0.0012417209800332785,-0.015931065719801577,0.0,-0.07192167639732361,-0.09523809523809526,0.2,-0.00895052682608366,-0.015931065719801577,0.0
E3,node_random,node,random,0,1,seed00_fold01,279,50,83,32,4.245602130889893,68.09681344032288,16.842293906810035,4.845668698152689,False,0.16230536997318268,5.253697872161865,4.445934772491455,0.5111426115036011,0.5080075346941914,0.25,-0.04902401566505432,0.012045683547386022,0.0,-0.197480708360672,0.0,0.2,-0.0460326112806797,0.012045683547386022,0.0
E3,node_random,node,random,0,2,seed00_fold02,280,50,82,30,4.9030866622924805,65.21069049835205,16.917857142857144,4.921204380130987,False,0.2943016588687897,4.51461935043335,3.7999374866485596,0.5180566310882568,0.5145811709529851,0.25,0.14931756258010864,0.1550607083179057,0.1111111111111111,0.22654207050800323,0.2142857142857143,0.2,0.15492990612983704,0.1550607083179057,0.1111111111111111
E3,node_random,node,random,0,3,seed00_fold03,280,50,82,34,4.196653366088867,69.85371899604797,16.90714285714286,4.856360231065809,False,0.08910608291625977,5.338479042053223,4.301693916320801,0.507458508014679,0.474101410833045,0.25,-0.061280492693185806,-0.020141062083999926,0.0,-0.5226583480834961,-0.4523809523809524,0.2,-0.0665815994143486,-0.020141062083999926,0.0
E3,node_random,node,random,0,4,seed00_fold04,280,50,82,20,4.813780784606934,52.323986530303955,16.8,5.010275156401806,False,0.2549910843372345,4.307597637176514,3.480910539627075,0.5369362831115723,0.5323338330834583,0.3333333333333333,0.024252640083432198,0.057946130265472635,0.0,-0.1424282044172287,-0.1666666666666667,0.2,0.025045298039913177,0.057946130265472635,0.0
E3,node_random,node,random,1,0,seed01_fold00,279,50,83,18,5.076512813568115,49.867671728134155,16.93548387096774,4.762020711139765,False,0.1587316244840622,5.0553059577941895,4.441690444946289,0.48806124925613403,0.4758159381847538,0.25,0.01144379936158657,0.10143943789987762,0.0,-0.17547297477722168,-0.09523809523809526,0.2,0.0103245098143816,0.10143943789987762,0.0
E3,node_random,node,random,1,1,seed01_fold01,279,50,83,30,3.981112480163574,64.57369995117188,16.620071684587813,4.945483294156645,False,-0.0634569376707077,5.722012519836426,4.776092052459717,0.5285582542419434,0.4969207703840388,0.25,-0.03319251537322998,-0.004924147586120487,0.0,-0.2751387059688568,-0.2380952380952381,0.2,-0.036506637930870056,-0.004924147586120487,0.0
E3,node_random,node,random,1,2,seed01_fold02,280,50,82,4,5.053657531738281,39.86652374267578,16.932142857142857,4.8740239734615125,False,0.28010615706443787,4.872661590576172,4.023718357086182,0.21577510237693787,0.1957175258524584,0.17647058823529413,0.03208312392234802,0.020340824663558563,0.0,0.1181412786245346,0.28571428571428575,0.5,0.024284152314066887,0.020340824663558563,0.0
E3,node_random,node,random,1,3,seed01_fold03,280,50,82,65,4.484071731567383,112.5108802318573,17.017857142857142,4.8531693305530155,False,0.17315241694450378,5.447815895080566,4.3358683586120605,0.6165083646774292,0.5937262138161689,0.42857142857142855,0.019235556945204735,0.012759834769308162,0.0,-0.4383770823478699,-0.4285714285714286,0.2,0.010344353504478931,0.012759834769308162,0.0
E3,node_random,node,random,1,4,seed01_fold04,280,50,82,13,4.897286891937256,45.43015694618225,16.867857142857144,4.953393755182153,False,0.029969576746225357,4.737385272979736,3.968724012374878,0.452017605304718,0.40457463575904357,0.3333333333333333,0.01498514972627163,0.050934463722964354,0.0,-0.25100821256637573,-0.1666666666666667,0.2,0.008952966891229153,0.050934463722964354,0.0
