experiment_id,seed,gap_pearson_top_vs_random,gap_pearson_top_vs_bottom,gap_rmse_top_vs_random,gap_rmse_top_vs_bottom,gap_mae_top_vs_random,gap_mae_top_vs_bottom
M2_RANDOM,0,0.004636132864314618,0.040809271140339234,0.9535500124954044,-0.19861933368612555,1.0408409960999265,-0.19281122727216093
M2_RANDOM,1,0.009514127271752543,0.009565603101868658,0.1398566659843406,1.222437256124332,0.2681696669452164,0.7380078715084231
M2_RANDOM,2,0.06191458751745153,0.04139978320885922,0.22318343905402135,1.2284021283876618,0.1396764344942071,1.0658481570996854
M2_RANDOM,3,-0.007844370631536982,-0.0008987952949814998,2.4844579272529463,2.6149061979081636,2.4768547221011987,2.424200085419401
M2_RANDOM,4,0.05605554219432781,0.06339362064882209,2.636313935647292,3.458172281051276,2.8680877805842107,3.3660252029672284
M2_SHUFFLED,0,0.013486018849257323,0.018201237455572002,2.7274144034101604,2.533964687772704,2.65425548366263,2.341464917617022
M2_SHUFFLED,1,0.005391465081952552,0.02145567205528074,0.1274456379083614,-0.3455887303368724,0.24193949461894046,-0.6920885513433457
M2_SHUFFLED,2,0.030088977205489736,0.024350843026511103,2.218240116855477,2.0149105505607823,2.200089496805357,1.8925469697800381
M2_SHUFFLED,3,0.03931342821542796,0.029742452937042096,2.6428623636207567,0.6058845397167031,2.5230664015390785,0.4153113217764381
M2_SHUFFLED,4,-0.006226288895306856,0.04865412260208364,0.046406281444171915,-1.6804189532858935,0.18085062939876212,-1.7387288272643553
M2_TRUE,0,0.022480786967964163,0.005342505427595403,0.30488770478188487,-1.7068355732674476,0.08657344470611184,-2.0914087041630105
M2_TRUE,1,-0.017321360050380742,-0.02881080321417136,0.18704509061656527,0.09827459418134073,0.15894810454200153,-0.44588992244665554
M2_TRUE,2,0.023121925364622598,0.015314836488808445,0.12204872466951236,-0.3707300968151127,-0.17354851586518158,-0.6369079214875716
M2_TRUE,3,-0.022572571957398375,-0.05861774652368192,-0.7074211659202316,-2.926059813379627,-0.7680192819764045,-3.0090995935702933
