experiment_id,experiment_name,seed,fold,split_id,n_train,n_val,n_test,best_epoch,best_val_metric,topk,mask_mode,random_repeats,runtime_seconds,original_pearson,top_pearson,bottom_pearson,random_pearson_mean,random_pearson_std,prior_top_pearson,delta_pearson_top,delta_pearson_bottom,delta_pearson_random,delta_pearson_prior_top,gap_pearson_top_vs_random,gap_pearson_top_vs_bottom,original_rmse,top_rmse,bottom_rmse,random_rmse_mean,random_rmse_std,prior_top_rmse,delta_rmse_top,delta_rmse_bottom,delta_rmse_random,delta_rmse_prior_top,gap_rmse_top_vs_random,gap_rmse_top_vs_bottom,original_mae,top_mae,bottom_mae,random_mae_mean,random_mae_std,prior_top_mae,delta_mae_top,delta_mae_bottom,delta_mae_random,delta_mae_prior_top,gap_mae_top_vs_random,gap_mae_top_vs_bottom
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,0,0,seed00_fold00,279,50,83,-1,,10,both,20,86.70462965965271,0.3958834488136505,0.3151437465765896,0.3893331949318311,0.3786946952808436,0.03437238774088065,0.34098666136546807,0.0807397022370609,0.006550253881819401,0.01718875353280691,0.05489678744818244,0.06355094870425398,0.0741894483552415,4.726272613859381,4.932383414745251,7.283121921624441,5.823382103972542,1.397336301937205,4.822212117328023,0.2061108008858703,2.5568493077650603,1.0971094901131613,0.09593950346864233,-0.890998689227291,-2.35073850687919,3.9974965399348785,4.122176928858681,6.26532139040723,4.923501278789654,1.2992540314941046,4.083392698956015,0.12468038892380262,2.2678248504723517,0.9260047388547759,0.08589615902113623,-0.8013243499309732,-2.143144461548549
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,0,1,seed00_fold01,279,50,83,-1,,10,both,20,83.53821730613708,0.41609706234334704,0.32566521647710933,0.43319139915142846,0.4160913730783534,0.037918848470826515,0.45108112482386653,0.0904318458662377,-0.017094336808081423,5.689264993613552e-06,-0.034984062480519496,0.09042615660124409,0.10752618267431913,4.651862030402796,4.903266110469074,4.7087727425865,4.875930736666525,0.2308372097546739,5.372556194735872,0.251404080066278,0.05691071218370336,0.2240687062637292,0.720694164333076,0.0273353738025488,0.19449336788257465,3.895230396538572,3.918190431937526,4.043971116077031,4.011675121092139,0.2480142835100945,4.09778538373738,0.02296003539895386,0.1487407195384587,0.11644472455356736,0.2025549871988077,-0.0934846891546135,-0.12578068413950483
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,0,2,seed00_fold02,280,50,82,-1,,10,both,20,84.86791896820068,0.2799624488965694,0.27947795568106526,0.28062462151332346,0.27822360001956914,0.026287455407432523,0.24256046230949738,0.0004844932155041448,-0.0006621726167540531,0.0017388488770002652,0.03740198658707203,-0.0012543556614961204,0.001146665832258198,4.536323084710582,6.463094124444241,4.5311221243179585,5.248044291075584,0.7707222798025251,4.6208381127235745,1.9267710397336586,-0.0052009603926235215,0.7117212063650022,0.08451502801299249,1.2150498333686564,1.9319720001262821,3.8138644289973143,5.554939741256068,3.828872397688317,4.545807788226793,0.6701645652858066,4.012092481252812,1.741075312258754,0.015007968691002738,0.7319433592294788,0.19822805225549756,1.009131953029275,1.7260673435677512
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,0,3,seed00_fold03,280,50,82,-1,,10,both,20,87.15470051765442,0.39470456719321034,0.3428082591549921,0.39136143765606324,0.36469725752071563,0.03533233139263952,0.35486293335732605,0.051896308038218264,0.003343129537147105,0.03000730967249471,0.039841633835884294,0.021888998365723555,0.04855317850107116,4.7626475193750855,17.66154005336856,4.81423437991999,6.385092428642493,1.960960927060583,5.024687380102748,12.898892533993475,0.051586860544904134,1.6224449092674078,0.26203986072766217,11.276447624726067,12.84730567344857,3.858646845171614,16.985205983872785,4.057243402401773,5.5036219425425355,1.9254865090142692,4.386020277290578,13.126559138701172,0.19859655723015912,1.6449750973709216,0.5273734321189645,11.481584041330251,12.927962581471013
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,0,4,seed00_fold04,280,50,82,-1,,10,both,20,92.40692114830017,0.28275184145089477,0.29705654324673614,0.25317344851814183,0.271053480350577,0.0324455595232012,0.2224187887774928,-0.014304701795841368,0.02957839293275294,0.011698361100317745,0.06033305267340197,-0.026003062896159113,-0.04388309472859431,4.522229500878448,9.618507601570002,5.433081118386898,5.914999429648268,1.2823315828539188,5.784305910581725,5.096278100691554,0.9108516175084498,1.3927699287698196,1.262076409703277,3.703508171921734,4.185426483183104,3.711216821753318,8.723399634121959,4.622065724281006,5.004621924059768,1.1939104744627964,4.497874191551386,5.012182812368641,0.9108489025276878,1.2934051023064495,0.7866573697980677,3.7187777100621915,4.101333909840953
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,1,0,seed01_fold00,279,50,83,-1,,10,both,20,88.32499313354492,0.47554645052344313,0.4478555589704418,0.438365073834177,0.46098705695780173,0.03364849186463672,0.47734157442604763,0.027690891553001307,0.03718137668926613,0.014559393565641399,-0.0017951239026045007,0.013131497987359908,-0.009490485136264826,4.544227728230652,6.5711862101407545,5.211937729658095,7.074984955883354,2.930997014668065,4.695158685611833,2.0269584819101025,0.6677100014274426,2.5307572276527024,0.15093095738118123,-0.5037987457425999,1.35924848048266,3.681174817468232,5.667344546251801,4.1840524571679625,6.10475997402671,2.9531962898230093,3.8490129959125134,1.986169728783569,0.5028776396997303,2.4235851565584774,0.16783817844428128,-0.4374154277749085,1.4832920890838386
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,1,1,seed01_fold01,279,50,83,-1,,10,both,20,81.36663699150085,0.3145058368436549,0.32764355212432794,0.30335659444638474,0.3089290339134706,0.025519259796923117,0.3053568392330741,-0.013137715280673035,0.011149242397270165,0.00557680293018431,0.0091489976105808,-0.018714518210857345,-0.0242869576779432,4.57743255251721,5.583590126692243,4.5389175213748585,4.655689563681208,0.2758180910995491,4.616809998987938,1.0061575741750337,-0.03851503114235122,0.07825701116399841,0.03937744647072794,0.9279005630110353,1.044672605317385,3.9799960732855677,5.200470041931212,3.890651004490466,3.840944451113875,0.4907558800198322,3.3061393572799207,1.2204739686456447,-0.08934506879510185,-0.13905162217169265,-0.673856716005647,1.3595255908173374,1.3098190374407466
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,1,2,seed01_fold02,280,50,82,-1,,10,both,20,87.73932719230652,0.3464358339394864,0.327122728082899,0.32923954410488854,0.3331900517070852,0.03379154827300421,0.28838124526831005,0.01931310585658741,0.017196289834597867,0.013245782232401193,0.058054588671176355,0.006067323624186216,0.0021168160219895427,4.581599592694711,5.492473673755107,4.699923664049732,5.155679231993621,0.5595575982471169,4.710865636078618,0.9108740810603964,0.11832407135502088,0.57407963929891,0.12926604338390746,0.3367944417614863,0.7925500097053755,3.7738580480476074,4.79984112546893,4.071257139275339,4.445129998838836,0.5021762870955109,3.8075017349710145,1.0259830774213228,0.29739909122773156,0.6712719507912288,0.033643686923407135,0.35471112663009396,0.7285839861935912
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,1,3,seed01_fold03,280,50,82,-1,,10,both,20,79.3201093673706,0.39490114700168316,0.3849521948450164,0.38658703620703494,0.38314068098449716,0.027723707323479247,0.2596113308306968,0.009948952156666746,0.008314110794648222,0.011760466017186,0.13528981617098634,-0.0018115138605192538,0.0016348413620185243,4.715564972751655,8.854729487595959,4.725673805000154,5.764624052048101,0.9113297959240507,5.010327882268976,4.139164514844304,0.010108832248499233,1.0490590792964465,0.2947629095173214,3.0901054355478577,4.129055682595805,3.9546413743977777,7.689124859775081,4.092698474732102,4.952511293942211,0.7535351597029031,4.343454928178479,3.7344834853773032,0.13805710033432428,0.9978699195444336,0.3888135537807016,2.7366135658328696,3.596426385042979
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,1,4,seed01_fold04,280,50,82,-1,,10,both,20,85.95114278793335,0.17908321662161997,0.07223393378704081,0.17338690261127704,0.18216774929975352,0.024340880680290937,0.22010954947897657,0.10684928283457916,0.005696314010342929,-0.0030845326781335503,-0.0410263328573566,0.10993381551271271,0.10115296882423623,4.6406010795437265,5.516268678547318,4.963120393499342,4.96442904881482,0.36850556341500557,4.545072010033667,0.8756675990035916,0.32251931395561595,0.32382796927109325,-0.0955290695100599,0.5518396297324983,0.5531482850479756,3.966806445853227,4.852362847440353,4.374975351065271,4.314265738387656,0.35982858789795447,3.840327931749007,0.885556401587126,0.4081689052120443,0.34745929253442887,-0.12647851410421973,0.5380971090526971,0.4773874963750817
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,2,0,seed02_fold00,279,50,83,-1,,10,both,20,76.50560975074768,0.47835052016053825,0.49653846168764115,0.482770766519662,0.4668339447360147,0.019927289268349406,0.4187407636724022,-0.018187941527102902,-0.004420246359123747,0.011516575424523556,0.059609756488136045,-0.02970451695162646,-0.013767695167979155,4.316039395668324,9.989389423127554,4.3146297390572705,5.2767005254438075,0.6412205101628852,4.5081883724029455,5.67335002745923,-0.0014096566110533004,0.9606611297754837,0.1921489767346216,4.712688897683746,5.674759684070283,3.5499446314806695,9.058512387439647,3.563215133228248,4.659164340671454,0.6283279472943274,3.854248824886734,5.508567755958977,0.01327050174757849,1.1092197091907847,0.3043041934060646,4.399348046768193,5.495297254211399
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,2,1,seed02_fold01,279,50,83,-1,,10,both,20,83.29753112792969,0.38632878854964187,0.32526304071853807,0.37416385571100774,0.3451728359592735,0.03188537580155739,0.39765861743111486,0.0610657478311038,0.012164932838634124,0.04115595259036836,-0.011329828881472992,0.01990979524073544,0.04890081499246968,4.516701138680856,5.141166379699407,4.5827612273184295,6.282399754359707,1.8493752110304216,4.429417221453357,0.6244652410185507,0.06606008863757307,1.7656986156788506,-0.08728391722749951,-1.1412333746602998,0.5584051523809777,3.8916608771103105,4.458845543313531,3.915312521721698,5.377502370243374,1.635689452279944,3.889571633218475,0.5671846662032207,0.023651644611387468,1.485841493133064,-0.0020892438918354017,-0.9186568269298432,0.5435330215918333
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,2,2,seed02_fold02,280,50,82,-1,,10,both,20,81.82237219810486,0.3134244025105253,0.2846923147328062,0.32525599756533463,0.29406640751082536,0.034555379242813426,0.25412232725119527,0.028732087777719073,-0.011831595054809352,0.019357994999699923,0.05930207525933001,0.00937409277801915,0.040563682832528425,5.098755980749616,7.034218206354756,5.1559806028016455,6.77717850757313,2.3685120975804277,6.1217108807371385,1.9354622256051393,0.05722462205202916,1.678422526823514,1.0229548999875222,0.25703969878162525,1.87823760355311,4.204334884282998,5.367612797204842,4.4311117054650655,5.79088409380381,2.2863907510381307,5.326240444778567,1.1632779129218438,0.22677682118206732,1.586549209520812,1.121905560495569,-0.4232712965989682,0.9365010917397765
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,2,3,seed02_fold03,280,50,82,-1,,10,both,20,97.19968152046204,0.3034328965397984,0.301252542485868,0.31139203878886285,0.3007207262293742,0.02139866397926936,0.29404318505983784,0.0021803540539303556,-0.007959142249064466,0.0027121703104242,0.009389711479960539,-0.0005318162564938445,0.010139496302994822,4.564109147177623,4.57155057581299,4.623978244642107,4.633930669100792,0.05555441314895235,4.593111417759696,0.007441428635367231,0.059869097464483545,0.06982152192316882,0.029002270582072498,-0.062380093287801586,-0.052427668829116314,3.897416413963089,3.919740895450271,3.99760633015983,3.993862816201678,0.08257388803730123,3.908724508325388,0.022324481487181913,0.100189916196741,0.09644640223858891,0.01130809436229896,-0.074121920751407,-0.07786543470955909
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,2,4,seed02_fold04,280,50,82,-1,,10,both,20,84.10014748573303,0.4529803809343741,0.35364608650760854,0.4203305002466614,0.43934495332068907,0.04006598820497437,0.4489643512063572,0.09933429442676556,0.032649880687712685,0.013635427613685025,0.004016029728016901,0.08569886681308053,0.06668441373905287,4.275923580008396,5.265855349512559,4.352517872961027,5.79598831196742,1.89005385880623,4.542093249855202,0.989931769504163,0.0765942929526311,1.5200647319590246,0.2661696698468061,-0.5301329624548616,0.9133374765515319,3.4419896771993646,4.62260091648597,3.5761751709559237,4.946403751803256,1.8717871908429804,3.571064070954314,1.1806112392866055,0.1341854937565592,1.5044140746038916,0.12907439375494967,-0.32380283531728615,1.0464257455300463
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,3,0,seed03_fold00,279,50,83,-1,,10,both,20,88.75581908226013,0.4954267591544145,0.440290141774503,0.49285074290905695,0.48541883237129496,0.018039571335625,0.45197578734072774,0.05513661737991149,0.0025760162453575264,0.010007926783119514,0.043450971813686734,0.045128690596791976,0.052560601134553964,4.441328981936128,6.277407014314798,4.542662951375699,5.3634165093391815,0.6596007584413761,4.59774567841902,1.83607803237867,0.10133396943957074,0.9220875274030531,0.15641669648289191,0.913990504975617,1.7347440629390993,3.7715603689346393,5.559660302308408,3.910259673187587,4.6886570026901735,0.5971414311025216,3.7253830913107118,1.7880999333737684,0.13869930425294763,0.9170966337555342,-0.04617727762392754,0.8710032996182342,1.6494006291208207
