method_id,method_name,method_family,seed,fold,split_id,n_train,n_val,n_test,best_alpha1,best_alpha2,best_val_rmse,runtime_seconds,group_aware,pearson,rmse,mae,prior_alignment_pearson,prior_alignment_spearman,prior_alignment_top10_jaccard
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,0,0,seed00_fold00,279,50,83,0.01,0.0,4.277538554810481,6.929343223571777,False,0.3958834536864214,4.726272602883885,3.9974965337167263,-0.0331625928066968,0.0019876376666084,0.0
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,0,1,seed00_fold01,279,50,83,1.0,0.0,4.547700493818471,6.560260057449341,False,0.4160970627763207,4.651862029673086,3.895230395179388,-0.0516368361349206,0.0160309470095808,0.0
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,0,2,seed00_fold02,280,50,82,1.0,5.0,4.866732361623315,7.11600136756897,False,0.2833579051668363,4.529445856270253,3.8142553668553294,-0.8990881438171822,-0.7412440217747803,0.0
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,0,3,seed00_fold03,280,50,82,0.1,0.0,3.859544749068279,7.256627798080444,False,0.4419245932630494,4.6263990783558535,3.7495119892503914,-0.1046991768077938,-0.0846094405720621,0.0
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,network_constrained_ridge,0,4,seed00_fold04,280,50,82,0.1,0.0,4.324293913709828,7.2854931354522705,False,0.2827518442665354,4.522229486267992,3.7112168217283528,-0.0610231526739071,-0.0480728647707868,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,0,0,seed00_fold00,279,50,83,0.01,0.0,4.277538554810493,7.096762657165527,False,0.3958834536864217,4.726272602883885,3.997496533716724,-0.08278276074419386,-0.041230996420903394,0.1111111111111111
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,0,0,seed00_fold00,279,50,83,0.01,0.0,4.27753855481049,7.364987134933472,False,0.39588345368642036,4.7262726028838875,3.997496533716728,-0.05773815745120575,-0.009533694691115981,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,0,1,seed00_fold01,279,50,83,1.0,0.0,4.547700493818458,7.791580677032471,False,0.41609706277632075,4.651862029673086,3.89523039517939,-0.1275239604748563,-0.11882877045045728,0.1111111111111111
NCR_RANDOM,Random-prior Network-Constrained Ridge,network_constrained_ridge,0,1,seed00_fold01,279,50,83,1.0,0.0,4.547700493818459,7.726974725723267,False,0.41609706277632086,4.651862029673086,3.895230395179388,-0.06689834638343459,0.008418867489332259,0.0
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,network_constrained_ridge,0,2,seed00_fold02,280,50,82,1.0,10.0,4.8760519515496625,6.990072011947632,False,0.2799624515572271,4.536323076650231,3.81386443281157,-0.9372015443559186,-0.7464478369722829,0.0
