method_id,method_name,seed,pearson,rmse,mae,folds
NCR_RANDOM,Random-prior Network-Constrained Ridge,0,0.36385702881968,4.611652582560711,3.8328016137262915,5
NCR_RANDOM,Random-prior Network-Constrained Ridge,1,0.32020288355630444,4.675521435402215,3.888414796339905,5
NCR_RANDOM,Random-prior Network-Constrained Ridge,2,0.3671808908654027,4.551738925778186,3.77146401615663,5
NCR_RANDOM,Random-prior Network-Constrained Ridge,3,0.4139025900894099,4.505231919375926,3.7638959210574763,5
NCR_RANDOM,Random-prior Network-Constrained Ridge,4,0.33841872309967214,4.653159671941964,3.8558693866493896,5
NCR_RANDOM,Random-prior Network-Constrained Ridge,5,0.3713997733121331,4.57629170114022,3.826254190234708,5
NCR_RANDOM,Random-prior Network-Constrained Ridge,6,0.3838886707565317,4.562298810168123,3.840047522250868,5
NCR_RANDOM,Random-prior Network-Constrained Ridge,7,0.3466650263240846,4.667706627251965,3.9512483517427675,5
NCR_RANDOM,Random-prior Network-Constrained Ridge,8,0.35663639428696653,4.638168798159372,3.8889983374583736,5
NCR_RANDOM,Random-prior Network-Constrained Ridge,9,0.37389225462020187,4.549214525684959,3.797548148326618,5
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,0,0.35387987609978,4.639866942382891,3.8552910055083442,5
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,1,0.34209449726174707,4.611885181504533,3.8712953485065817,5
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,2,0.3869033965804773,4.554305852352611,3.797069297486213,5
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,3,0.4108433078260735,4.51717520637042,3.771856359554655,5
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,4,0.3151049086902378,4.792175319885759,3.96707640714545,5
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,5,0.3698251873860091,4.579470208208913,3.822349037493511,5
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,6,0.38412293896291777,4.552269844150913,3.8406349216088573,5
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,7,0.3416584220381892,4.712240346920147,3.9786190138435353,5
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,8,0.3416992210503881,4.658802579069795,3.8936216310157157,5
NCR_SHUFFLED,Shuffled-prior Network-Constrained Ridge,9,0.36365667114440386,4.571907465533604,3.813204659978008,5
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,0,0.3640029718318326,4.611241810690214,3.8335422213460375,5
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,1,0.33705649167906265,4.617370980286017,3.896945911813429,5
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,2,0.3918126062336946,4.524541023820328,3.7962074784952207,5
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,3,0.41009757528687113,4.524186036769999,3.77996823079569,5
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,4,0.33632037749800336,4.706156203273442,3.921283215560348,5
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,5,0.37657129726341604,4.586509681610146,3.814733365325722,5
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,6,0.3931387836274137,4.5432454360166155,3.8302495066045084,5
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,7,0.34592455321914983,4.670077672620834,3.9672349358524537,5
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,8,0.3466561106286005,4.638518655411729,3.887377032480683,5
NCR_TRUE,Network-Constrained Prior-Laplacian Ridge,9,0.3417513858395494,4.625133809601294,3.883744432846273,5
