target,prior_type,lifting,modality,metric,value,seed,fold
fluid_intelligence,shuffled,prod,FC,ridge_pearson,-0.022700448008233464,0,2
fluid_intelligence,shuffled,prod,SC,ridge_pearson,0.027966478502119828,0,2
fluid_intelligence,random,prod,FC,ridge_pearson,-0.029597568323155785,0,2
fluid_intelligence,random,prod,SC,ridge_pearson,0.015109137561847601,0,2
fluid_intelligence,matched,mean,FC,ridge_pearson,-0.10060600587483527,0,2
fluid_intelligence,matched,mean,SC,ridge_pearson,-0.04376776936533357,0,2
fluid_intelligence,unrelated,mean,FC,ridge_pearson,-0.15570870126526287,0,2
fluid_intelligence,unrelated,mean,SC,ridge_pearson,-0.04034842260862677,0,2
fluid_intelligence,shuffled,mean,FC,ridge_pearson,-0.018645605466006902,0,2
fluid_intelligence,shuffled,mean,SC,ridge_pearson,0.035390372074023936,0,2
fluid_intelligence,random,mean,FC,ridge_pearson,-0.033625256551126394,0,2
fluid_intelligence,random,mean,SC,ridge_pearson,0.019036299220785514,0,2
fluid_intelligence,matched,max,FC,ridge_pearson,-0.10235220937243618,0,2
fluid_intelligence,matched,max,SC,ridge_pearson,-0.039768372162180265,0,2
fluid_intelligence,unrelated,max,FC,ridge_pearson,-0.14118011190311158,0,2
fluid_intelligence,unrelated,max,SC,ridge_pearson,-0.02535647854500673,0,2
fluid_intelligence,shuffled,max,FC,ridge_pearson,-0.01697474637433092,0,2
fluid_intelligence,shuffled,max,SC,ridge_pearson,0.0349576698417728,0,2
fluid_intelligence,random,max,FC,ridge_pearson,-0.013766131051187212,0,2
fluid_intelligence,random,max,SC,ridge_pearson,0.024844450907361405,0,2
fluid_intelligence,matched,bridge,FC,ridge_pearson,-0.062057591253067375,0,2
fluid_intelligence,matched,bridge,SC,ridge_pearson,-0.04508640365723052,0,2
fluid_intelligence,unrelated,bridge,FC,ridge_pearson,-0.12451159105450496,0,2
fluid_intelligence,unrelated,bridge,SC,ridge_pearson,-0.026897302827920168,0,2
fluid_intelligence,shuffled,bridge,FC,ridge_pearson,-0.002398417015993467,0,2
fluid_intelligence,shuffled,bridge,SC,ridge_pearson,0.026588795906340352,0,2
fluid_intelligence,random,bridge,FC,ridge_pearson,-0.005679679356792429,0,2
fluid_intelligence,random,bridge,SC,ridge_pearson,0.0073674875046795575,0,2
fluid_intelligence,matched,prod,FC,ridge_pearson,-0.07362871474310248,0,3
fluid_intelligence,matched,prod,SC,ridge_pearson,-0.03842547844219787,0,3
fluid_intelligence,unrelated,prod,FC,ridge_pearson,-0.12031795621538287,0,3
fluid_intelligence,unrelated,prod,SC,ridge_pearson,-0.047050138235418856,0,3
fluid_intelligence,shuffled,prod,FC,ridge_pearson,-0.010322436927111718,0,3
fluid_intelligence,shuffled,prod,SC,ridge_pearson,0.04581409415022879,0,3
fluid_intelligence,random,prod,FC,ridge_pearson,-0.024428345269729913,0,3
fluid_intelligence,random,prod,SC,ridge_pearson,0.02957055901205321,0,3
fluid_intelligence,matched,mean,FC,ridge_pearson,-0.0921582172931012,0,3
fluid_intelligence,matched,mean,SC,ridge_pearson,-0.05355558212822173,0,3
fluid_intelligence,unrelated,mean,FC,ridge_pearson,-0.1636361900765849,0,3
fluid_intelligence,unrelated,mean,SC,ridge_pearson,-0.049613050031347,0,3
fluid_intelligence,shuffled,mean,FC,ridge_pearson,-0.003070206965560317,0,3
fluid_intelligence,shuffled,mean,SC,ridge_pearson,0.0421858360294682,0,3
fluid_intelligence,random,mean,FC,ridge_pearson,-0.01991285605113383,0,3
fluid_intelligence,random,mean,SC,ridge_pearson,0.03263030114595715,0,3
fluid_intelligence,matched,max,FC,ridge_pearson,-0.10007829203131569,0,3
fluid_intelligence,matched,max,SC,ridge_pearson,-0.04568280229028376,0,3
fluid_intelligence,unrelated,max,FC,ridge_pearson,-0.15163814480317128,0,3
fluid_intelligence,unrelated,max,SC,ridge_pearson,-0.03501794938591265,0,3
fluid_intelligence,shuffled,max,FC,ridge_pearson,0.0034487002702164073,0,3
fluid_intelligence,shuffled,max,SC,ridge_pearson,0.033094815015954224,0,3
fluid_intelligence,random,max,FC,ridge_pearson,0.007239108102399092,0,3
fluid_intelligence,random,max,SC,ridge_pearson,0.035887936689035435,0,3
