target,prior_type,lifting,marginal_pearson_mean_mean,marginal_pearson_mean_std,marginal_spearman_mean_mean,marginal_spearman_mean_std,ridge_pearson_mean_mean,ridge_pearson_mean_std,ridge_spearman_mean_mean,ridge_spearman_mean_std
fluid_intelligence,matched,bridge,0.046792058421928004,0.010326332963471402,0.0421853009343403,0.011319779284864474,-0.0328759810807836,0.0009474127636309635,-0.03674735646198244,0.0018421207382986534
fluid_intelligence,matched,max,0.062407323762757,0.012330567371116447,0.056556340569883644,0.013153350730305066,-0.03366486716319804,0.0008782485932063895,-0.046555991488207736,0.0019767684907873676
fluid_intelligence,matched,mean,0.07297073801495449,0.01400479695437771,0.06626190754736073,0.015080847749434193,-0.037871044935088194,0.0006760094830238766,-0.038057483122718345,0.0019091194494412845
fluid_intelligence,matched,prod,0.06317389489587007,0.011669367772066074,0.06415990036047291,0.015934921900132862,-0.026891646983339353,0.0005503587715987957,-0.02476760257994833,0.0014754482709156897
fluid_intelligence,random,bridge,-0.00011128811967536959,0.001620121867341603,0.0011329880008579065,0.0017971856579701063,0.004338550328405344,0.0005311455129704068,0.004826823527821762,0.0017104972065898401
fluid_intelligence,random,max,-0.021703899660888995,0.005969403514740568,-0.02560394216284907,0.005900936479656372,0.015070977641400297,0.001076541754645105,0.00034591533400737023,0.0012756098213809674
fluid_intelligence,random,mean,-0.020264442226404326,0.007307628581030834,-0.01684642069187507,0.007887844536528,0.01024382057551337,0.0013241658414674606,-0.013314024152912699,0.0014486030864606673
fluid_intelligence,random,prod,-0.01915072383855169,0.006487884849451288,-0.015105642037696774,0.007766162157089298,0.00798220068405493,0.0013152490986687694,-0.017549651391257224,0.0015883376492163885
fluid_intelligence,shuffled,bridge,-0.04216967992865389,0.005225506537118699,-0.03968790063850809,0.004706011263513102,0.012215214057157074,0.001124763280239282,-0.009122311209849908,0.0020475650018716486
fluid_intelligence,shuffled,max,-0.045952414335183135,0.007203990911372061,-0.04309739976340006,0.006566322962259806,0.024464358228622845,0.0011751712307228302,-0.0031428673435184113,0.0019296025484389307
fluid_intelligence,shuffled,mean,-0.05674537256565285,0.007209242844444565,-0.05250248588883488,0.006598310919496387,0.029218331115715868,0.0010665933858684438,-0.003619579043608114,0.0016815369825491238
fluid_intelligence,shuffled,prod,-0.04515958376895927,0.005907486398633558,-0.06555745210206478,0.005671232973505984,0.029769820843779698,0.0007907931262435458,-0.0009525528643597239,0.0013594647463821346
fluid_intelligence,unrelated,bridge,0.06771002401290023,0.011549004269053465,0.06342817598143603,0.01346086520246563,-0.026138382168792395,0.001082820010940008,-0.06199028347148995,0.0013941883519745706
fluid_intelligence,unrelated,max,0.0829847839857467,0.013054594488581739,0.07702359488976881,0.014673750641302667,-0.026716092920594292,0.0008735586795413334,-0.06669677507508541,0.0016339228806370024
fluid_intelligence,unrelated,mean,0.09344774311972319,0.01571043525198739,0.08208799224654123,0.016928707317388193,-0.036767253777879136,0.0007844068716753214,-0.07433248273611778,0.0017636847447045363
fluid_intelligence,unrelated,prod,0.08030317747239415,0.01359372946008317,0.08050522590329308,0.019308481871748318,-0.031991459244468154,0.0006777351337032668,-0.0869733187115358,0.0016533113722792983
working_memory,matched,bridge,0.06451399459637068,0.008805000931714187,0.06293308427473664,0.007367387552447717,-0.021814891556433545,0.0009670261041471473,-0.05645460738513319,0.001440962428015966
working_memory,matched,max,0.0683538230659854,0.010050001044841371,0.06757957282635887,0.008310865168072711,-0.02432883758244396,0.0007368260634212086,-0.0638353936698653,0.0014576423187770671
working_memory,matched,mean,0.0813047159627321,0.010838220270846455,0.07816649224117309,0.008912178291227058,-0.03487117555352228,0.0007437273328976166,-0.06663374555230708,0.0014078624236675786
working_memory,matched,prod,0.06545168926516444,0.0092906132242189,0.08892869209237102,0.010651289217131533,-0.032687317560805014,0.000714925912098022,-0.07415007617953907,0.0015933911709680474
working_memory,random,bridge,-0.0018674550769274996,0.001124012845807354,-0.0010919553038768973,0.0013942693292765373,0.008397102086321865,0.0006328684104524039,0.0015677237923899258,0.0013947215105112015
working_memory,random,max,-0.02333307834287614,0.005707684948478406,-0.03357895467807226,0.005959611481726914,0.014443881399997383,0.0009399215726190725,-0.0007159481997911438,0.0024668425728885178
working_memory,random,mean,-0.013756474964634485,0.00614376034192043,-0.014235698663510658,0.006810231934233582,0.006687873185889747,0.00090782732818651,-0.011981908859865593,0.0025515723810872457
working_memory,random,prod,-0.012289646201972955,0.005766564098343538,-0.007828952117980136,0.006429050929269032,0.003004061971410634,0.0008427699508150035,-0.014164234786374737,0.002493151237409898
working_memory,shuffled,bridge,-0.011370553601476933,0.0061134715315750415,-0.012651553626113306,0.006037977846046057,0.007938747677867976,0.0005304814950728576,0.003569265784442263,0.001935382732047694
working_memory,shuffled,max,-0.009699483880040974,0.007372902672470326,-0.00977834442223351,0.0070021098404955415,0.01641112050637858,0.000566697423500619,0.004936749303098986,0.002353419746868166
working_memory,shuffled,mean,-0.021206152752694257,0.006782951564590905,-0.020776321058353683,0.006385898612448705,0.019052907841087097,0.0007428175902029489,0.004897796214943748,0.0022142047331746724
working_memory,shuffled,prod,-0.02137248834057091,0.0050086630458339694,-0.033392082335187284,0.004169832082942556,0.020997537855689037,0.0010497543080680049,0.0076913432287381055,0.002072586929090405
working_memory,unrelated,bridge,0.0428714587192965,0.006738224997940263,0.03856076129057569,0.005247637820833649,-0.028473317717855367,0.0010715713396035548,-0.03231412357485749,0.0020807486949163925
working_memory,unrelated,max,0.04705547970065983,0.0076915478164851035,0.04162099130549879,0.00627897466274667,-0.029254229842003286,0.0008206315206133125,-0.0422564107441485,0.0023588903521962012
working_memory,unrelated,mean,0.047022945496084635,0.007937678995593946,0.047466677301915824,0.006909306014331893,-0.03443975697766327,0.000720239447111692,-0.03430253088949627,0.0022877159424515674
working_memory,unrelated,prod,0.03198320648456855,0.00718460902589637,0.04312604500759858,0.007382723608790029,-0.02543217828020163,0.0006331449216160402,-0.020683759651091756,0.0020306035579916518
