target,control_type,lifting,wilcoxon_p,mean_diff,ci_lo,ci_hi,effect_size,holm_p
all,unrelated,mean,0.082550048828125,0.00690238268093938,-0.004905774945693228,0.019365009330062383,0.24668823603919723,0.082550048828125
all,shuffled,mean,1.9073486328125e-06,0.11611348964801685,0.10791585252103171,0.12374188046545226,6.396834477717994,5.7220458984375e-06
all,random,mean,1.9073486328125e-06,0.09414818558436269,0.08951697031731586,0.09879358210004653,8.467435590207518,5.7220458984375e-06
