target,prior_type,lifting,seed,marginal_pearson_mean,marginal_pearson_std,marginal_spearman_mean,marginal_spearman_std,ridge_pearson_mean,ridge_pearson_std,ridge_spearman_mean,ridge_spearman_std
fluid_intelligence,matched,bridge,0,0.04144749963664669,0.011211992109035281,0.03645602141065736,0.009708888503893068,-0.03316680150612901,0.0027239817424515806,-0.03801052079151939,0.00407387045386258
fluid_intelligence,matched,bridge,1,0.02979586109787955,0.033525425585557544,0.022431224577827258,0.031039968614747275,-0.03302448612759011,0.006438612383051192,-0.03759382632905179,0.00926758151929857
fluid_intelligence,matched,bridge,2,0.04803290502005483,0.01863762364320596,0.04195440887402054,0.016477982067578778,-0.03240997428445609,0.0025619438702645793,-0.036946142084532466,0.005955276182311758
fluid_intelligence,matched,bridge,3,0.041384887960337666,0.022579545951707854,0.03663819837709591,0.022992398812894714,-0.033326591981364395,0.007003438140680525,-0.036103281131148,0.005624763864074243
fluid_intelligence,matched,bridge,4,0.06386995592273355,0.00938810059492361,0.06230994430372102,0.011928725096530495,-0.031225713203102513,0.0015011478105964474,-0.03474616742714902,0.0015666320636048784
fluid_intelligence,matched,bridge,5,0.039812308048966565,0.0168553240853249,0.03694882767082772,0.011351199423628187,-0.03239694192754685,0.0033964854005283473,-0.03641220718726932,0.007795046987347476
fluid_intelligence,matched,bridge,6,0.053274775757265656,0.023678315269726087,0.04594743300718615,0.0221839868348384,-0.03308705606634029,0.003105996031244302,-0.03799853012994829,0.005825133017513994
fluid_intelligence,matched,bridge,7,0.04894365634863467,0.017198603888793254,0.04712888678151514,0.013436493885023557,-0.034761465266200955,0.004340980789049709,-0.03488267666729037,0.008421690956628144
fluid_intelligence,matched,bridge,8,0.040824487401860426,0.02030874407591144,0.03604518634948212,0.021876841231609198,-0.03200123696058854,0.00369027886582379,-0.03440778927612026,0.00587466712412508
fluid_intelligence,matched,bridge,9,0.06053424702490044,0.009654525392983487,0.0559928779910698,0.017025388237385787,-0.033359543484517216,0.002204491688041303,-0.04037242359579547,0.002178807910760797
fluid_intelligence,matched,max,0,0.05600244146470311,0.01364705371419582,0.05084017657902769,0.012814316170351616,-0.03424058659775683,0.0027087836630035316,-0.0475866772415451,0.0038809369926665763
fluid_intelligence,matched,max,1,0.03898678696391068,0.04042065967531021,0.031576299998432325,0.03796787347258191,-0.03407630170663466,0.007294236074927564,-0.04781427295077884,0.0090629456586437
fluid_intelligence,matched,max,2,0.062952665927993,0.022252382475459777,0.055180175103160846,0.019310159591712242,-0.03366687865385952,0.002919397684532133,-0.04597466134296724,0.004100366155373118
fluid_intelligence,matched,max,3,0.0598759025072652,0.021735623580051787,0.054310565307477555,0.02323540313379616,-0.03378335452899339,0.0064578085436067965,-0.044821257987310764,0.0032642710411835522
fluid_intelligence,matched,max,4,0.08347380207856421,0.017788383738801122,0.0804716449135044,0.016967909518800225,-0.032198136229627736,0.001588719677977617,-0.04501905013578479,0.004281548739487763
fluid_intelligence,matched,max,5,0.059075379689614904,0.015793686032309982,0.05349964323573533,0.012490943556758201,-0.033491081461245714,0.0014491535499632203,-0.04671189892533286,0.008853013549797561
fluid_intelligence,matched,max,6,0.0693133940917336,0.024415912638335768,0.05998011195942421,0.02421507459804205,-0.0331498370636853,0.003736403235300112,-0.046273089216341934,0.0054147054606974295
fluid_intelligence,matched,max,7,0.06342671891190964,0.022906713006742838,0.06015519720035493,0.021781059101278647,-0.03524666937590319,0.004276197057415343,-0.04611693749886662,0.009092953294289583
fluid_intelligence,matched,max,8,0.054312023987268934,0.021340807119161417,0.048224787986756654,0.023646781586003765,-0.03258068403606557,0.002571462517591493,-0.044139098537804976,0.006233687556899076
fluid_intelligence,matched,max,9,0.07665412200460661,0.017770806494839236,0.0713248034149625,0.02497735869620177,-0.03421514197820851,0.0026571823902831145,-0.05110297104534424,0.00272236709222741
fluid_intelligence,matched,mean,0,0.06539005506672516,0.014622654046537228,0.059990521973050125,0.012879540766400244,-0.03858321185888394,0.0035044176202665787,-0.038842110110406884,0.005098595932345868
fluid_intelligence,matched,mean,1,0.04744742696422721,0.04187064630589506,0.03941157378113909,0.040212275385302,-0.03828112352785674,0.00820718337097254,-0.039342261338424236,0.0087107001410002
fluid_intelligence,matched,mean,2,0.06905078401132946,0.029449226087216937,0.06077975773302494,0.025371119309490434,-0.037917745826439524,0.002798761749303668,-0.03755743355627866,0.004079211226109937
fluid_intelligence,matched,mean,3,0.0700817323041906,0.02475698050332003,0.0629089189031113,0.02785681190847503,-0.03795264944028437,0.0051654220957575775,-0.036548218532656,0.004147765459276341
fluid_intelligence,matched,mean,4,0.10014368193030496,0.023204688365858882,0.09647007244250945,0.023096991601567085,-0.037077620019992916,0.001771528352952775,-0.03640881656387947,0.004568757866462187
fluid_intelligence,matched,mean,5,0.0692724760592798,0.01615178106130359,0.06142442896053776,0.01333953519562708,-0.03764189557340725,0.0013823150293196611,-0.03784038044443753,0.009050805397763016
fluid_intelligence,matched,mean,6,0.080710099240435,0.021573569556379457,0.07062035680847098,0.02497352464099521,-0.03712294087382684,0.004038386630876451,-0.03774784565252243,0.00541804020918253
fluid_intelligence,matched,mean,7,0.07632828549620044,0.024579370444612246,0.0726674196116874,0.02152333071254309,-0.038867396722786746,0.004747830645097036,-0.037978989544860696,0.010275366158574172
