target,prior_type,lifting,seed,fold,fraction,k,observed_mean,null_mean,null_std,enrichment_ratio,z_score,p_value
fluid_intelligence,matched,prod,0,0,0.05,667,0.069092718535592,0.06263398744004023,0.0017983685013226863,1.1031186319046786,3.591439179901907,0.0
fluid_intelligence,matched,prod,0,0,0.1,1334,0.06550701918312761,0.06271758913859213,0.0012659253728463744,1.0444760406585696,2.2034711558577724,0.019
fluid_intelligence,matched,prod,0,0,0.2,2668,0.06528984716298661,0.06263481856987471,0.0008655769386153067,1.0423890202563606,3.0673513522197546,0.003
fluid_intelligence,matched,prod,0,0,0.3,4002,0.06480936994521083,0.06270775232196432,0.0007241233469315922,1.033514478599967,2.90229231270049,0.001
fluid_intelligence,unrelated,prod,0,0,0.05,667,0.06965117568839761,0.06263398744004023,0.0017983685013226863,1.1120348318087678,3.9019746193265146,0.0
fluid_intelligence,unrelated,prod,0,0,0.1,1334,0.0674894112994867,0.06271758913859213,0.0012659253728463744,1.0760842727922766,3.76943401502835,0.0
fluid_intelligence,unrelated,prod,0,0,0.2,2668,0.06751187975263133,0.06263481856987471,0.0008655769386153067,1.077865016521375,5.634462940473692,0.0
fluid_intelligence,unrelated,prod,0,0,0.3,4002,0.06790149186954136,0.06270775232196432,0.0007241233469315922,1.0828245209764575,7.172451447098133,0.0
fluid_intelligence,shuffled,prod,0,0,0.05,667,0.05635783702665836,0.06263398744004023,0.0017983685013226863,0.8997964097465445,-3.489913445862631,0.999
fluid_intelligence,shuffled,prod,0,0,0.1,1334,0.0569114035847215,0.06271758913859213,0.0012659253728463744,0.9074233299841894,-4.586514875529898,1.0
fluid_intelligence,shuffled,prod,0,0,0.2,2668,0.05777721404427141,0.06263481856987471,0.0008655769386153067,0.9224456199201054,-5.611984687778508,1.0
fluid_intelligence,shuffled,prod,0,0,0.3,4002,0.0584796916590227,0.06270775232196432,0.0007241233469315922,0.9325751520923087,-5.838868033820001,1.0
fluid_intelligence,random,prod,0,0,0.05,667,0.055216464513936386,0.06263398744004023,0.0017983685013226863,0.8815735157656269,-4.124584544629374,1.0
