target,prior_type,lifting,modality,metric,value,seed,fold
fluid_intelligence,shuffled,prod,FC,marginal_pearson,0.015586937894665535,0,2
fluid_intelligence,shuffled,prod,SC,marginal_pearson,-0.06941598942424729,0,2
fluid_intelligence,random,prod,FC,marginal_pearson,-0.05821876451504503,0,2
fluid_intelligence,random,prod,SC,marginal_pearson,0.014667230391724101,0,2
fluid_intelligence,matched,mean,FC,marginal_pearson,0.11461400646783859,0,2
fluid_intelligence,matched,mean,SC,marginal_pearson,0.029079348881058842,0,2
fluid_intelligence,unrelated,mean,FC,marginal_pearson,0.2178293375474571,0,2
fluid_intelligence,unrelated,mean,SC,marginal_pearson,0.012378457982497277,0,2
fluid_intelligence,shuffled,mean,FC,marginal_pearson,0.01621614572694396,0,2
fluid_intelligence,shuffled,mean,SC,marginal_pearson,-0.08526029142497332,0,2
fluid_intelligence,random,mean,FC,marginal_pearson,-0.061496689306070496,0,2
fluid_intelligence,random,mean,SC,marginal_pearson,0.015543485598899582,0,2
fluid_intelligence,matched,max,FC,marginal_pearson,0.10920476718323968,0,2
fluid_intelligence,matched,max,SC,marginal_pearson,0.027282072987536706,0,2
fluid_intelligence,unrelated,max,FC,marginal_pearson,0.1877174393535585,0,2
fluid_intelligence,unrelated,max,SC,marginal_pearson,0.027376368784886362,0,2
fluid_intelligence,shuffled,max,FC,marginal_pearson,0.03719119732978097,0,2
fluid_intelligence,shuffled,max,SC,marginal_pearson,-0.07647306697735426,0,2
fluid_intelligence,random,max,FC,marginal_pearson,-0.07831449501132005,0,2
fluid_intelligence,random,max,SC,marginal_pearson,0.00964597730534798,0,2
fluid_intelligence,matched,bridge,FC,marginal_pearson,0.09449217559664033,0,2
fluid_intelligence,matched,bridge,SC,marginal_pearson,0.015727389315532032,0,2
fluid_intelligence,unrelated,bridge,FC,marginal_pearson,0.17027463232427864,0,2
fluid_intelligence,unrelated,bridge,SC,marginal_pearson,0.027596096688910388,0,2
fluid_intelligence,shuffled,bridge,FC,marginal_pearson,0.008142532656479564,0,2
fluid_intelligence,shuffled,bridge,SC,marginal_pearson,-0.06108165930231897,0,2
fluid_intelligence,random,bridge,FC,marginal_pearson,-8.086759701762293e-05,0,2
fluid_intelligence,random,bridge,SC,marginal_pearson,0.00014081678542236277,0,2
fluid_intelligence,matched,prod,FC,marginal_pearson,0.08431930843669082,0,3
fluid_intelligence,matched,prod,SC,marginal_pearson,0.05495346732478805,0,3
fluid_intelligence,unrelated,prod,FC,marginal_pearson,0.16400486166503453,0,3
fluid_intelligence,unrelated,prod,SC,marginal_pearson,0.01920671643379021,0,3
fluid_intelligence,shuffled,prod,FC,marginal_pearson,-0.06679461794892733,0,3
fluid_intelligence,shuffled,prod,SC,marginal_pearson,-0.02858268448996245,0,3
fluid_intelligence,random,prod,FC,marginal_pearson,-0.07808959782181805,0,3
fluid_intelligence,random,prod,SC,marginal_pearson,0.01133105939764654,0,3
fluid_intelligence,matched,mean,FC,marginal_pearson,0.09883795730915232,0,3
fluid_intelligence,matched,mean,SC,marginal_pearson,0.05117714074845553,0,3
fluid_intelligence,unrelated,mean,FC,marginal_pearson,0.17652269468751675,0,3
fluid_intelligence,unrelated,mean,SC,marginal_pearson,0.028639388622292147,0,3
fluid_intelligence,shuffled,mean,FC,marginal_pearson,-0.07796817163926573,0,3
fluid_intelligence,shuffled,mean,SC,marginal_pearson,-0.04277696575217677,0,3
fluid_intelligence,random,mean,FC,marginal_pearson,-0.087635774372191,0,3
fluid_intelligence,random,mean,SC,marginal_pearson,0.01959985349644163,0,3
fluid_intelligence,matched,max,FC,marginal_pearson,0.07695966200588032,0,3
fluid_intelligence,matched,max,SC,marginal_pearson,0.03554856673664566,0,3
fluid_intelligence,unrelated,max,FC,marginal_pearson,0.13627970903532513,0,3
fluid_intelligence,unrelated,max,SC,marginal_pearson,0.03223370579907795,0,3
fluid_intelligence,shuffled,max,FC,marginal_pearson,-0.05937872791762489,0,3
fluid_intelligence,shuffled,max,SC,marginal_pearson,-0.0415697732852606,0,3
fluid_intelligence,random,max,FC,marginal_pearson,-0.07875076625793329,0,3
fluid_intelligence,random,max,SC,marginal_pearson,0.024117676599429337,0,3
fluid_intelligence,matched,bridge,FC,marginal_pearson,0.06519949961385055,0,3
fluid_intelligence,matched,bridge,SC,marginal_pearson,0.017299578738877698,0,3
fluid_intelligence,unrelated,bridge,FC,marginal_pearson,0.11228565491884882,0,3
fluid_intelligence,unrelated,bridge,SC,marginal_pearson,0.027606834581328874,0,3
fluid_intelligence,shuffled,bridge,FC,marginal_pearson,-0.05102523500218619,0,3
fluid_intelligence,shuffled,bridge,SC,marginal_pearson,-0.039747369216975956,0,3
fluid_intelligence,random,bridge,FC,marginal_pearson,-0.012405205360483059,0,3
fluid_intelligence,random,bridge,SC,marginal_pearson,0.018237893198525916,0,3
fluid_intelligence,matched,prod,FC,marginal_pearson,0.11210979295639051,0,4
fluid_intelligence,matched,prod,SC,marginal_pearson,0.04455412053310677,0,4
fluid_intelligence,unrelated,prod,FC,marginal_pearson,0.14569960707375176,0,4
fluid_intelligence,unrelated,prod,SC,marginal_pearson,0.024614514468239063,0,4
fluid_intelligence,shuffled,prod,FC,marginal_pearson,0.002699430091233446,0,4
fluid_intelligence,shuffled,prod,SC,marginal_pearson,-0.01661392884186988,0,4
fluid_intelligence,random,prod,FC,marginal_pearson,-0.011961474992324474,0,4
fluid_intelligence,random,prod,SC,marginal_pearson,0.007187774148176632,0,4
fluid_intelligence,matched,mean,FC,marginal_pearson,0.13960871467949654,0,4
fluid_intelligence,matched,mean,SC,marginal_pearson,0.03847683561229756,0,4
fluid_intelligence,unrelated,mean,FC,marginal_pearson,0.14733072277708303,0,4
fluid_intelligence,unrelated,mean,SC,marginal_pearson,0.029870100146741723,0,4
fluid_intelligence,shuffled,mean,FC,marginal_pearson,0.0020255916376201444,0,4
fluid_intelligence,shuffled,mean,SC,marginal_pearson,-0.0253423456810151,0,4
fluid_intelligence,random,mean,FC,marginal_pearson,-0.013379631318021175,0,4
fluid_intelligence,random,mean,SC,marginal_pearson,0.004559209742761182,0,4
fluid_intelligence,matched,max,FC,marginal_pearson,0.12650264514216258,0,4
fluid_intelligence,matched,max,SC,marginal_pearson,0.02904750677529656,0,4
fluid_intelligence,unrelated,max,FC,marginal_pearson,0.11623131203307602,0,4
fluid_intelligence,unrelated,max,SC,marginal_pearson,0.035382031624405993,0,4
fluid_intelligence,shuffled,max,FC,marginal_pearson,0.010736403656157405,0,4
fluid_intelligence,shuffled,max,SC,marginal_pearson,-0.023588926446126333,0,4
fluid_intelligence,random,max,FC,marginal_pearson,-0.008489094410889873,0,4
fluid_intelligence,random,max,SC,marginal_pearson,-0.0014119038785109419,0,4
fluid_intelligence,matched,bridge,FC,marginal_pearson,0.10228363339633918,0,4
fluid_intelligence,matched,bridge,SC,marginal_pearson,0.008287177145998918,0,4
fluid_intelligence,unrelated,bridge,FC,marginal_pearson,0.08253252366098748,0,4
fluid_intelligence,unrelated,bridge,SC,marginal_pearson,0.022980193770522288,0,4
fluid_intelligence,shuffled,bridge,FC,marginal_pearson,-7.951126729946034e-05,0,4
fluid_intelligence,shuffled,bridge,SC,marginal_pearson,-0.024012880578003097,0,4
