target,prior_type,lifting,seed,fold,marginal_pearson,marginal_spearman,ridge_pearson,ridge_spearman,ridge_alpha,n_train,n_val,n_test
fluid_intelligence,matched,prod,0,0,0.04294380146648157,0.035515562755979994,-0.02795410467022367,-0.030601090254129052,1000.0,279,50,83
fluid_intelligence,unrelated,prod,0,0,0.07702044591015787,0.0843730496280082,-0.03180233040405845,-0.08833391337562002,1000.0,279,50,83
fluid_intelligence,shuffled,prod,0,0,-0.06329596597337912,-0.08566506248464502,0.03288815631851827,0.0017534601669309414,1000.0,279,50,83
fluid_intelligence,random,prod,0,0,-0.034359208721027566,-0.022906727777700947,0.004632676151307377,-0.026388464475912653,1000.0,279,50,83
fluid_intelligence,matched,mean,0,0,0.05420724716390056,0.04516295955638654,-0.03673040769109185,-0.04403102073273014,1000.0,279,50,83
fluid_intelligence,unrelated,mean,0,0,0.09917876556125742,0.08782769227252142,-0.03364280312151011,-0.0770633763768375,1000.0,279,50,83
fluid_intelligence,shuffled,mean,0,0,-0.07948698607741703,-0.07485864152119966,0.02964252008298423,0.0005270773148135573,1000.0,279,50,83
fluid_intelligence,random,mean,0,0,-0.037256419883643394,-0.03201031189598369,0.006166200623105752,-0.019114807418079343,1000.0,279,50,83
fluid_intelligence,matched,max,0,0,0.0514256946075876,0.04154471717081002,-0.03171545868070484,-0.05258445366564688,1000.0,279,50,83
fluid_intelligence,unrelated,max,0,0,0.09347894211693059,0.08592375219699144,-0.02231417505777128,-0.07023205725083925,1000.0,279,50,83
fluid_intelligence,shuffled,max,0,0,-0.0671598197721079,-0.06458089475900554,0.02273562486057472,-0.0008072589533739719,1000.0,279,50,83
fluid_intelligence,random,max,0,0,-0.04467004711175619,-0.05159092869161955,0.012320931955958854,0.0008356388070162594,1000.0,279,50,83
fluid_intelligence,matched,bridge,0,0,0.04056896516566257,0.02929839834449524,-0.02915690950272671,-0.04122661826785645,1000.0,279,50,83
fluid_intelligence,unrelated,bridge,0,0,0.08227424062125442,0.07575385185085967,-0.02070843014715068,-0.06127272849629961,1000.0,279,50,83
fluid_intelligence,shuffled,bridge,0,0,-0.05901453072494378,-0.0545827212280731,0.00847772255668964,-0.006007616147080856,1000.0,279,50,83
fluid_intelligence,random,bridge,0,0,-0.0023465401213524804,-0.0005161559937902333,0.00304557571861505,0.009435286530573048,1000.0,279,50,83
fluid_intelligence,matched,prod,0,1,0.04655481339701182,0.0546916776852218,-0.034392546376376724,-0.02945937537892126,1000.0,279,50,83
fluid_intelligence,unrelated,prod,0,1,0.06724471798298816,0.06788731619402974,-0.036175328589176874,-0.08832529954945295,1000.0,279,50,83
fluid_intelligence,shuffled,prod,0,1,-0.06187838557941697,-0.08504949395539003,0.029360367154197077,0.0004256689847426004,1000.0,279,50,83
fluid_intelligence,random,prod,0,1,-0.014243168009908765,-0.011052135247406617,-0.0024255410754057414,-0.026011517833266516,1000.0,279,50,83
fluid_intelligence,matched,mean,0,1,0.048313123428580046,0.050525283437641344,-0.043391920275240387,-0.04025803919801818,1000.0,279,50,83
fluid_intelligence,unrelated,mean,0,1,0.06820177193460741,0.06383664598157009,-0.0402207588419723,-0.07200697816167635,1000.0,279,50,83
fluid_intelligence,shuffled,mean,0,1,-0.07899383787218561,-0.08172666787652041,0.0257389643981104,-0.00186755608564169,1000.0,279,50,83
fluid_intelligence,random,mean,0,1,-0.016632671201497237,-0.012751895778029017,0.0005966379339724954,-0.02309093084373492,1000.0,279,50,83
fluid_intelligence,matched,max,0,1,0.0369982449302255,0.037455178966938577,-0.03804741297799555,-0.04755175821787729,1000.0,279,50,83
fluid_intelligence,unrelated,max,0,1,0.05546434490359407,0.05394903757315955,-0.02845714149714114,-0.06098536763195467,1000.0,279,50,83
fluid_intelligence,shuffled,max,0,1,-0.07025973762930343,-0.07195731095750911,0.019029132455650057,-9.155227643057653e-05,1000.0,279,50,83
fluid_intelligence,random,max,0,1,-0.019720875647990747,-0.01878665957007653,0.006933515150070374,-0.008347250479066043,1000.0,279,50,83
fluid_intelligence,matched,bridge,0,1,0.02408972658893954,0.025049744226898867,-0.032450222391301825,-0.04215990400851629,1000.0,279,50,83
fluid_intelligence,unrelated,bridge,0,1,0.03846186273129442,0.04119477401709221,-0.02709799083792443,-0.061103302512381295,1000.0,279,50,83
fluid_intelligence,shuffled,bridge,0,1,-0.06014208088096956,-0.0637234738673415,0.00619074554311623,-0.0073485954537026105,1000.0,279,50,83
fluid_intelligence,random,bridge,0,1,-0.003810833646032525,-0.0020865690828704383,0.0075396194453639254,0.00522715521560224,1000.0,279,50,83
fluid_intelligence,matched,prod,0,2,0.05140840519410423,0.05078063424811489,-0.021745645025884046,-0.030966129361996154,1000.0,280,50,82
fluid_intelligence,unrelated,prod,0,2,0.08233628656197339,0.10196196744716964,-0.030332893500758414,-0.09415441299315487,1000.0,280,50,82
fluid_intelligence,shuffled,prod,0,2,-0.02131870662155477,-0.05282507499975589,0.018039018398325484,-0.007515139185921712,1000.0,280,50,82
fluid_intelligence,random,prod,0,2,-0.02150851224640308,-0.009656446146691759,0.008983863674979534,-0.015679909333218875,1000.0,280,50,82
fluid_intelligence,matched,mean,0,2,0.06630521568733333,0.060413227542894944,-0.034214785264008715,-0.042549356066288596,1000.0,280,50,82
fluid_intelligence,unrelated,mean,0,2,0.10828359616124074,0.0922251735670824,-0.03430922200138388,-0.08015101527169226,1000.0,280,50,82
fluid_intelligence,shuffled,mean,0,2,-0.02757170813591736,-0.028409992475616947,0.02327069318646715,-0.011776050616144614,1000.0,280,50,82
fluid_intelligence,random,mean,0,2,-0.022698664465449124,-0.017699289934673283,0.011480051230396932,-0.010843470503295075,1000.0,280,50,82
fluid_intelligence,matched,max,0,2,0.06300025661980435,0.05666099162636247,-0.03156914639895595,-0.04865907427713234,1000.0,280,50,82
fluid_intelligence,unrelated,max,0,2,0.10022342744864925,0.0851029903242994,-0.023465607771610778,-0.07135964922591592,1000.0,280,50,82
fluid_intelligence,shuffled,max,0,2,-0.01400459477282509,-0.018147946163681455,0.023049593624668893,-0.011131989538205314,1000.0,280,50,82
fluid_intelligence,random,max,0,2,-0.03310209079605877,-0.04060075082672288,0.016306552293747723,0.002070111569834752,1000.0,280,50,82
fluid_intelligence,matched,bridge,0,2,0.05125485459743992,0.04302029296722591,-0.03341802054949607,-0.03708876798565044,1000.0,280,50,82
fluid_intelligence,unrelated,bridge,0,2,0.09205323370545301,0.07738499238525348,-0.02378179827530767,-0.06608143186825276,1000.0,280,50,82
fluid_intelligence,shuffled,bridge,0,2,-0.021398512650857016,-0.020997789634364356,0.017993586079560548,-0.01338006374162395,1000.0,280,50,82
fluid_intelligence,random,bridge,0,2,1.992273857772493e-05,0.0035357123187193754,0.004765407293385566,0.003514435689102141,1000.0,280,50,82
fluid_intelligence,matched,prod,0,3,0.06855414627155958,0.07386283260711579,-0.02930656436030441,-0.016761069847262326,0.01,280,50,82
fluid_intelligence,unrelated,prod,0,3,0.08731831563173165,0.09101587887102028,-0.037157676170852284,-0.09102222578092775,0.01,280,50,82
fluid_intelligence,shuffled,prod,0,3,-0.04645923139318785,-0.06222291709456665,0.03080051933289801,0.0012137611727076041,0.01,280,50,82
fluid_intelligence,random,prod,0,3,-0.030828146923348617,-0.028893142372851302,0.019130191175715003,-0.016478606567319178,0.01,280,50,82
