edge_idx,roi_i,roi_j,fip3_score
0,0,1,0.33289596092298107
1,0,2,0.0
2,0,3,0.77054877527655
3,0,4,0.0
4,0,5,0.0
5,0,6,0.0
6,0,7,0.7553539507177858
7,0,8,0.0
8,0,9,0.0
9,0,10,0.0
10,0,11,0.6945981662418167
11,0,12,0.4907412647372256
12,0,13,0.0
13,0,14,0.6044189363303358
14,0,15,0.0
15,0,16,0.5750769078260795
16,0,17,0.8001439570710537
17,0,18,0.0
18,0,19,0.4223062107971616
19,0,20,0.0
20,0,21,0.542133834509931
21,0,22,0.0
22,0,23,0.0
23,0,24,0.0
24,0,25,0.0
25,0,26,0.46267289247982674
26,0,27,0.3728503603566847
27,0,28,0.6916654337685655
28,0,29,0.0
29,0,30,0.0
30,0,31,0.0
31,0,32,0.4788824951789357
32,0,33,0.0
33,0,34,0.0
34,0,35,0.0
35,0,36,0.6387337874800911
36,0,37,0.0
37,0,38,0.6144981701858869
38,0,39,0.0
39,0,40,0.0
40,0,41,0.0
41,0,42,0.0
42,0,43,0.523612100906601
43,0,44,0.46057408429784225
44,0,45,0.0
45,0,46,0.6094183254914807
46,0,47,0.0
47,0,48,0.0
48,0,49,0.6223432222699975
49,0,50,0.658232737656397
50,0,51,0.0
51,0,52,0.7641323140224113
52,0,53,0.0
53,0,54,0.0
54,0,55,0.0
55,0,56,0.0
56,0,57,0.0
57,0,58,0.0
58,0,59,0.7473804547963125
59,0,60,0.7449818133703178
60,0,61,0.0
61,0,62,0.0
62,0,63,0.0
63,0,64,0.0
64,0,65,0.0
65,0,66,0.0
66,0,67,0.0
67,0,68,0.0
68,0,69,0.0
69,0,70,0.0
70,0,71,0.6873723659945234
71,0,72,0.0
72,0,73,0.0
73,0,74,0.0
74,0,75,0.0
75,0,76,0.0
76,0,77,0.7509887930594357
77,0,78,0.0
78,0,79,0.6369824511626522
79,0,80,0.0
80,0,81,0.5904217760457796
81,0,82,0.0
82,0,83,0.0
83,0,84,0.0
84,0,85,0.0
85,0,86,0.4745821111614136
86,0,87,0.0
87,0,88,0.12407400478963188
88,0,89,0.05260534047585736
89,0,90,0.5895026543545585
90,0,91,0.0
91,0,92,0.0
92,0,93,0.0
93,0,94,0.0
94,0,95,0.4732682490884554
95,0,96,0.5734242115461355
96,0,97,0.5209931184486087
97,0,98,0.0
98,0,99,0.0
99,0,100,0.0
100,0,101,0.0
101,0,102,0.2858052626531524
102,0,103,0.0
103,0,104,0.13299339243175842
104,0,105,0.0
105,0,106,0.05791956279642201
106,0,107,0.3641565837302051
107,0,108,0.29694306870587545
108,0,109,0.449800311588655
109,0,110,0.5934715022061617
110,0,111,0.5689561005889937
111,0,112,0.0
112,0,113,0.37853459389495986
113,0,114,0.0
114,0,115,0.29354437536314704
115,1,2,0.46571542210901223
116,1,3,0.49144712515560446
117,1,4,0.39559715692102926
118,1,5,0.3588188664672445
119,1,6,0.6451159705223675
120,1,7,0.6121843653805887
121,1,8,0.46931256106859265
122,1,9,0.5054025119416358
123,1,10,0.6824901312760315
124,1,11,0.6608571665117681
125,1,12,0.6835073472144371
126,1,13,0.5761168100784864
127,1,14,0.6448527052480554
128,1,15,0.6390023628891395
129,1,16,0.38744441612144903
130,1,17,0.36365636798978634
131,1,18,0.4842371636916628
132,1,19,0.37896821506304046
133,1,20,0.5665455127675293
134,1,21,0.4927277902044658
135,1,22,0.5373886805710224
136,1,23,0.5256991608624133
137,1,24,0.6250139835510565
138,1,25,0.3122299277166084
139,1,26,0.43750327029188407
140,1,27,0.40971882071341886
141,1,28,0.6435329021201801
142,1,29,0.6499444299727918
143,1,30,0.6296043162475682
144,1,31,0.4758936187171109
145,1,32,0.4734560877283188
146,1,33,0.518362875774264
147,1,34,0.5663843873627297
148,1,35,0.4974635940201779
149,1,36,0.6549472601918175
150,1,37,0.5719925376043187
151,1,38,0.6520076678146173
152,1,39,0.6439294511184984
153,1,40,0.6643155633075783
154,1,41,0.6468215354442102
155,1,42,0.5968012279321551
156,1,43,0.5348302258619488
157,1,44,0.5700769979443852
158,1,45,0.4668532236609538
159,1,46,0.6133430413327007
160,1,47,0.5612007617540574
161,1,48,0.5284706449366151
162,1,49,0.6441935276634488
163,1,50,0.6917877284257383
164,1,51,0.5603859935148024
165,1,52,0.6723999647537104
166,1,53,0.6915714986188185
167,1,54,0.6902688246432541
168,1,55,0.663085794654424
169,1,56,0.4436334263634799
170,1,57,0.3658437747145369
171,1,58,0.6496854722337231
172,1,59,0.6562156308340992
173,1,60,0.6376571892141022
174,1,61,0.6200784487556524
175,1,62,0.5945338029456145
176,1,63,0.652777514565026
177,1,64,0.5986063782070116
178,1,65,0.6254338264238123
179,1,66,0.6259928280737366
180,1,67,0.5708760609685944
181,1,68,0.49782651659559185
182,1,69,0.4461112937418473
183,1,70,0.6727556050569078
184,1,71,0.6940428767881817
185,1,72,0.669174646744639
186,1,73,0.6606083496892711
