edge_idx,roi_i,roi_j,fip1_score
0,0,1,0.3315993387382314
1,0,2,0.0
2,0,3,0.6367916108516811
3,0,4,0.0
4,0,5,0.0
5,0,6,0.0
6,0,7,0.7450026937681992
7,0,8,0.0
8,0,9,0.0
9,0,10,0.0
10,0,11,0.47952003724073494
11,0,12,0.931091890319959
12,0,13,0.0
13,0,14,0.38334790084111764
14,0,15,0.0
15,0,16,0.5728369963697879
16,0,17,0.7970274145847609
17,0,18,0.0
18,0,19,0.42066133772583025
19,0,20,0.0
20,0,21,0.32982899319260633
21,0,22,0.0
22,0,23,0.0
23,0,24,0.0
24,0,25,0.0
25,0,26,0.2696372446413545
26,0,27,0.20876459395716992
27,0,28,0.8261154994484964
28,0,29,0.0
29,0,30,0.0
30,0,31,0.0
31,0,32,0.2813487613277971
32,0,33,0.0
33,0,34,0.0
34,0,35,0.0
35,0,36,0.41643974450164745
36,0,37,0.0
37,0,38,0.39274435027558907
38,0,39,0.0
39,0,40,0.0
40,0,41,0.0
41,0,42,0.0
42,0,43,0.31512150712125975
43,0,44,0.26813925994890253
44,0,45,0.0
45,0,46,0.38797803534506003
46,0,47,0.0
47,0,48,0.0
48,0,49,0.40023427373784887
49,0,50,0.43686680848962883
50,0,51,0.0
51,0,52,0.7226411624057385
52,0,53,0.0
53,0,54,0.0
54,0,55,0.0
55,0,56,0.0
56,0,57,0.0
57,0,58,0.0
58,0,59,0.5632471273254436
59,0,60,0.5582632492432763
60,0,61,0.0
61,0,62,0.0
62,0,63,0.0
63,0,64,0.0
64,0,65,0.0
65,0,66,0.0
66,0,67,0.0
67,0,68,0.0
68,0,69,0.0
69,0,70,0.0
70,0,71,0.47045047508522125
71,0,72,0.0
72,0,73,0.0
73,0,74,0.0
74,0,75,0.0
75,0,76,0.0
76,0,77,0.5711724483667301
77,0,78,0.0
78,0,79,0.4146693989560224
79,0,80,0.0
80,0,81,0.37068312116856916
81,0,82,0.0
82,0,83,0.0
83,0,84,0.0
84,0,85,0.0
85,0,86,0.27821661151630667
86,0,87,0.0
87,0,88,0.06386862006908851
88,0,89,0.02655518318437582
89,0,90,0.3698660386090499
90,0,91,0.0
91,0,92,0.0
92,0,93,0.0
93,0,94,0.0
94,0,95,0.27726334853020085
95,0,96,0.35583945467063594
96,0,97,0.3130788007224616
97,0,98,0.0
98,0,99,0.0
99,0,100,0.0
100,0,101,0.0
101,0,102,0.154837145028899
102,0,103,0.0
103,0,104,0.0686349349996175
104,0,105,0.0
105,0,106,0.029278791716106672
106,0,107,0.20318119646712168
107,0,108,0.1615099859316396
108,0,109,0.26051315606005615
109,0,110,0.3734067297003
110,0,111,0.3520264027262128
111,0,112,0.0
112,0,113,0.21244146547500656
113,0,114,0.0
114,0,115,0.15946727953284145
115,1,2,0.27181613146673916
116,1,3,0.29060903033568203
117,1,4,0.22360826045510304
118,1,5,0.1997766858024581
119,1,6,0.42297640497780153
120,1,7,0.3905654634502044
121,1,8,0.27440355957188345
122,1,9,0.3010949231828458
123,1,10,0.46451143508669707
124,1,11,0.4397265974479463
125,1,12,0.4657370589259759
126,1,13,0.3581545219226072
127,1,14,0.4227040441246285
128,1,15,0.41671210535482056
129,1,16,0.3859353289462619
130,1,17,0.3622399347202035
131,1,18,0.4823510709695341
132,1,19,0.37749214249789625
133,1,20,0.34998369632741466
134,1,21,0.29156229332178785
135,1,22,0.3260159412481831
136,1,23,0.31675567224029827
137,1,24,0.4028217018429932
138,1,25,0.17077025493952452
139,1,26,0.25193378918510395
140,1,27,0.2330047098895745
141,1,28,0.421342239858763
142,1,29,0.42801508076150363
143,1,30,0.40731565592034913
144,1,31,0.2791698745024125
145,1,32,0.27739952895678743
146,1,33,0.31103609432366347
147,1,34,0.3498475159008281
148,1,35,0.29510298441303795
149,1,36,0.43332611739837873
150,1,37,0.3546138308313571
151,1,38,0.43019396758688827
152,1,39,0.42175078113852266
153,1,40,0.44353964939236945
154,1,41,0.4247467505234266
155,1,42,0.3764026990852039
156,1,43,0.323973234849385
157,1,44,0.3529796657123186
158,1,45,0.2726332140262584
159,1,46,0.39165490686289667
160,1,47,0.34548974225005874
161,1,48,0.3189345590656829
162,1,49,0.4220231419916957
163,1,50,0.4759505909199666
164,1,51,0.344808840117126
165,1,52,0.4526637379736678
166,1,53,0.47567823006679355
167,1,54,0.47404406494775503
168,1,55,0.442177845126504
169,1,56,0.44190548427333093
170,1,57,0.36441882154558813
171,1,58,0.4277427199083305
172,1,59,0.4346879216642442
173,1,60,0.41535030108895515
174,1,61,0.3980553869124642
175,1,62,0.3743599926864058
176,1,63,0.4310110501464075
177,1,64,0.37803686420424243
178,1,65,0.40323024312275285
179,1,66,0.40377496482909897
180,1,67,0.3536605678452513
181,1,68,0.29537534526621106
182,1,69,0.2579257279549118
183,1,70,0.4530722792534274
184,1,71,0.478810379878284
185,1,72,0.44898686645583114
186,1,73,0.4394542365947732
187,1,74,0.40881364061280107
188,1,75,0.3917910872894832
189,1,76,0.4860279424873708
190,1,77,0.4395904170213597
191,1,78,0.42665327649563817
192,1,79,0.45511498565222563
193,1,80,0.46287726996765854
194,1,81,0.4685968478842933
195,1,82,0.3636017389860689
196,1,83,0.32696920423428893
197,1,84,0.45988130058275456
198,1,85,0.40513676909496443
199,1,86,0.28911104564323004
200,1,87,0.29374118014717254
201,1,88,0.008034645168606018
202,1,89,0.0957348398903395
203,1,90,0.38239463785501177
204,1,91,0.40077899544419504
205,1,92,0.18942697338188083
206,1,93,0.18111996736010175
207,1,94,0.35270730485914553
208,1,95,0.26623273397669095
209,1,96,0.3294204519128467
210,1,97,0.3194792807720291
211,1,98,0.43169195227934026
212,1,99,0.45361700095977364
213,1,100,0.2372263031137573
214,1,101,0.12365182734058074
215,1,102,0.18588628229063073
216,1,103,0.30749540323241337
217,1,104,0.11371065619976312
218,1,105,0.12719251843183085
219,1,106,0.1907887776477463
220,1,107,0.1719958787788034
221,1,108,0.11398301705293622
222,1,109,0.17063407451293794
223,1,110,0.4029578822695798
224,1,111,0.322475250156933
225,1,112,0.3377274579346258
226,1,113,0.14734722156663918
227,1,114,0.37681124036496355
228,1,115,0.13304827677505218
229,2,3,0.0
230,2,4,0.0
231,2,5,0.0
232,2,6,0.0
233,2,7,0.0
234,2,8,0.0
235,2,9,0.0
236,2,10,0.0
237,2,11,0.0
