experiment_id,seed,fold,condition,repeat,pearson,rmse,mae
NCR_RANDOM,0,0,random,0,0.3847886667282019,6.540219297807407,5.14406685914342
NCR_RANDOM,0,0,random,1,0.3705658221636282,4.772860003646179,3.9924486082133193
NCR_RANDOM,0,0,random,2,0.4363141419895441,5.087586212527861,4.329345575750446
NCR_RANDOM,0,0,random,3,0.35492367442941297,8.366660354878999,7.3111741578743725
NCR_RANDOM,0,0,random,4,0.3339455001772797,5.405157420347123,4.214071758372503
NCR_RANDOM,0,0,random,5,0.34641996597200564,4.846611424479239,4.1576273530264976
NCR_RANDOM,0,0,random,6,0.40077635402048595,4.746377899651237,4.015472365530012
NCR_RANDOM,0,0,random,7,0.36519503942119413,9.771391649674374,8.729969440764588
NCR_RANDOM,0,0,random,8,0.40226619723679613,6.71711237585598,5.779855200410404
NCR_RANDOM,0,0,random,9,0.4129654901033828,4.759510155355202,4.015379570055843
NCR_RANDOM,0,0,random,10,0.34583927885233323,6.207526625319493,5.23332852887662
NCR_RANDOM,0,0,random,11,0.3280329425131505,4.86062895147627,4.191048242048341
NCR_RANDOM,0,0,random,12,0.3489180114228637,4.801986969115838,4.0688287333406095
NCR_RANDOM,0,0,random,13,0.3410026375681612,7.590361564137518,6.500199730843582
NCR_RANDOM,0,0,random,14,0.36955166374420845,5.526903291496414,4.8003022942742515
NCR_RANDOM,0,0,random,15,0.42521444683658116,6.496087854476795,5.549374750520505
NCR_RANDOM,0,0,random,16,0.3740522912822387,5.196440539160902,4.458975135628415
NCR_RANDOM,0,0,random,17,0.4079378010996164,5.1358141131181405,4.039043853051029
NCR_RANDOM,0,0,random,18,0.44122335571346194,4.786717944607759,3.7841144282295494
NCR_RANDOM,0,0,random,19,0.38396062434231826,4.851687432318194,4.155398989838852
NCR_RANDOM,0,0,original,-1,0.3958834488136517,4.726272613859378,3.9974965399348736
NCR_RANDOM,0,0,top,-1,0.3151437465765889,4.932383414745252,4.122176928858683
NCR_RANDOM,0,0,bottom,-1,0.38933319493183066,7.283121921624438,6.265321390407225
NCR_RANDOM,0,0,reference_prior_top,-1,0.34098666136546707,4.822212117328025,4.083392698956016
NCR_RANDOM,0,1,random,0,0.45224688635909127,5.382146675841465,4.112090595759511
NCR_RANDOM,0,1,random,1,0.4533140734230216,4.693953407421432,3.799866039185661
NCR_RANDOM,0,1,random,2,0.376932056384584,5.114706222885286,4.4632407962134195
NCR_RANDOM,0,1,random,3,0.41763258843698997,4.7710469612639645,4.115008996884061
NCR_RANDOM,0,1,random,4,0.39221872949173303,5.180279752767718,4.539844013095721
NCR_RANDOM,0,1,random,5,0.38502310622706964,5.163292629722049,4.0087303709874975
NCR_RANDOM,0,1,random,6,0.4353401007901544,4.904919924893766,3.854345442087596
NCR_RANDOM,0,1,random,7,0.42379001398906346,4.695464160961446,3.83049729161922
NCR_RANDOM,0,1,random,8,0.4359836662325357,4.679041764478079,3.9961187827544333
NCR_RANDOM,0,1,random,9,0.39179189670367254,4.716121676879396,3.88288469998541
NCR_RANDOM,0,1,random,10,0.34481189911907084,4.792315895029432,4.06008739708862
