target,model_id,prior_type,n_seeds,pearson_mean,pearson_std,rmse_mean,rmse_std,mae_mean,mae_std
fluid_intelligence,A0_ridge,matched,3,0.3275208816205954,0.03130854683054689,4.749600946315701,0.0844884275122875,3.920899972370478,0.06875743995634911
fluid_intelligence,A0_ridge,random,3,0.3275208816205954,0.03130854683054689,4.749600946315701,0.0844884275122875,3.920899972370478,0.06875743995634911
fluid_intelligence,A1_aniso_ridge,matched,3,0.33912723296075004,0.01998072422579034,4.727105303535727,0.10871442977150653,3.9027998768175483,0.06982756934599803
fluid_intelligence,A1_aniso_ridge,random,3,0.34834629314175686,0.03263798326629121,4.654535577391263,0.11972192928658783,3.8596279450792905,0.09253622415173215
fluid_intelligence,A2_fc_laplacian,matched,3,0.35800770214824795,0.01567304766739921,4.629889118032342,0.052501790056169166,3.860834178210626,0.048845246296857985
fluid_intelligence,A2_fc_laplacian,random,3,0.3568979826469127,0.01610237210199315,4.634917476452777,0.05441242683378416,3.8669636304276698,0.05896099142358172
fluid_intelligence,A3_msancr,matched,3,0.3582239275972133,0.016125373600844567,4.622446147432069,0.05744451292475817,3.863662037221445,0.047802042771102254
fluid_intelligence,A3_msancr,random,3,0.35382893304298274,0.014149036055889222,4.631873561497074,0.05860321086258038,3.876139002779471,0.05710192701976292
fluid_intelligence,A4_modality_ridge,matched,3,0.35734896346790995,0.015220942194186675,4.634722509268799,0.05137883403841014,3.8658997969241926,0.054946171235174965
fluid_intelligence,A4_modality_ridge,random,3,0.35734896346790995,0.015220942194186675,4.634722509268799,0.05137883403841014,3.8658997969241926,0.054946171235174965
working_memory,A0_ridge,matched,3,0.2239135517390292,0.03867680643670157,11.775606137600604,0.169002658153602,9.575325405883971,0.18959813456573
working_memory,A0_ridge,random,3,0.2239135517390292,0.03867680643670157,11.775606137600604,0.169002658153602,9.575325405883971,0.18959813456573
working_memory,A1_aniso_ridge,matched,3,0.23548142956280838,0.05726377633259406,11.646162814993177,0.6049280841530843,9.438579551601078,0.4027304004480534
working_memory,A1_aniso_ridge,random,3,0.26255255281986667,0.036883709414267954,11.46119891531602,0.38383453630491293,9.26420255499605,0.24437028872942862
working_memory,A2_fc_laplacian,matched,3,0.25801403107249604,0.025313120713827224,11.222780304788733,0.19641348263835423,9.20913916621821,0.18220654470466827
working_memory,A2_fc_laplacian,random,3,0.25435426784731163,0.03071070289741934,11.246598696068203,0.24525633880003697,9.235789941433392,0.23843757593153253
working_memory,A3_msancr,matched,3,0.27201774398434164,0.039860355884941974,11.183458878435177,0.24427621889054943,9.162998382360337,0.21437181087987925
working_memory,A3_msancr,random,3,0.2685091234976167,0.029288752162194804,11.215085388645955,0.27361687094574694,9.198979974024825,0.23094436294888082
working_memory,A4_modality_ridge,matched,3,0.25495310761024675,0.034774635022727776,11.268001443455276,0.2648058198666726,9.244711253069177,0.24373109874794374
working_memory,A4_modality_ridge,random,3,0.25495310761024675,0.034774635022727776,11.268001443455276,0.2648058198666726,9.244711253069177,0.24373109874794374
