target,seed,fold,model_id,prior_type,pearson,rmse,mae,n_train,n_val,n_test,selected_lambda_fc,selected_lambda_sc,selected_lambda_l,selected_gamma,selected_lifting
fluid_intelligence,0,4,A0_ridge,random,0.36717327943677164,4.826697972725222,3.881992094164601,280,50,82,10.0,10.0,0.0,0.0,none
fluid_intelligence,0,4,A1_aniso_ridge,matched,0.41573719806952103,4.687754953589181,3.772921735447847,280,50,82,1.0,0.1,0.0,1.0,prod
fluid_intelligence,0,4,A1_aniso_ridge,random,0.4113142765183277,4.688515642154337,3.701374981434006,280,50,82,1.0,0.1,0.0,1.0,prod
fluid_intelligence,0,4,A2_fc_laplacian,matched,0.41985745304371747,4.708409919920033,3.860098707347525,280,50,82,1.0,1.0,1.0,0.0,prod
fluid_intelligence,0,4,A2_fc_laplacian,random,0.42272603030217315,4.70254230934743,3.8541596930394215,280,50,82,1.0,1.0,1.0,0.0,prod
fluid_intelligence,0,4,A3_msancr,matched,0.41774344592931567,4.712616555536207,3.873095482991666,280,50,82,10.0,1.0,1.0,1.0,prod
fluid_intelligence,0,4,A3_msancr,random,0.4351860450723668,4.677836522358364,3.820095756512826,280,50,82,1.0,1.0,1.0,1.0,prod
fluid_intelligence,0,4,A4_modality_ridge,matched,0.42268950650516246,4.700730352080461,3.8518203991855375,280,50,82,1.0,1.0,0.0,0.0,none
fluid_intelligence,0,4,A4_modality_ridge,random,0.42268950650516246,4.700730352080461,3.8518203991855375,280,50,82,1.0,1.0,0.0,0.0,none
fluid_intelligence,1,0,A0_ridge,matched,0.2527832538641549,4.557899586860011,3.6055055370338893,279,50,83,0.1,0.1,0.0,0.0,none
fluid_intelligence,1,0,A0_ridge,random,0.2527832538641549,4.557899586860011,3.6055055370338893,279,50,83,0.1,0.1,0.0,0.0,none
fluid_intelligence,1,0,A1_aniso_ridge,matched,0.26315590739108363,4.531842580497741,3.6374543050881876,279,50,83,1.0,0.1,0.0,1.0,prod
fluid_intelligence,1,0,A1_aniso_ridge,random,0.23386850198761383,4.5861150849437315,3.701323938945388,279,50,83,1.0,0.1,0.0,1.0,prod
fluid_intelligence,1,0,A2_fc_laplacian,matched,0.22855113806756766,4.602479977328376,3.648672514147217,279,50,83,0.1,0.1,1.0,0.0,prod
fluid_intelligence,1,0,A2_fc_laplacian,random,0.20870321211129,4.644014334903407,3.731983791958164,279,50,83,10.0,0.1,1.0,0.0,prod
fluid_intelligence,1,0,A3_msancr,matched,0.2253092015838164,4.610702912144947,3.6583610593781284,279,50,83,0.1,0.1,1.0,1.0,prod
fluid_intelligence,1,0,A3_msancr,random,0.23200707016086675,4.589711579381517,3.6987794009239163,279,50,83,1.0,0.1,1.0,1.0,prod
fluid_intelligence,1,0,A4_modality_ridge,matched,0.22521152559804147,4.599411219652593,3.692833548280469,279,50,83,1.0,0.1,0.0,0.0,none
fluid_intelligence,1,0,A4_modality_ridge,random,0.22521152559804147,4.599411219652593,3.692833548280469,279,50,83,1.0,0.1,0.0,0.0,none
fluid_intelligence,1,1,A0_ridge,matched,0.32149395743893716,4.54805437451319,3.716419190050117,279,50,83,10.0,10.0,0.0,0.0,none
fluid_intelligence,1,1,A0_ridge,random,0.32149395743893716,4.54805437451319,3.716419190050117,279,50,83,10.0,10.0,0.0,0.0,none
fluid_intelligence,1,1,A1_aniso_ridge,matched,0.38972245564262364,4.350432570877848,3.5931965943194286,279,50,83,1.0,0.1,0.0,1.0,prod
fluid_intelligence,1,1,A1_aniso_ridge,random,0.35995059334866253,4.380032087573783,3.6081589400354868,279,50,83,10.0,0.1,0.0,1.0,prod
fluid_intelligence,1,1,A2_fc_laplacian,matched,0.36191299191691345,4.368328684588468,3.580266527145732,279,50,83,10.0,0.1,1.0,0.0,prod
fluid_intelligence,1,1,A2_fc_laplacian,random,0.36193195171102965,4.368283963473001,3.5802604866590375,279,50,83,10.0,0.1,1.0,0.0,prod
fluid_intelligence,1,1,A3_msancr,matched,0.3584774819203443,4.379897035040836,3.5930765140452805,279,50,83,10.0,0.1,1.0,1.0,prod
fluid_intelligence,1,1,A3_msancr,random,0.3554333463495829,4.385965656748314,3.606554340748229,279,50,83,10.0,0.1,1.0,1.0,prod
fluid_intelligence,1,1,A4_modality_ridge,matched,0.36198026153259016,4.368174554153296,3.5801626253359715,279,50,83,10.0,0.1,0.0,0.0,none
fluid_intelligence,1,1,A4_modality_ridge,random,0.36198026153259016,4.368174554153296,3.5801626253359715,279,50,83,10.0,0.1,0.0,0.0,none
fluid_intelligence,1,2,A0_ridge,matched,0.3069399643118212,5.211265414380436,4.3441532049260365,280,50,82,10.0,10.0,0.0,0.0,none
fluid_intelligence,1,2,A0_ridge,random,0.3069399643118212,5.211265414380436,4.3441532049260365,280,50,82,10.0,10.0,0.0,0.0,none
fluid_intelligence,1,2,A1_aniso_ridge,matched,0.43277447931222357,4.773467087022938,3.988416581009232,280,50,82,1.0,0.1,0.0,1.0,prod
fluid_intelligence,1,2,A1_aniso_ridge,random,0.4410335127162266,4.754720302066991,3.982008643876716,280,50,82,1.0,0.1,0.0,1.0,prod
fluid_intelligence,1,2,A2_fc_laplacian,matched,0.5269895387237266,4.770804436234374,4.092101982180763,280,50,82,10.0,1.0,1.0,0.0,prod
fluid_intelligence,1,2,A2_fc_laplacian,random,0.5270970337324239,4.770669621460532,4.092054574731694,280,50,82,10.0,1.0,1.0,0.0,prod
fluid_intelligence,1,2,A3_msancr,matched,0.5248184463382615,4.759112622381064,4.082189804847822,280,50,82,10.0,1.0,1.0,1.0,prod
fluid_intelligence,1,2,A3_msancr,random,0.5057397920753481,4.793302534651526,4.122609839854165,280,50,82,10.0,1.0,1.0,1.0,prod
fluid_intelligence,1,2,A4_modality_ridge,matched,0.527052456210126,4.770541838193775,4.091971350553733,280,50,82,10.0,1.0,0.0,0.0,none
fluid_intelligence,1,2,A4_modality_ridge,random,0.527052456210126,4.770541838193775,4.091971350553733,280,50,82,10.0,1.0,0.0,0.0,none
fluid_intelligence,1,3,A0_ridge,matched,0.28126135934609664,5.175841711843917,4.438319254766633,280,50,82,10.0,10.0,0.0,0.0,none
fluid_intelligence,1,3,A0_ridge,random,0.28126135934609664,5.175841711843917,4.438319254766633,280,50,82,10.0,10.0,0.0,0.0,none
fluid_intelligence,1,3,A1_aniso_ridge,matched,0.2608448296689881,5.581808345155406,4.619160858217714,280,50,82,0.1,0.1,0.0,1.0,prod
fluid_intelligence,1,3,A1_aniso_ridge,random,0.19426666856856145,5.598188135308244,4.679693780917419,280,50,82,0.1,0.1,0.0,1.0,prod
fluid_intelligence,1,3,A2_fc_laplacian,matched,0.2953727846255577,5.034114773794305,4.358227194620082,280,50,82,0.1,0.1,1.0,0.0,prod
fluid_intelligence,1,3,A2_fc_laplacian,random,0.30122415824146564,5.032521045820279,4.36601832581852,280,50,82,0.1,0.1,1.0,0.0,prod
fluid_intelligence,1,3,A3_msancr,matched,0.2946318819077871,5.038732775919178,4.357809698282092,280,50,82,0.1,0.1,1.0,1.0,prod
fluid_intelligence,1,3,A3_msancr,random,0.29750868457027296,5.039702400268751,4.369146692464065,280,50,82,0.1,0.1,1.0,1.0,prod
fluid_intelligence,1,3,A4_modality_ridge,matched,0.29473455834203993,5.054659127382845,4.372901757126589,280,50,82,0.1,0.1,0.0,0.0,none
fluid_intelligence,1,3,A4_modality_ridge,random,0.29473455834203993,5.054659127382845,4.372901757126589,280,50,82,0.1,0.1,0.0,0.0,none
fluid_intelligence,1,4,A0_ridge,matched,0.31719489503777537,4.738448204579241,3.8964346138437036,280,50,82,10.0,10.0,0.0,0.0,none
fluid_intelligence,1,4,A0_ridge,random,0.31719489503777537,4.738448204579241,3.8964346138437036,280,50,82,10.0,10.0,0.0,0.0,none
fluid_intelligence,1,4,A1_aniso_ridge,matched,0.3413738052422006,4.6473109637907415,3.850400835572975,280,50,82,1.0,0.1,0.0,1.0,prod
fluid_intelligence,1,4,A1_aniso_ridge,random,0.3276915159899979,4.644543091308056,3.8606752259977704,280,50,82,1.0,0.1,0.0,1.0,prod
fluid_intelligence,1,4,A2_fc_laplacian,matched,0.30991003323196886,4.663836114253365,3.8987324347564933,280,50,82,10.0,0.1,1.0,0.0,prod
fluid_intelligence,1,4,A2_fc_laplacian,random,0.3099461040138997,4.6637805271411485,3.898608094309787,280,50,82,10.0,0.1,1.0,0.0,prod
fluid_intelligence,1,4,A3_msancr,matched,0.3156648325954448,4.654058694358167,3.8769705532641887,280,50,82,10.0,0.1,1.0,1.0,prod
fluid_intelligence,1,4,A3_msancr,random,0.2995122440534371,4.687625052700746,3.910201645108603,280,50,82,10.0,0.1,1.0,1.0,prod
fluid_intelligence,1,4,A4_modality_ridge,matched,0.31001567148595377,4.663624811158309,3.898422515740208,280,50,82,10.0,0.1,0.0,0.0,none
fluid_intelligence,1,4,A4_modality_ridge,random,0.31001567148595377,4.663624811158309,3.898422515740208,280,50,82,10.0,0.1,0.0,0.0,none
fluid_intelligence,2,0,A0_ridge,matched,0.39993726190317,4.795706898881623,3.9351145406205297,279,50,83,10.0,10.0,0.0,0.0,none
fluid_intelligence,2,0,A0_ridge,random,0.39993726190317,4.795706898881623,3.9351145406205297,279,50,83,10.0,10.0,0.0,0.0,none
fluid_intelligence,2,0,A1_aniso_ridge,matched,0.30288286119970287,5.042095432976302,4.263975927219228,279,50,83,1.0,1.0,0.0,1.0,prod
fluid_intelligence,2,0,A1_aniso_ridge,random,0.37203168001292997,4.854710644476728,4.073499251122909,279,50,83,1.0,0.1,0.0,1.0,prod
fluid_intelligence,2,0,A2_fc_laplacian,matched,0.4021440807411878,4.7932630026921474,4.113896310710742,279,50,83,1.0,1.0,1.0,0.0,prod
fluid_intelligence,2,0,A2_fc_laplacian,random,0.40398814987381804,4.790334497040335,4.118125942002032,279,50,83,1.0,1.0,1.0,0.0,prod
fluid_intelligence,2,0,A3_msancr,matched,0.3973192729115155,4.797752349184523,4.126351158218325,279,50,83,1.0,1.0,1.0,1.0,prod
fluid_intelligence,2,0,A3_msancr,random,0.3564303610393426,4.863349527771374,4.181705924034622,279,50,83,1.0,1.0,1.0,1.0,prod
fluid_intelligence,2,0,A4_modality_ridge,matched,0.40110246407287964,4.79334604277988,4.118076117508753,279,50,83,1.0,1.0,0.0,0.0,none
fluid_intelligence,2,0,A4_modality_ridge,random,0.40110246407287964,4.79334604277988,4.118076117508753,279,50,83,1.0,1.0,0.0,0.0,none
fluid_intelligence,2,1,A0_ridge,matched,0.28900618886241114,4.7390320042239615,4.0664167215323905,279,50,83,10.0,10.0,0.0,0.0,none
fluid_intelligence,2,1,A0_ridge,random,0.28900618886241114,4.7390320042239615,4.0664167215323905,279,50,83,10.0,10.0,0.0,0.0,none
fluid_intelligence,2,1,A1_aniso_ridge,matched,0.24970929114136986,4.709465083708192,4.03189873127313,279,50,83,1.0,0.1,0.0,1.0,prod
fluid_intelligence,2,1,A1_aniso_ridge,random,0.2510826717750064,4.7080736841751465,3.986365621845382,279,50,83,1.0,0.1,0.0,1.0,prod
fluid_intelligence,2,1,A2_fc_laplacian,matched,0.29862049889388753,4.585050039921337,3.913350021282195,279,50,83,1.0,0.1,1.0,0.0,prod
fluid_intelligence,2,1,A2_fc_laplacian,random,0.2989318032569178,4.58479835844754,3.915156980176995,279,50,83,1.0,0.1,1.0,0.0,prod
fluid_intelligence,2,1,A3_msancr,matched,0.29194689057509293,4.603307696886955,3.922868776649442,279,50,83,1.0,0.1,1.0,1.0,prod
fluid_intelligence,2,1,A3_msancr,random,0.2980643078271461,4.58390089620571,3.923341752678142,279,50,83,1.0,0.1,1.0,1.0,prod
fluid_intelligence,2,1,A4_modality_ridge,matched,0.2994644110043952,4.583075915226435,3.9143957189934873,279,50,83,1.0,0.1,0.0,0.0,none
fluid_intelligence,2,1,A4_modality_ridge,random,0.2994644110043952,4.583075915226435,3.9143957189934873,279,50,83,1.0,0.1,0.0,0.0,none
fluid_intelligence,2,2,A0_ridge,matched,0.34432465966171844,4.575489728878904,3.6863149113184033,280,50,82,0.1,0.1,0.0,0.0,none
fluid_intelligence,2,2,A0_ridge,random,0.34432465966171844,4.575489728878904,3.6863149113184033,280,50,82,0.1,0.1,0.0,0.0,none
fluid_intelligence,2,2,A1_aniso_ridge,matched,0.24089121907657343,5.144260531025301,4.014391413200445,280,50,82,0.1,0.1,0.0,1.0,prod
fluid_intelligence,2,2,A1_aniso_ridge,random,0.4417442883292477,4.228858761627158,3.4997945614839736,280,50,82,1.0,0.1,0.0,1.0,prod
