target,model_id,prior_type,seed,pearson,rmse,mae
fluid_intelligence,A0_ridge,matched,0,0.3280837696723754,4.712430587747348,3.8851674680126242
fluid_intelligence,A0_ridge,matched,1,0.29593468599975703,4.846301858435359,4.000166360124076
fluid_intelligence,A0_ridge,matched,2,0.3585441891896537,4.690070392764399,3.8773660889747346
fluid_intelligence,A0_ridge,random,0,0.3280837696723754,4.712430587747348,3.8851674680126242
fluid_intelligence,A0_ridge,random,1,0.29593468599975703,4.846301858435359,4.000166360124076
fluid_intelligence,A0_ridge,random,2,0.3585441891896537,4.690070392764399,3.8773660889747346
fluid_intelligence,A1_aniso_ridge,matched,0,0.35983911315852557,4.60240312547525,3.822400242882927
fluid_intelligence,A1_aniso_ridge,matched,1,0.3375742954514239,4.776972309468935,3.937725834841507
fluid_intelligence,A1_aniso_ridge,matched,2,0.31996829027230056,4.801940475662998,3.9482735527282102
fluid_intelligence,A1_aniso_ridge,random,0,0.36056394481951415,4.588935373028612,3.802106663569615
fluid_intelligence,A1_aniso_ridge,random,1,0.3113621585222125,4.792719740240161,3.966372105954556
fluid_intelligence,A1_aniso_ridge,random,2,0.3731127760835438,4.581951618905016,3.8104050657137014
fluid_intelligence,A2_fc_laplacian,matched,0,0.35426138083695796,4.616088374626024,3.84512921266732
fluid_intelligence,A2_fc_laplacian,matched,1,0.3445472973131468,4.687912797239777,3.915600130570058
fluid_intelligence,A2_fc_laplacian,matched,2,0.37521442829463897,4.585666182231225,3.8217731913945014
fluid_intelligence,A2_fc_laplacian,random,0,0.35508216166044315,4.617707339903175,3.844847671667437
fluid_intelligence,A2_fc_laplacian,random,1,0.3417804919620218,4.695853898559673,3.9337850546954405
fluid_intelligence,A2_fc_laplacian,random,2,0.37383129431827306,4.591191190895483,3.8222581649201324
fluid_intelligence,A3_msancr,matched,0,0.3552689991331728,4.594658896475292,3.858865490335667
fluid_intelligence,A3_msancr,matched,1,0.3437803688691308,4.688500807968838,3.913681525963502
fluid_intelligence,A3_msancr,matched,2,0.3756224147893362,4.584178737852079,3.8184390953651666
fluid_intelligence,A3_msancr,random,0,0.35808559387021915,4.592841903467018,3.8512680165643887
fluid_intelligence,A3_msancr,random,1,0.33804022744190154,4.699261444750171,3.9414583838197954
fluid_intelligence,A3_msancr,random,2,0.3653609778168277,4.603517336274033,3.835690607954228
fluid_intelligence,A4_modality_ridge,matched,0,0.3544299890537105,4.621951518672348,3.849200030727882
fluid_intelligence,A4_modality_ridge,matched,1,0.34379889463375024,4.691282310108163,3.9272583594073938
fluid_intelligence,A4_modality_ridge,matched,2,0.3738180067162692,4.590933699025887,3.821241000637302
fluid_intelligence,A4_modality_ridge,random,0,0.3544299890537105,4.621951518672348,3.849200030727882
fluid_intelligence,A4_modality_ridge,random,1,0.34379889463375024,4.691282310108163,3.9272583594073938
fluid_intelligence,A4_modality_ridge,random,2,0.3738180067162692,4.590933699025887,3.821241000637302
working_memory,A0_ridge,matched,0,0.20961629291661596,11.829639885347124,9.678447411472
working_memory,A0_ridge,matched,1,0.19442085681874127,11.910984349987157,9.691012247929377
working_memory,A0_ridge,matched,2,0.2677035054817304,11.58619417746753,9.356516558250533
working_memory,A0_ridge,random,0,0.20961629291661596,11.829639885347124,9.678447411472
working_memory,A0_ridge,random,1,0.19442085681874127,11.910984349987157,9.691012247929377
working_memory,A0_ridge,random,2,0.2677035054817304,11.58619417746753,9.356516558250533
working_memory,A1_aniso_ridge,matched,0,0.17783746669841505,12.31136519499854,9.890964136830238
working_memory,A1_aniso_ridge,matched,1,0.23624953000082366,11.49813500395811,9.305676678163222
working_memory,A1_aniso_ridge,matched,2,0.2923572919891864,11.128988246022884,9.119097839809776
working_memory,A1_aniso_ridge,random,0,0.24362690758602126,11.804816668642653,9.478602505482055
working_memory,A1_aniso_ridge,random,1,0.23897338723211065,11.531823701660704,9.315877794740796
working_memory,A1_aniso_ridge,random,2,0.30505736364146807,11.046956375644706,8.998127364765299
working_memory,A2_fc_laplacian,matched,0,0.2360283894887651,11.423090055441259,9.41082500049718
working_memory,A2_fc_laplacian,matched,1,0.25232669139191455,11.21474089508724,9.160174405576528
working_memory,A2_fc_laplacian,matched,2,0.2856870123368084,11.030509963837694,9.056418092580918
working_memory,A2_fc_laplacian,random,0,0.22604529255961586,11.514239506465877,9.486511084769544
working_memory,A2_fc_laplacian,random,1,0.2500128448330158,11.192946671037953,9.208951747067456
working_memory,A2_fc_laplacian,random,2,0.2870046661493032,11.032609910700776,9.011906992463178
working_memory,A3_msancr,matched,0,0.24861528500939706,11.393089627963757,9.380118270232183
working_memory,A3_msancr,matched,1,0.24939563364715883,11.242081818501063,9.157392258255475
working_memory,A3_msancr,matched,2,0.31804231329646904,10.91520518884071,8.951484618593353
working_memory,A3_msancr,random,0,0.24568569883690286,11.507732729464205,9.435859625858035
working_memory,A3_msancr,random,1,0.2583071950359642,11.171884666701986,9.186612395602074
working_memory,A3_msancr,random,2,0.30153447661998295,10.965638769771676,8.974467900614366
working_memory,A4_modality_ridge,matched,0,0.22099733672916155,11.543278972842476,9.514180276834558
working_memory,A4_modality_ridge,matched,1,0.2533694882931637,11.245639882041948,9.180295177034276
working_memory,A4_modality_ridge,matched,2,0.290492497808415,11.015085475481408,9.0396583053387
working_memory,A4_modality_ridge,random,0,0.22099733672916155,11.543278972842476,9.514180276834558
working_memory,A4_modality_ridge,random,1,0.2533694882931637,11.245639882041948,9.180295177034276
working_memory,A4_modality_ridge,random,2,0.290492497808415,11.015085475481408,9.0396583053387
