method_id,seed,fold,condition,repeat,pearson,rmse,mae
M3_SHUFFLED,0,0,random,0,0.37957543041000796,5.102846243110098,3.994169593403865
M3_SHUFFLED,0,0,random,1,0.41403914087404514,4.820810935205336,3.854427734257038
M3_SHUFFLED,0,0,random,2,0.4037981134682364,4.923134033316445,4.260041476261612
M3_SHUFFLED,0,0,random,3,0.3500058284527767,6.045978300069401,5.243206306428788
M3_SHUFFLED,0,0,random,4,0.37021863147155987,5.209938291580013,4.449432292257574
M3_SHUFFLED,0,0,random,5,0.3460352264403284,8.499019648396622,7.469811261251852
M3_SHUFFLED,0,0,random,6,0.37420233733405,4.769858816942625,4.069744293224439
M3_SHUFFLED,0,0,random,7,0.3485030252595377,7.364784372981306,6.384841424240678
M3_SHUFFLED,0,0,random,8,0.4266816359577883,8.740962914840471,7.726880669357036
M3_SHUFFLED,0,0,random,9,0.4082124528085456,5.565742016177794,4.740703730586084
M3_SHUFFLED,0,0,random,10,0.34972389524452296,8.50239759536754,7.500257758780834
M3_SHUFFLED,0,0,random,11,0.3707283823083092,6.379451631395193,4.900742644795871
M3_SHUFFLED,0,0,random,12,0.3502147413751744,6.307924782775597,4.882360991753039
M3_SHUFFLED,0,0,random,13,0.3506117939607324,5.986565048446387,5.060945467232389
M3_SHUFFLED,0,0,random,14,0.3551293292744695,6.676391278769958,5.744893176418617
M3_SHUFFLED,0,0,random,15,0.43615551303577454,7.815171709556202,6.851093516246336
M3_SHUFFLED,0,0,random,16,0.35583082432050406,4.908486510071801,4.2219128425548895
M3_SHUFFLED,0,0,random,17,0.4091976061187279,4.614174853770641,3.864153992433023
M3_SHUFFLED,0,0,random,18,0.4228180935056134,5.221004717169984,4.059218155070851
M3_SHUFFLED,0,0,random,19,0.3736023564539411,5.086217453338198,4.347960488148313
M3_SHUFFLED,0,0,top,-1,0.36973227834928546,6.970784343182208,6.064304597400093
M3_SHUFFLED,0,0,bottom,-1,0.39837741660922216,4.801627137917584,4.095303539660677
M3_SHUFFLED,0,0,prior_true_top,-1,0.39471772046910714,6.118445982263771,5.265539204139753
M3_SHUFFLED,0,0,prior_random_top,-1,0.32965399170604426,8.196846561514173,7.182464963260547
M3_SHUFFLED,0,1,random,0,0.42865985506647886,5.045878757821707,3.9869633733741403
M3_SHUFFLED,0,1,random,1,0.4640317498922614,4.929706237420786,3.9783326352273094
M3_SHUFFLED,0,1,random,2,0.3846969110030093,4.98592082576665,4.303179772374783
M3_SHUFFLED,0,1,random,3,0.38999516530108225,4.956994524560947,4.164624111675091
